scenario_id,scenario_type,difficulty,success,termination_reason,collision_type,episode_reward,steps,navigation_time,path_length,final_goal_distance,min_static_center_distance,min_static_clearance,min_dynamic_center_distance,min_dynamic_clearance,closest_dynamic_step,closest_dynamic_time
0,low_dynamic_risk,easy,True,success,none,983.9496346404939,143,28.6,83.09999999999994,2.5927826516933776,18.11522271005621,12.672760022044622,26.26348635045352,22.015483058430767,89,17.8
1,low_dynamic_risk,easy,False,dynamic_collision,dynamic_collision,207.8851175343551,78,15.600000000000001,44.1,46.74505046707279,25.47565657429699,19.778742212508693,3.5232319062409254,-0.14967189561580874,78,15.600000000000001
2,low_dynamic_risk,easy,True,success,none,978.6385740700797,156,31.200000000000003,90.89999999999999,2.7951540980105247,7.008797155824044,1.0672513913962334,34.19967881214047,30.074535684848694,93,18.6
3,low_dynamic_risk,easy,True,success,none,924.4579616114153,146,29.200000000000003,84.90000000000003,2.539350638450879,4.734621984885608,0.10151075927724396,32.64555691353905,27.865514124798707,121,24.200000000000003
4,low_dynamic_risk,easy,True,success,none,950.6950113021453,156,31.200000000000003,90.89999999999998,2.8193350209465025,4.7255703578088815,0.11898799249667302,5.67794868844633,1.6232582846991663,79,15.8
5,static_dominant,hard,True,success,none,991.5402680992061,148,29.6,86.10000000000007,2.980470617946088,11.52368658585199,6.813746113715716,23.571124789140764,19.738063722343625,72,14.4
6,static_dominant,hard,True,success,none,986.2081721525144,150,30.0,87.30000000000001,2.663511608186943,10.868152708022764,6.191434748196895,27.950098173134432,23.461797325073142,91,18.2
7,static_dominant,medium,True,success,none,890.9734796787807,134,26.8,77.69999999999993,2.633501669879814,14.643915041097546,9.1548830013235,21.60297847401202,18.00017001629339,41,8.200000000000001
8,static_dominant,medium,True,success,none,1027.431885627794,177,35.4,103.49999999999999,2.677558908880116,7.240238648392957,1.7417735641036085,32.00225458494057,28.189470396041287,48,9.600000000000001
9,static_dominant,medium,False,dynamic_collision,dynamic_collision,161.36080374090085,71,14.200000000000001,39.90000000000002,41.45982900125931,18.830905098769307,13.658982480830764,3.876740057621036,-0.11037960713642025,71,14.200000000000001
