scenario_id,scenario_type,difficulty,risk_level,layout_type,success,termination_reason,collision_type,episode_reward,steps,navigation_time,path_length,direct_start_goal_distance,final_goal_distance,min_static_center_distance,min_static_clearance,min_dynamic_center_distance,min_dynamic_clearance,closest_dynamic_step,closest_dynamic_time,path_efficiency
0,crossing_down,standard,legacy_corridor,blocking,True,success,none,925.8543345749197,137,27.400000000000002,79.50000000000009,73.11058672419853,2.571255137723562,5.201100502839681,0.20110050283968128,18.750960960890758,14.750960960890758,68,13.600000000000001,0.9196300216880308
1,crossing_down,standard,legacy_corridor,blocking,True,success,none,946.5566458674596,146,29.200000000000003,84.9,74.9701627993911,2.584498212645131,9.025191676839508,4.025191676839508,21.270262619097284,17.270262619097284,89,17.8,0.8830407868008374
2,crossing_down,standard,legacy_corridor,blocking,False,static_collision_2,static_collision_2,404.6447361042424,97,19.400000000000002,55.500000000000014,77.25537069700046,27.198804452332528,4.613829492002976,-0.3861705079970239,11.445209292306448,7.445209292306448,79,15.8,
3,crossing_down,standard,legacy_corridor,blocking,True,success,none,995.0393279933163,154,30.8,89.70000000000005,80.18557918796247,2.911646388630793,12.891220668625788,7.891220668625788,19.840021263397652,15.840021263397652,93,18.6,0.8939306486952334
4,crossing_down,standard,legacy_corridor,blocking,True,success,none,985.6326751055553,152,30.400000000000002,88.5000000000001,78.87804163767444,2.55477412711888,7.683595142083322,2.6835951420833224,15.10015231861626,11.10015231861626,92,18.400000000000002,0.8912773066403882
5,crossing_down,standard,legacy_corridor,blocking,True,success,none,997.5517753673382,151,30.200000000000003,87.90000000000002,80.042738849738,2.5325613130041194,11.925023688192386,6.925023688192386,23.740815546236856,19.740815546236856,67,13.4,0.9106113634782478
6,crossing_down,standard,legacy_corridor,blocking,True,success,none,1002.7609862572394,161,32.2,93.89999999999989,80.84095714125473,2.759858515530783,14.390164997776957,9.390164997776957,19.494032235897258,15.494032235897258,92,18.400000000000002,0.8609260611422239
7,crossing_up,standard,legacy_corridor,blocking,False,static_collision_1,static_collision_1,121.89007812671153,50,10.0,27.30000000000001,77.22619500147323,55.71146154195826,4.809451799656973,-0.19054820034302722,21.44966551540151,17.44966551540151,50,10.0,
8,crossing_up,standard,legacy_corridor,blocking,False,static_collision_1,static_collision_1,96.82041410965991,43,8.6,23.10000000000001,76.88264625133158,57.842753922764246,4.970261462411287,-0.029738537588713143,19.149285826359375,15.149285826359375,43,8.6,
9,crossing_down,standard,legacy_corridor,blocking,False,static_collision_2,static_collision_2,449.705056443295,105,21.0,60.30000000000005,72.37817165161908,17.78303733420002,4.612059499801799,-0.3879405001982006,15.02308676043099,11.02308676043099,74,14.8,
