scenario_id,scenario_type,difficulty,risk_level,layout_type,success,termination_reason,collision_type,episode_reward,steps,navigation_time,path_length,direct_start_goal_distance,final_goal_distance,min_static_center_distance,min_static_clearance,min_dynamic_center_distance,min_dynamic_clearance,closest_dynamic_step,closest_dynamic_time,path_efficiency
0,crossing_left,standard,time_separated,two_sides,False,static_collision_2,static_collision_2,374.60429608154647,94,18.8,53.69999999999997,75.985645182285,28.963822176086182,4.974247613403429,-0.02575238659657142,35.089767580004875,31.089767580004875,94,18.8,
1,crossing_right,standard,receding,clear,True,success,none,949.6936411403353,133,26.6,77.1,75.35534513149301,2.7209810174594513,10.448702187347491,5.448702187347491,29.079126729415677,25.079126729415677,0,0.0,0.9773715321853829
2,crossing_left,standard,conflict,clear,True,success,none,1005.3787632798441,146,29.200000000000003,84.89999999999996,81.20546315285918,2.9375868248747135,23.084918241813902,18.084918241813902,16.213210764215763,12.213210764215763,83,16.6,0.9564836649335596
3,head_on,standard,conflict,mixed,False,static_collision_1,static_collision_1,142.16106639240957,56,11.200000000000001,30.900000000000006,78.30310837256252,54.69386226322362,4.855239329249054,-0.14476067075094612,11.586377219293873,7.5863772192938725,49,9.8,
4,head_on,standard,time_separated,blocking,False,dynamic_collision,dynamic_collision,150.70708618128182,65,13.0,36.300000000000004,77.69370270812804,49.954808089596554,25.803142226536455,20.803142226536455,3.8742488184162935,-0.12575118158370646,65,13.0,
5,overtaking,standard,conflict,clear,True,success,none,945.0771311602423,137,27.400000000000002,79.49999999999993,74.98286735704959,2.7901542410252844,27.7044517515489,22.7044517515489,9.59438922296262,5.59438922296262,58,11.600000000000001,0.9431807214723227
6,head_on,standard,time_separated,clear,True,success,none,928.220054119907,139,27.8,80.70000000000009,73.28976866427531,2.772763252284602,23.758978817443612,18.758978817443612,8.156173112476882,4.156173112476882,53,10.600000000000001,0.9081755720480202
7,overtaking,standard,conflict,mixed,True,success,none,1010.9538395831061,149,29.8,86.70000000000002,81.657079997184,2.816696038873344,7.507179545546728,2.5071795455467276,12.747238939909026,8.747238939909026,82,16.400000000000002,0.941834832724152
8,head_on,standard,time_separated,clear,False,dynamic_collision,dynamic_collision,288.9824893127527,91,18.2,51.90000000000001,75.16187584847555,33.440131144848245,29.680156868585968,24.680156868585968,3.721315232726738,-0.27868476727326197,91,18.2,
9,head_on,standard,conflict,clear,False,static_collision_2,static_collision_2,380.07667285050303,98,19.6,56.10000000000003,74.48005201486072,26.89459191278357,4.926329181660683,-0.0736708183393171,13.162926754903264,9.162926754903264,68,13.600000000000001,
10,head_on,standard,receding,clear,True,success,none,991.9955510529888,146,29.200000000000003,84.89999999999995,79.41314510203661,2.483589996737734,23.995156686454855,18.995156686454855,21.22852298660787,17.22852298660787,0,0.0,0.9353727338284648
11,head_on,standard,time_separated,blocking,True,success,none,999.4090524421667,145,29.0,84.30000000000003,80.26332908495132,2.597423840734622,8.15401178009532,3.1540117800953205,30.436636638807922,26.436636638807922,50,10.0,0.952115410260395
12,crossing_right,standard,conflict,clear,False,static_collision_1,static_collision_1,122.80882911627106,55,11.0,30.300000000000008,76.06197866606688,54.42128061728172,4.818014574725962,-0.18198542527403827,12.576788194419454,8.576788194419454,55,11.0,
13,crossing_right,standard,conflict,clear,True,success,none,965.3221645077883,144,28.8,83.70000000000003,76.86710203155215,2.614885580773332,27.050905754400834,22.050905754400834,8.80899538446329,4.808995384463289,75,15.0,0.9183644209265487
14,head_on,standard,conflict,clear,True,success,none,989.9457992835567,147,29.400000000000002,85.5,79.26679657066896,2.537216642313291,23.628288807370712,18.628288807370712,14.0377531468263,10.0377531468263,98,19.6,0.9270970359142569
15,crossing_left,standard,conflict,mixed,True,success,none,978.4273916155967,143,28.6,83.1,78.0083638825987,2.4506247210390026,7.955159251853819,2.955159251853819,14.92210488120615,10.92210488120615,89,17.8,0.9387288072514887
16,crossing_right,standard,conflict,clear,False,static_collision_1,static_collision_1,71.07848557828703,45,9.0,24.299999999999997,71.81654757115683,55.386909321189805,4.666951269605552,-0.3330487303944478,21.0125408272725,17.0125408272725,45,9.0,
17,crossing_right,standard,receding,clear,True,success,none,954.6023719889293,134,26.8,77.69999999999999,75.9820325713535,2.8517953724605083,11.812923010394295,6.812923010394295,23.30657401678188,19.30657401678188,0,0.0,0.9778897370830568
18,crossing_left,standard,receding,blocking,True,success,none,959.0025244501363,142,28.400000000000002,82.49999999999999,76.42982240894155,2.8195699639279095,11.237295046024123,6.237295046024123,21.72110655017523,17.72110655017523,0,0.0,0.9264220898053522
19,crossing_left,standard,conflict,clear,True,success,none,978.5604596751465,143,28.6,83.09999999999995,78.23792801929575,2.666882051781086,11.553998969520393,6.553998969520393,13.872716404817991,9.872716404817991,66,13.200000000000001,0.9414913119048832
20,overtaking,standard,time_separated,two_sides,False,static_collision_2,static_collision_2,350.75054542800046,97,19.400000000000002,55.49999999999999,72.99387233303464,27.917414458937973,4.627039587988202,-0.37296041201179797,6.679832053309657,2.6798320533096573,52,10.4,
21,crossing_left,standard,conflict,clear,True,success,none,956.3334074412019,138,27.6,80.10000000000008,75.95995913083297,2.5630473388873405,6.224753143170786,1.224753143170786,18.222315735828612,14.222315735828612,101,20.200000000000003,0.9483140965147677
22,crossing_right,standard,conflict,two_sides,False,static_collision_2,static_collision_2,365.1977039012192,98,19.6,56.09999999999999,78.07836778356672,31.979712137294193,4.651515155528933,-0.3484848444710673,9.56024758127062,5.56024758127062,66,13.200000000000001,
23,crossing_right,standard,time_separated,blocking,True,success,none,965.1537774614537,143,28.6,83.10000000000002,76.91828699423209,2.6879092480867013,11.100078129208738,6.100078129208738,26.390989107067302,22.390989107067302,81,16.2,0.9256111551652475
24,head_on,standard,conflict,mixed,True,success,none,975.7182196994424,143,28.6,83.10000000000004,78.15098895217052,2.864166982226239,9.597208595369104,4.5972085953691035,11.825848653274297,7.8258486532742975,60,12.0,0.9404451137445305
25,crossing_left,standard,receding,blocking,True,success,none,985.5061069603219,151,30.200000000000003,87.89999999999999,79.16191576633148,2.647765036896711,5.402006684751356,0.40200668475135615,25.791841730993397,21.791841730993397,0,0.0,0.9005906230526903
26,crossing_right,standard,time_separated,blocking,True,success,none,1011.8135339436274,148,29.6,86.09999999999995,81.47595945554822,2.5546060611854573,12.319484799386018,7.319484799386018,22.75981523018937,18.75981523018937,46,9.200000000000001,0.9462945349076454
27,head_on,standard,conflict,clear,True,success,none,1010.2019617662595,149,29.8,86.70000000000006,81.65532315782461,2.8901269811986148,28.146019822267768,23.146019822267768,11.727206416658104,7.727206416658104,65,13.0,0.9418145692944009
28,overtaking,standard,time_separated,blocking,False,dynamic_collision,dynamic_collision,16.106786912382972,40,8.0,21.29999999999999,76.23000489340889,61.69086635068489,8.011757280895297,3.0117572808952975,3.8125413912791024,-0.1874586087208976,40,8.0,
29,overtaking,standard,conflict,mixed,True,success,none,1016.9026095938481,148,29.6,86.10000000000007,82.12803678734191,2.4699760384492677,5.427089398714326,0.42708939871432605,11.472449424170238,7.472449424170238,69,13.8,0.9538680230817869
30,head_on,standard,receding,clear,True,success,none,969.4281620266113,137,27.400000000000002,79.49999999999997,77.17336955763771,2.5455533549765827,22.307313636065096,17.307313636065096,20.96788294420907,16.96788294420907,0,0.0,0.9707342082721728
31,overtaking,standard,conflict,clear,True,success,none,942.7477120077909,135,27.0,78.30000000000003,74.55468332297319,2.6049121221940803,26.267829005652164,21.267829005652164,10.497414983365632,6.497414983365632,55,11.0,0.9521670922474222
32,crossing_right,standard,time_separated,blocking,True,success,none,941.3764235401752,137,27.400000000000002,79.5,74.41859050488361,2.595948150866065,11.373016359892057,6.373016359892057,23.14303623542244,19.14303623542244,62,12.4,0.9360828994324982
33,overtaking,standard,conflict,clear,True,success,none,924.7796271184653,133,26.6,77.09999999999998,72.80247995127235,2.6595172394257776,10.013579804220822,5.0135798042208215,8.99653370318508,4.996533703185079,39,7.800000000000001,0.9442604403537271
34,overtaking,standard,receding,blocking,False,static_collision_1,static_collision_1,-26.87631837771751,21,4.2,9.899999999999997,81.18904694294547,74.67969865599196,4.722615598124345,-0.27738440187565505,28.532312766519745,24.532312766519745,0,0.0,
35,crossing_left,standard,conflict,mixed,True,success,none,943.4613292994311,137,27.400000000000002,79.50000000000003,74.66610481746704,2.6349718875239363,10.370146410568216,5.370146410568216,14.043179311018402,10.043179311018402,81,16.2,0.9391962870121637
36,crossing_left,standard,conflict,mixed,True,success,none,963.1232185623267,139,27.8,80.70000000000003,76.48707790023042,2.479756043997752,10.308045090923512,5.308045090923512,16.607411645763396,12.607411645763396,90,18.0,0.9477952651825327
37,crossing_left,standard,conflict,two_sides,False,static_collision_2,static_collision_2,377.6812008604334,95,19.0,54.299999999999976,79.13590287076725,31.804486067604984,4.590558596841707,-0.4094414031582927,16.069019181978057,12.069019181978057,77,15.4,
38,crossing_right,standard,receding,blocking,True,success,none,967.7176733344177,137,27.400000000000002,79.49999999999999,77.05521487184791,2.598447538406121,7.160266576380072,2.1602665763800717,24.285036759475613,20.285036759475613,0,0.0,0.9692479858094079
39,head_on,standard,receding,blocking,True,success,none,925.0799739973429,130,26.0,75.30000000000005,72.81446436524246,2.4473966489907024,5.516407834532893,0.5164078345328926,27.293381272342575,23.293381272342575,0,0.0,0.9669915586353574
40,overtaking,standard,conflict,two_sides,False,static_collision_2,static_collision_2,397.061947956901,99,19.8,56.70000000000001,77.68349989462602,28.392893361484166,4.575330997124582,-0.42466900287541787,8.312265251413962,4.312265251413962,39,7.800000000000001,
41,crossing_right,standard,conflict,mixed,True,success,none,971.3281644325542,144,28.8,83.70000000000005,77.68931779693985,2.8365013536844117,10.360777120901318,5.360777120901318,10.16624344028419,6.166243440284189,72,14.4,0.9281877872991613
42,head_on,standard,conflict,clear,True,success,none,959.0949385283334,144,28.8,83.69999999999995,76.86484503613788,2.9247017742261625,5.066284838281623,0.06628483828162324,15.419312509715288,11.419312509715288,103,20.6,0.918337455628888
43,crossing_right,standard,time_separated,blocking,True,success,none,929.1454814029049,133,26.6,77.10000000000007,73.22728886758917,2.647740727298667,7.871241987263748,2.8712419872637476,22.2723723020445,18.2723723020445,38,7.6000000000000005,0.9497702836263179
44,head_on,standard,receding,two_sides,False,static_collision_2,static_collision_2,378.5345683235363,92,18.400000000000002,52.500000000000014,78.76321515581233,31.330807418605577,4.948035607063372,-0.05196439293662802,20.462590203747496,16.462590203747496,0,0.0,
45,head_on,standard,conflict,clear,False,static_collision_1,static_collision_1,108.66871598880034,50,10.0,27.300000000000008,77.21833908509002,56.96308200074374,4.863123599652479,-0.13687640034752135,27.26629126576894,23.26629126576894,50,10.0,
46,head_on,standard,conflict,two_sides,False,static_collision_2,static_collision_2,362.62375775259187,96,19.200000000000003,54.90000000000001,77.7551292843171,31.9339962718596,4.722254705767554,-0.27774529423244587,14.305021125856106,10.305021125856106,79,15.8,
47,crossing_right,standard,time_separated,blocking,False,static_collision_2,static_collision_2,314.9760772200362,89,17.8,50.70000000000002,75.78597433105776,34.7517174378099,4.5408255554323755,-0.45917444456762446,21.75336643538352,17.75336643538352,57,11.4,
48,crossing_right,standard,conflict,mixed,True,success,none,986.8285876605108,150,30.0,87.29999999999998,79.05577672143919,2.622917955388055,13.419025961799862,8.419025961799862,10.046566120663213,6.046566120663213,88,17.6,0.9055644527083528
49,crossing_right,standard,time_separated,clear,True,success,none,961.0942426849745,146,29.200000000000003,84.89999999999996,77.20387112317903,2.478765940292734,29.65021751378592,24.65021751378592,4.982714336431314,0.9827143364313136,66,13.200000000000001,0.9093506610504012
