scenario_id,scenario_type,difficulty,risk_level,layout_type,success,termination_reason,collision_type,episode_reward,steps,navigation_time,path_length,direct_start_goal_distance,final_goal_distance,min_static_center_distance,min_static_clearance,min_dynamic_center_distance,min_dynamic_clearance,closest_dynamic_step,closest_dynamic_time,path_efficiency
0,crossing_left,standard,time_separated,two_sides,True,success,none,955.5225891310972,138,27.6,80.1,75.985645182285,2.5518680886476135,5.5215444829694835,0.5215444829694835,33.7736311754259,29.773631175425898,101,20.200000000000003,0.9486347713144195
1,crossing_right,standard,receding,clear,True,success,none,948.7201356200261,135,27.0,78.29999999999997,75.35534513149301,2.8083315694903526,10.524153237309926,5.5241532373099265,29.079126729415677,25.079126729415677,0,0.0,0.9623926581289022
2,crossing_left,standard,conflict,clear,True,success,none,1007.837625000489,146,29.200000000000003,84.89999999999998,81.20546315285918,2.6917006528103014,22.46684497948591,17.46684497948591,15.859204172445782,11.859204172445782,83,16.6,0.9564836649335595
3,head_on,standard,conflict,mixed,False,static_collision_1,static_collision_1,126.41813139235296,54,10.8,29.699999999999996,78.30310837256252,56.307811208692,4.854423992726728,-0.1455760072732719,12.18911638789382,8.18911638789382,48,9.600000000000001,
4,head_on,standard,time_separated,blocking,True,success,none,968.5823820514404,140,28.0,81.29999999999997,77.69370270812804,2.73590826845874,10.296376110541594,5.296376110541594,6.124418723744361,2.124418723744361,67,13.4,0.9556420997309726
5,overtaking,standard,conflict,clear,True,success,none,945.1999055050004,137,27.400000000000002,79.50000000000001,74.98286735704959,2.7778768065494863,28.05745232567978,23.05745232567978,9.096400479045688,5.096400479045688,57,11.4,0.9431807214723217
6,head_on,standard,time_separated,clear,True,success,none,930.4605183360466,132,26.400000000000002,76.49999999999997,73.28976866427531,2.5837168306706078,22.422803569908417,17.422803569908417,12.703707512954658,8.703707512954658,50,10.0,0.9580361916898738
7,overtaking,standard,conflict,mixed,True,success,none,1014.77018244706,147,29.400000000000002,85.49999999999997,81.657079997184,2.445061752477942,7.636582282913905,2.6365822829139054,9.19255496758651,5.19255496758651,84,16.8,0.9550535672185266
8,head_on,standard,time_separated,clear,True,success,none,938.7634744678244,137,27.400000000000002,79.5,75.16187584847555,2.8139133382846375,26.20362464433343,21.20362464433343,4.9864914839015775,0.9864914839015775,94,18.8,0.9454324006097553
9,head_on,standard,conflict,clear,True,success,none,941.0341575621395,136,27.200000000000003,78.89999999999996,74.48005201486072,2.6353133121429475,6.330629459510229,1.330629459510229,11.104874975207723,7.104874975207723,68,13.600000000000001,0.9439803804164861
10,head_on,standard,receding,clear,True,success,none,987.5005839187681,141,28.200000000000003,81.89999999999996,79.41314510203661,2.958086710159772,21.503817199128736,16.503817199128736,21.22852298660787,17.22852298660787,0,0.0,0.9696354713313388
11,head_on,standard,time_separated,blocking,True,success,none,999.4063355483011,146,29.200000000000003,84.90000000000006,80.26332908495132,2.540706862074706,6.423422465269994,1.4234224652699936,32.03905906384796,28.039059063847958,48,9.600000000000001,0.9453866794458335
12,crossing_right,standard,conflict,clear,False,static_collision_1,static_collision_1,124.78206628459783,55,11.0,30.30000000000001,76.06197866606688,54.23166492866958,4.940943845976637,-0.05905615402336295,12.347711790228349,8.347711790228349,55,11.0,
13,crossing_right,standard,conflict,clear,True,success,none,959.3358964108598,141,28.200000000000003,81.90000000000005,76.86710203155215,2.5175419355106485,26.03664476034792,21.03664476034792,5.79642278520579,1.79642278520579,74,14.8,0.9385482543535055
14,head_on,standard,conflict,clear,True,success,none,989.855889093822,144,28.8,83.70000000000002,79.26679657066896,2.561207661286757,23.22946182529853,18.22946182529853,11.355235564349996,7.3552355643499965,96,19.200000000000003,0.9470346065790793
15,crossing_left,standard,conflict,mixed,True,success,none,973.6725647296599,142,28.400000000000002,82.50000000000007,78.0083638825987,2.93110740963266,8.902523099442769,3.902523099442769,13.91618632808376,9.91618632808376,90,18.0,0.9455559258496804
16,crossing_right,standard,conflict,clear,False,static_collision_1,static_collision_1,88.66917276874612,47,9.4,25.500000000000018,71.81654757115683,53.605025513289924,4.92943641570085,-0.07056358429915033,19.287671003707338,15.287671003707338,47,9.4,
17,crossing_right,standard,receding,clear,True,success,none,956.1597875584755,137,27.400000000000002,79.50000000000007,75.9820325713535,2.6810538155059653,9.988882063053348,4.988882063053348,23.30657401678188,19.30657401678188,0,0.0,0.9557488373755149
18,crossing_left,standard,receding,blocking,True,success,none,962.5477692482115,138,27.6,80.10000000000001,76.42982240894155,2.485045484120338,8.75369544091111,3.7536954409111107,21.72110655017523,17.72110655017523,0,0.0,0.9541800550429655
19,crossing_left,standard,conflict,clear,True,success,none,980.1051209013672,142,28.400000000000002,82.50000000000009,78.23792801929575,2.517415929159034,12.888357398864503,7.888357398864503,13.068966168839196,9.068966168839196,66,13.200000000000001,0.9483385214460082
20,overtaking,standard,time_separated,two_sides,False,static_collision_2,static_collision_2,395.98584484181015,96,19.200000000000003,54.90000000000004,72.99387233303464,23.804487910878244,4.9872752864344685,-0.012724713565531509,11.243332276392053,7.243332276392053,45,9.0,
