scenario_id,scenario_type,difficulty,risk_level,layout_type,success,termination_reason,collision_type,episode_reward,steps,navigation_time,path_length,direct_start_goal_distance,final_goal_distance,min_static_center_distance,min_static_clearance,min_dynamic_center_distance,min_dynamic_clearance,closest_dynamic_step,closest_dynamic_time,path_efficiency
0,crossing_down,standard,legacy_corridor,blocking,False,static_collision_2,static_collision_2,359.8767090499332,93,18.6,53.10000000000002,73.11058672419853,27.41803845965045,4.970955948800723,-0.029044051199276666,17.031579346466668,13.031579346466668,75,15.0,
1,crossing_down,standard,legacy_corridor,blocking,False,static_collision_2,static_collision_2,335.8582950316908,88,17.6,50.1,74.9701627993911,31.854676095267905,4.6876620554969115,-0.3123379445030885,15.136625454808023,11.136625454808023,86,17.2,
2,crossing_down,standard,legacy_corridor,blocking,False,static_collision_2,static_collision_2,393.54680259801205,98,19.6,56.100000000000044,77.25537069700046,28.095269801173206,4.88972499592769,-0.11027500407231017,11.782872830874762,7.782872830874762,86,17.2,
3,crossing_down,standard,legacy_corridor,blocking,True,success,none,996.2600820961636,145,29.0,84.3000000000001,80.18557918796247,2.6981369617888893,5.885719470423234,0.8857194704232336,14.419111244781824,10.419111244781824,90,18.0,0.9511931101774898
4,crossing_down,standard,legacy_corridor,blocking,True,success,none,981.8405397479248,147,29.400000000000002,85.49999999999993,78.87804163767444,2.9589876628819347,8.899124753788737,3.899124753788737,13.139078010274588,9.139078010274588,96,19.200000000000003,0.9225501945926843
5,crossing_down,standard,legacy_corridor,blocking,True,success,none,994.3097623752101,145,29.0,84.29999999999998,80.042738849738,2.886762612216931,12.038902823204278,7.038902823204278,21.835903063651447,17.835903063651447,74,14.8,0.9494986814915541
6,crossing_down,standard,legacy_corridor,blocking,True,success,none,1002.7138349893086,149,29.8,86.69999999999996,80.84095714125473,2.8245736423238372,7.731413847655454,2.731413847655454,14.828597967298368,10.828597967298368,92,18.400000000000002,0.9324216509948647
7,crossing_up,standard,legacy_corridor,blocking,True,success,none,967.5261284473074,147,29.400000000000002,85.50000000000001,77.22619500147323,2.53052668210952,5.582374477401796,0.582374477401796,11.106453732756854,7.106453732756854,90,18.0,0.9032303508944236
8,crossing_up,standard,legacy_corridor,blocking,False,static_collision_1,static_collision_1,44.852419409140296,38,7.6000000000000005,20.100000000000005,76.88264625133158,63.120342940438164,4.620915357075245,-0.37908464292475497,24.00547335905197,20.00547335905197,38,7.6000000000000005,
9,crossing_down,standard,legacy_corridor,blocking,False,static_collision_2,static_collision_2,447.2369227042816,105,21.0,60.30000000000001,72.37817165161908,17.87632649890378,4.604768690282254,-0.39523130971774556,14.07233055796585,10.07233055796585,79,15.8,
10,crossing_down,standard,legacy_corridor,blocking,True,success,none,968.2929983081244,139,27.8,80.70000000000002,77.3515138322054,2.827214001392895,7.416539291382697,2.416539291382697,10.848003467535438,6.848003467535438,71,14.200000000000001,0.9585069867683442
11,crossing_down,standard,legacy_corridor,blocking,False,static_collision_2,static_collision_2,509.39877636351156,117,23.400000000000002,67.5,83.12878336811025,22.522251280830183,4.674438982482038,-0.32556101751796174,19.09884524744148,15.098845247441481,86,17.2,
12,crossing_down,standard,legacy_corridor,blocking,False,static_collision_1,static_collision_1,48.874233452277494,38,7.6000000000000005,20.099999999999994,68.08176779820367,53.92455116778445,4.767146983464062,-0.23285301653593837,24.80373683656119,20.80373683656119,38,7.6000000000000005,
13,crossing_down,standard,legacy_corridor,blocking,True,success,none,995.2659499341581,146,29.200000000000003,84.90000000000005,79.87147199505559,2.614877001639742,8.837130393403577,3.8371303934035765,21.27294722724315,17.27294722724315,95,19.0,0.9407711660194998
14,crossing_up,standard,legacy_corridor,blocking,True,success,none,1017.638822926915,153,30.6,89.10000000000008,82.23678721370223,2.6021589404245304,6.070839992898607,1.0708399928986072,9.190626627255558,5.190626627255558,84,16.8,0.922971798133582
15,crossing_down,standard,legacy_corridor,blocking,False,static_collision_2,static_collision_2,450.31450516482437,107,21.400000000000002,61.50000000000005,80.74248531794119,26.08210969561765,4.677701845560681,-0.3222981544393191,17.794087329942137,13.794087329942137,86,17.2,
16,crossing_up,standard,legacy_corridor,blocking,False,static_collision_1,static_collision_1,90.02847428040752,48,9.600000000000001,26.100000000000012,71.11763435934088,52.795089349989844,4.70948718066561,-0.2905128193343902,16.388349987189173,12.388349987189173,48,9.600000000000001,
17,crossing_up,standard,legacy_corridor,blocking,True,success,none,930.4494779463984,139,27.8,80.69999999999997,73.36356938977181,2.6236215951319606,7.103732433860056,2.1037324338600563,8.274236326533945,4.274236326533945,70,14.0,0.9090900791793288
18,crossing_down,standard,legacy_corridor,blocking,True,success,none,1016.6864962572969,150,30.0,87.29999999999995,82.09374162844341,2.6750920027136442,14.185882277511055,9.185882277511055,19.474058580300785,15.474058580300785,110,22.0,0.9403635925365802
19,crossing_down,standard,legacy_corridor,blocking,False,static_collision_1,static_collision_1,80.8666113261057,44,8.8,23.699999999999996,85.55509167754566,68.16351123175325,4.914448547069728,-0.08555145293027167,30.41756127654845,26.41756127654845,44,8.8,
