scenario_id,scenario_type,difficulty,risk_level,layout_type,success,termination_reason,collision_type,episode_reward,steps,navigation_time,path_length,direct_start_goal_distance,final_goal_distance,min_static_center_distance,min_static_clearance,min_dynamic_center_distance,min_dynamic_clearance,closest_dynamic_step,closest_dynamic_time,path_efficiency
0,crossing_right,challenge,conflict,mixed,False,dynamic_collision,dynamic_collision,-63.96914547105473,21,4.2,9.899999999999995,81.48096582314308,75.3394032622603,20.014123520872097,15.014123520872097,3.837282052993577,-0.16271794700642284,21,4.2,
1,overtaking,challenge,conflict,mixed,True,success,none,945.7612989563744,135,27.0,78.29999999999994,75.02695497331428,2.466020585509423,5.03759918259919,0.03759918259919015,9.304430554110878,5.304430554110878,79,15.8,0.9581986586630183
2,crossing_right,challenge,time_separated,two_sides,True,success,none,975.1144281269808,138,27.6,80.09999999999998,77.7593695320803,2.5579267193821265,7.448786515574052,2.448786515574052,14.13436456096326,10.13436456096326,54,10.8,0.9707786458436993
3,overtaking,challenge,conflict,mixed,True,success,none,970.2096554197225,140,28.0,81.30000000000007,77.39416383473316,2.673198292760905,8.889467687782659,3.889467687782659,10.740135393031421,6.740135393031421,74,14.8,0.9519577347445646
4,overtaking,challenge,conflict,mixed,True,success,none,963.1410258756845,139,27.8,80.70000000000003,76.58181640202058,2.5604272168628475,6.795490416281702,1.7954904162817016,10.315355759089591,6.3153557590895915,81,16.2,0.9489692243125223
5,crossing_right,challenge,receding,blocking,False,static_collision_1,static_collision_1,140.03420114097275,50,10.0,27.299999999999997,77.73769623360508,54.35433069048441,4.8710263724792755,-0.1289736275207245,24.73875959907964,20.73875959907964,0,0.0,
6,overtaking,challenge,conflict,mixed,True,success,none,959.3692232140781,137,27.400000000000002,79.50000000000004,76.60567884131297,2.808015516895631,5.69905286444764,0.6990528644476397,8.95030152544926,4.950301525449261,76,15.200000000000001,0.9635934445448167
7,head_on,challenge,conflict,two_sides,False,static_collision_2,static_collision_2,376.4503485973945,93,18.6,53.10000000000002,73.06939641124403,25.797637384204172,4.974350322643192,-0.025649677356807565,9.367918568617638,5.367918568617638,47,9.4,
8,crossing_left,challenge,receding,clear,True,success,none,975.6756320042163,136,27.200000000000003,78.90000000000008,78.1998057792385,2.9522425788168545,16.082099457646468,11.082099457646468,29.46117547155619,25.46117547155619,0,0.0,0.9911255485328064
9,crossing_right,challenge,time_separated,two_sides,True,success,none,998.2029143445686,142,28.400000000000002,82.50000000000004,80.22031327330409,2.665214512423503,6.648009775030302,1.6480097750303022,13.394291982134556,9.394291982134556,53,10.600000000000001,0.9723674336158066
10,crossing_right,challenge,receding,clear,True,success,none,967.5221604370547,134,26.8,77.70000000000005,76.92337574991683,2.5011597062113458,14.717290490599918,9.717290490599918,23.759104860693693,19.759104860693693,0,0.0,0.9900048359062649
11,crossing_left,challenge,receding,blocking,True,success,none,987.0203935075788,140,28.0,81.30000000000003,78.83068208511591,2.4286427343580095,7.121695799050505,2.1216957990505048,24.724543279312908,20.724543279312908,0,0.0,0.9696270859177846
12,crossing_left,challenge,conflict,mixed,True,success,none,949.3548518081353,133,26.6,77.10000000000001,75.16454398249732,2.564058801683755,8.704408048315363,3.704408048315363,9.015916806674428,5.0159168066744275,36,7.2,0.9748968091115086
13,crossing_left,challenge,conflict,mixed,True,success,none,980.0344012478461,138,27.6,80.10000000000004,78.48112229869038,2.6587533217330406,7.591269689969389,2.591269689969389,7.6094606618862946,3.6094606618862946,26,5.2,0.9797892921184812
14,overtaking,challenge,conflict,mixed,False,static_collision_1,static_collision_1,-47.838068711956126,18,3.6,8.100000000000003,83.0201803395996,78.61473970466739,4.658565216486986,-0.34143478351301404,29.413384962798,25.413384962798,18,3.6,
15,crossing_left,challenge,conflict,two_sides,True,success,none,988.5014826159085,139,27.8,80.70000000000005,79.06698837047321,2.521840108882318,11.417234689902878,6.4172346899028785,8.740951716324142,4.740951716324142,38,7.6000000000000005,0.9797644159909934
