scenario_id,scenario_type,difficulty,risk_level,layout_type,success,termination_reason,collision_type,episode_reward,steps,navigation_time,path_length,direct_start_goal_distance,final_goal_distance,min_static_center_distance,min_static_clearance,min_dynamic_center_distance,min_dynamic_clearance,closest_dynamic_step,closest_dynamic_time,path_efficiency
0,crossing_down,standard,legacy_corridor,blocking,False,static_collision_1,static_collision_1,75.66065424148975,41,8.200000000000001,21.900000000000006,73.11058672419853,56.238825542813295,4.880277180633872,-0.11972281936612816,20.842412472281424,16.842412472281424,41,8.200000000000001,
1,crossing_down,standard,legacy_corridor,blocking,False,static_collision_2,static_collision_2,333.3512037821768,86,17.2,48.90000000000001,74.9701627993911,32.10313243023784,4.556755511657142,-0.4432444883428577,14.354430568445569,10.354430568445569,85,17.0,
2,crossing_down,standard,legacy_corridor,blocking,False,static_collision_2,static_collision_2,397.07779690565116,95,19.0,54.300000000000004,77.25537069700046,27.979414618289077,4.530999619456497,-0.4690003805435028,10.048090472840569,6.048090472840569,81,16.2,
3,crossing_down,standard,legacy_corridor,blocking,False,static_collision_2,static_collision_2,428.9236825796184,102,20.400000000000002,58.50000000000002,80.18557918796247,27.659722185548446,4.873478446288192,-0.1265215537118083,13.648790155245841,9.648790155245841,89,17.8,
4,crossing_down,standard,legacy_corridor,blocking,True,success,none,983.3999001497358,144,28.8,83.6999999999999,78.87804163767444,2.767865820806852,6.45961076898278,1.4596107689827802,11.562415612104116,7.562415612104116,92,18.400000000000002,0.9423899837237101
5,crossing_down,standard,legacy_corridor,blocking,True,success,none,995.3835624846635,143,28.6,83.1,80.042738849738,2.7893826012716385,10.36917480806307,5.36917480806307,20.242237535149712,16.242237535149712,72,14.4,0.9632098537874609
6,crossing_down,standard,legacy_corridor,blocking,True,success,none,1002.1071238691765,147,29.400000000000002,85.50000000000001,80.84095714125473,2.7595507312395853,5.85885936027297,0.8588593602729704,13.675607671041403,9.675607671041403,90,18.0,0.94550827065795
7,crossing_up,standard,legacy_corridor,blocking,False,static_collision_1,static_collision_1,122.39762537793696,53,10.600000000000001,29.099999999999987,77.22619500147323,55.62772783202084,4.897465700404375,-0.1025342995956251,20.801825024281474,16.801825024281474,53,10.600000000000001,
8,crossing_up,standard,legacy_corridor,blocking,False,static_collision_1,static_collision_1,55.4720750240605,38,7.6000000000000005,20.099999999999994,76.88264625133158,62.05672236649316,4.573693885923089,-0.4263061140769109,23.160023631096603,19.160023631096603,38,7.6000000000000005,
9,crossing_down,standard,legacy_corridor,blocking,False,static_collision_2,static_collision_2,461.12889503175836,105,21.0,60.30000000000004,72.37817165161908,16.645590344259517,4.8712236723270665,-0.12877632767293345,12.654814683096046,8.654814683096046,76,15.200000000000001,
10,crossing_down,standard,legacy_corridor,blocking,True,success,none,969.2987300125985,138,27.6,80.10000000000002,77.3515138322054,2.6375753993809172,6.159050582766779,1.1590505827667794,10.14931728147012,6.14931728147012,70,14.0,0.9656868143845865
11,crossing_down,standard,legacy_corridor,blocking,False,static_collision_2,static_collision_2,522.1789337198715,117,23.400000000000002,67.49999999999999,83.12878336811025,21.223615773207605,4.65262763386938,-0.34737236613062006,17.431003320930163,13.431003320930163,84,16.8,
12,crossing_down,standard,legacy_corridor,blocking,False,static_collision_1,static_collision_1,60.51017993586052,38,7.6000000000000005,20.099999999999994,68.08176779820367,52.743222153557944,4.445068724503871,-0.5549312754961289,22.86230425291987,18.86230425291987,38,7.6000000000000005,
13,crossing_down,standard,legacy_corridor,blocking,True,success,none,993.1874290907001,144,28.8,83.70000000000012,79.87147199505559,2.832729085985533,7.308884728549362,2.308884728549362,20.09324210368265,16.09324210368265,94,18.8,0.9542589246721084
14,crossing_up,standard,legacy_corridor,blocking,True,success,none,1017.2565229100982,153,30.6,89.09999999999994,82.23678721370223,2.5938892882077247,5.773739521190857,0.7737395211908566,9.17118603133138,5.171186031331381,83,16.6,0.9229717981335834
15,crossing_down,standard,legacy_corridor,blocking,False,static_collision_2,static_collision_2,484.91835996798505,111,22.200000000000003,63.90000000000002,80.74248531794119,22.528519499150818,4.96043967718612,-0.03956032281388033,16.438169404415863,12.438169404415863,84,16.8,
16,crossing_up,standard,legacy_corridor,blocking,False,static_collision_1,static_collision_1,114.69779928754392,50,10.0,27.300000000000004,71.11763435934088,50.29163492418178,4.60117974584649,-0.3988202541535104,13.980495939505447,9.980495939505447,50,10.0,
17,crossing_up,standard,legacy_corridor,blocking,True,success,none,925.5858171201199,137,27.400000000000002,79.50000000000007,73.36356938977181,2.865400288805559,5.879940926128863,0.8799409261288629,7.419182652425274,3.419182652425274,69,13.8,0.9228121935820346
18,crossing_down,standard,legacy_corridor,blocking,True,success,none,1015.8380090389223,149,29.8,86.70000000000005,82.09374162844341,2.7649407245511313,13.507683823536595,8.507683823536595,19.110376910917733,15.110376910917733,107,21.400000000000002,0.9468712990593238
19,crossing_down,standard,legacy_corridor,blocking,False,static_collision_2,static_collision_2,472.5609574105726,108,21.6,62.10000000000004,85.55509167754566,28.675277857566947,4.660433893441391,-0.33956610655860864,12.442282808944759,8.442282808944759,85,17.0,
20,crossing_up,standard,legacy_corridor,blocking,False,static_collision_1,static_collision_1,-3.786393007855395,26,5.2,12.900000000000002,69.51283206831349,60.674284281018764,4.8967008858506125,-0.10329911414938753,25.766318168183258,21.766318168183258,26,5.2,
21,crossing_down,standard,legacy_corridor,blocking,True,success,none,970.7628577736386,140,28.0,81.30000000000004,77.23340719641556,2.45712141905168,7.360359025231333,2.3603590252313333,8.835110143468754,4.835110143468754,79,15.8,0.9499804083199941
22,crossing_up,standard,legacy_corridor,blocking,False,dynamic_collision,dynamic_collision,223.63756278963058,77,15.4,43.50000000000002,70.43448524547784,35.16696466339311,8.356697478582912,3.3566974785829125,3.5765164336862765,-0.4234835663137235,77,15.4,
23,crossing_up,standard,legacy_corridor,blocking,True,success,none,989.9813180402531,146,29.200000000000003,84.89999999999999,79.38805101101772,2.65991920699234,7.213665506337254,2.2136655063372537,11.09098641583131,7.09098641583131,70,14.0,0.9350771614960863
24,crossing_up,standard,legacy_corridor,blocking,False,dynamic_collision,dynamic_collision,165.28649389067255,63,12.600000000000001,35.099999999999994,68.89903404576049,39.64938244914787,11.942700789430726,6.9427007894307255,3.860773296695438,-0.139226703304562,63,12.600000000000001,
25,crossing_up,standard,legacy_corridor,blocking,True,success,none,994.4176271453548,149,29.8,86.70000000000007,79.6551866736389,2.4684239591034003,12.67450302877065,7.6745030287706495,15.210880918194597,11.210880918194597,61,12.200000000000001,0.9187449443326278
26,crossing_up,standard,legacy_corridor,blocking,False,static_collision_2,static_collision_2,404.2298980829475,99,19.8,56.699999999999996,67.38965736806328,17.39992818193499,4.974209675152109,-0.025790324847890567,9.854860329395565,5.854860329395565,68,13.600000000000001,
27,crossing_down,standard,legacy_corridor,blocking,False,static_collision_2,static_collision_2,372.01147920517474,90,18.0,51.30000000000003,68.34119275040567,21.56282274088156,4.7937940572139714,-0.20620594278602855,10.42593257648343,6.425932576483429,67,13.4,
28,crossing_up,standard,legacy_corridor,blocking,True,success,none,958.3822511357956,144,28.8,83.70000000000005,76.38611311541725,2.827888001837685,10.765691781460335,5.765691781460335,10.240203739851873,6.240203739851873,81,16.2,0.9126178388938734
29,crossing_down,standard,legacy_corridor,blocking,True,success,none,951.8078068093145,136,27.200000000000003,78.9,75.34581749844308,2.4850368175116118,10.843080493119336,5.843080493119336,16.127201257004575,12.127201257004575,98,19.6,0.9549533269764648
30,crossing_up,standard,legacy_corridor,blocking,False,dynamic_collision,dynamic_collision,189.88815519153917,70,14.0,39.30000000000004,80.38538935546777,48.433536474448466,11.065392773937132,6.065392773937132,3.889257536948491,-0.11074246305150881,70,14.0,
31,crossing_down,standard,legacy_corridor,blocking,True,success,none,1010.1396698837257,146,29.200000000000003,84.9000000000001,81.92480365594501,2.88396514141783,5.113037604287778,0.11303760428777831,12.156302447763098,8.156302447763098,73,14.600000000000001,0.9649564623786209
32,crossing_down,standard,legacy_corridor,blocking,True,success,none,1001.8055450360879,145,29.0,84.29999999999995,80.58664127431433,2.6810867707055093,7.927529638879041,2.927529638879041,15.801678060226848,11.801678060226848,86,17.2,0.9559506675482132
33,crossing_up,standard,legacy_corridor,blocking,True,success,none,969.984695868811,144,28.8,83.70000000000003,77.48730849493273,2.768838908051602,8.330846986759488,3.3308469867594876,10.843931506931554,6.843931506931554,64,12.8,0.925774295041012
34,crossing_down,standard,legacy_corridor,blocking,False,static_collision_2,static_collision_2,513.6628089885244,117,23.400000000000002,67.50000000000001,80.81289126703243,19.75359341057855,4.579952021789606,-0.42004797821039386,11.300407956968693,7.300407956968693,93,18.6,
35,crossing_up,standard,legacy_corridor,blocking,True,success,none,929.9081656408591,136,27.200000000000003,78.90000000000005,74.21087796745225,2.4197497711142533,10.302381187092568,5.302381187092568,4.532526919912258,0.5325269199122582,71,14.200000000000001,0.9405687955317136
36,crossing_up,standard,legacy_corridor,blocking,True,success,none,986.5312652448301,147,29.400000000000002,85.50000000000011,79.48256024423623,2.995820821709122,6.083202954743649,1.0832029547436486,10.417778960827867,6.417778960827867,71,14.200000000000001,0.9296205876518845
