scenario_id,scenario_type,difficulty,risk_level,layout_type,success,termination_reason,collision_type,episode_reward,steps,navigation_time,path_length,direct_start_goal_distance,final_goal_distance,min_static_center_distance,min_static_clearance,min_dynamic_center_distance,min_dynamic_clearance,closest_dynamic_step,closest_dynamic_time,path_efficiency
0,crossing_left,standard,time_separated,two_sides,True,success,none,954.74422491681,140,28.0,81.30000000000001,75.985645182285,2.8112226906039592,8.18029721623946,3.1802972162394596,26.21391372510857,22.21391372510857,77,15.4,0.9346327820699261
1,crossing_right,standard,receding,clear,True,success,none,949.0688661283577,132,26.400000000000002,76.50000000000001,75.35534513149301,2.7884585186572415,16.427235019679365,11.427235019679365,29.079126729415677,25.079126729415677,0,0.0,0.9850371912613464
2,crossing_left,standard,conflict,clear,False,dynamic_collision,dynamic_collision,218.4352878742239,69,13.8,38.699999999999996,81.20546315285918,46.587505993652876,11.906108411386288,6.906108411386288,3.9575184896151367,-0.04248151038486325,69,13.8,
3,head_on,standard,conflict,mixed,False,static_collision_2,static_collision_2,444.70758097601026,105,21.0,60.30000000000003,78.30310837256252,24.209019014579535,4.9428072201278495,-0.057192779872150545,10.080167531468176,6.080167531468176,50,10.0,
4,head_on,standard,time_separated,blocking,False,static_collision_2,static_collision_2,358.82317865988887,87,17.400000000000002,49.50000000000001,77.69370270812804,32.29452474024397,4.671503171205964,-0.3284968287940364,21.29797365991714,17.29797365991714,67,13.4,
5,overtaking,standard,conflict,clear,True,success,none,946.3268803464684,134,26.8,77.69999999999999,74.98286735704959,2.680179322402659,12.297786537674593,7.297786537674593,8.759578122618539,4.759578122618539,67,13.4,0.9650304679156962
6,head_on,standard,time_separated,clear,True,success,none,926.6913224421631,129,25.8,74.69999999999999,73.28976866427531,2.9756364200589855,10.330400964944728,5.330400964944728,26.260738904311758,22.260738904311758,48,9.600000000000001,0.9811214011281837
7,overtaking,standard,conflict,mixed,True,success,none,1010.5329890218687,146,29.200000000000003,84.89999999999999,81.657079997184,2.774722198478641,6.132869828134687,1.1328698281346874,9.141793954221503,5.141793954221503,82,16.400000000000002,0.9618030623932157
8,head_on,standard,time_separated,clear,True,success,none,945.9208412017044,133,26.6,77.10000000000004,75.16187584847555,2.9047917283050566,13.184053264389544,8.184053264389544,20.718864750318968,16.718864750318968,97,19.400000000000002,0.9748622029633659
9,head_on,standard,conflict,clear,True,success,none,936.2657371270104,134,26.8,77.70000000000012,74.48005201486072,2.953662425155037,8.027825250582186,3.027825250582186,6.792384541897085,2.7923845418970847,68,13.600000000000001,0.958559227990484
10,head_on,standard,receding,clear,True,success,none,991.4516833161077,141,28.200000000000003,81.90000000000003,79.41314510203661,2.5629767704257866,15.362510852458895,10.362510852458895,21.22852298660787,17.22852298660787,0,0.0,0.9696354713313379
11,head_on,standard,time_separated,blocking,False,static_collision_2,static_collision_2,451.49378001124705,105,21.0,60.30000000000002,80.26332908495132,25.484085596615664,4.56216638088297,-0.43783361911703,11.676437066814366,7.6764370668143656,54,10.8,
12,crossing_right,standard,conflict,clear,True,success,none,959.394764188246,140,28.0,81.30000000000013,76.06197866606688,2.4225022472422766,9.889340909241634,4.889340909241634,15.883892403069781,11.883892403069781,75,15.0,0.9355716933095543
13,crossing_right,standard,conflict,clear,True,success,none,963.3627691760361,137,27.400000000000002,79.50000000000006,76.86710203155215,2.845825113948542,9.279557740749397,4.2795577407493965,12.605960190953255,8.605960190953255,87,17.400000000000002,0.9668817865604037
14,head_on,standard,conflict,clear,True,success,none,982.6181396372781,141,28.200000000000003,81.90000000000006,79.26679657066896,2.8204160617027463,6.898949005449729,1.8989490054497287,5.945258939345406,1.9452589393454058,94,18.8,0.9678485539764212
15,crossing_left,standard,conflict,mixed,True,success,none,972.4094372155113,141,28.200000000000003,81.89999999999999,78.0083638825987,2.9859129306636065,11.232483450209754,6.232483450209754,7.489799413671092,3.4897994136710917,80,16.0,0.9524830754896058
16,crossing_right,standard,conflict,clear,True,success,none,913.5572387827511,131,26.200000000000003,75.90000000000002,71.81654757115683,2.805823692881702,24.11562363863548,19.11562363863548,15.473237211782017,11.473237211782017,87,17.400000000000002,0.946199572742514
17,crossing_right,standard,receding,clear,True,success,none,955.5628622780303,133,26.6,77.09999999999998,75.9820325713535,2.760746343550456,20.011174560813803,15.011174560813803,23.30657401678188,19.30657401678188,0,0.0,0.9854997739475164
