scenario_id,scenario_type,difficulty,risk_level,layout_type,success,termination_reason,collision_type,episode_reward,steps,navigation_time,path_length,direct_start_goal_distance,final_goal_distance,min_static_center_distance,min_static_clearance,min_dynamic_center_distance,min_dynamic_clearance,closest_dynamic_step,closest_dynamic_time,path_efficiency
0,crossing_down,standard,legacy_corridor,blocking,False,dynamic_collision,dynamic_collision,122.50046616377281,56,11.200000000000001,30.900000000000034,73.11058672419853,48.0301087280493,13.206269165477398,8.206269165477398,3.8897972726318284,-0.1102027273681716,56,11.200000000000001,
1,crossing_down,standard,legacy_corridor,blocking,False,dynamic_collision,dynamic_collision,211.52810368729624,69,13.8,38.70000000000001,74.9701627993911,41.096880477142186,7.865149738451664,2.865149738451664,3.8671037928114798,-0.13289620718852024,69,13.8,
2,crossing_down,standard,legacy_corridor,blocking,True,success,none,965.0241565127814,139,27.8,80.70000000000005,77.25537069700046,2.4374105761083515,10.770877477161644,5.770877477161644,5.802950982442784,1.802950982442784,69,13.8,0.9573156220198317
3,crossing_down,standard,legacy_corridor,blocking,False,static_collision_1,static_collision_1,66.82130528493606,39,7.800000000000001,20.7,80.18557918796247,64.2164955643354,4.7112437084227325,-0.28875629157726745,23.914761898298085,19.914761898298085,39,7.800000000000001,
4,crossing_down,standard,legacy_corridor,blocking,True,success,none,983.9491344192202,145,29.0,84.30000000000013,78.87804163767444,2.5029328786329885,5.243714636332808,0.24371463633280843,12.18424004448029,8.18424004448029,73,14.600000000000001,0.9356825817043217
5,crossing_down,standard,legacy_corridor,blocking,False,dynamic_collision,dynamic_collision,124.75680801333331,56,11.200000000000001,30.900000000000027,80.042738849738,54.83495044751738,7.919401549534116,2.9194015495341157,3.528404808434238,-0.47159519156576213,56,11.200000000000001,
6,crossing_down,standard,legacy_corridor,blocking,True,success,none,1002.6669329644823,147,29.400000000000002,85.49999999999996,80.84095714125473,2.628405734549742,5.6542598149393655,0.6542598149393655,9.657614988026209,5.657614988026209,79,15.8,0.9455082706579506
7,crossing_up,standard,legacy_corridor,blocking,True,success,none,970.2899643934608,142,28.400000000000002,82.49999999999997,77.22619500147323,2.4871985621271335,9.2536886435503,4.2536886435503,14.092656194714529,10.092656194714529,104,20.8,0.9360750909269485
8,crossing_up,standard,legacy_corridor,blocking,True,success,none,966.3912057176767,141,28.200000000000003,81.90000000000008,76.88264625133158,2.5385256795639473,13.151270364647774,8.151270364647774,14.034631849673108,10.034631849673108,83,16.6,0.9387380494668072
9,crossing_down,standard,legacy_corridor,blocking,False,dynamic_collision,dynamic_collision,176.8836133965995,63,12.600000000000001,35.100000000000016,72.37817165161908,41.93166066431296,19.64659398613186,14.646593986131862,3.4183586976174296,-0.5816413023825704,63,12.600000000000001,
10,crossing_down,standard,legacy_corridor,blocking,True,success,none,962.8954369629885,139,27.8,80.69999999999996,77.3515138322054,2.683950355700214,7.0323519368339396,2.0323519368339396,5.634033233283403,1.6340332332834029,61,12.200000000000001,0.9585069867683449
11,crossing_down,standard,legacy_corridor,blocking,False,dynamic_collision,dynamic_collision,165.68623335704737,63,12.600000000000001,35.100000000000016,83.12878336811025,53.849107944618325,7.924411253475451,2.9244112534754514,3.9060825473200818,-0.09391745267991825,63,12.600000000000001,
12,crossing_down,standard,legacy_corridor,blocking,True,success,none,874.925770472372,123,24.6,71.10000000000007,68.08176779820367,2.9741907509664487,7.191306496676871,2.191306496676871,8.489183279449652,4.489183279449652,64,12.8,0.9575494767679833
13,crossing_down,standard,legacy_corridor,blocking,False,static_collision_2,static_collision_2,459.77666653110464,106,21.200000000000003,60.90000000000005,79.87147199505559,24.159470277798782,4.72853613627349,-0.27146386372650966,7.340277311082249,3.3402773110822492,80,16.0,
14,crossing_up,standard,legacy_corridor,blocking,True,success,none,1018.7178480858362,151,30.200000000000003,87.89999999999999,82.23678721370223,2.610002405118601,11.116046157221332,6.116046157221332,15.88389803446856,11.88389803446856,103,20.6,0.9355720957190243
15,crossing_down,standard,legacy_corridor,blocking,False,dynamic_collision,dynamic_collision,187.68438500824595,67,13.4,37.50000000000003,80.74248531794119,49.170386432111066,7.508376723570222,2.5083767235702217,3.6710467262718307,-0.3289532737281693,67,13.4,
16,crossing_up,standard,legacy_corridor,blocking,True,success,none,909.9129574855178,131,26.200000000000003,75.89999999999999,71.11763435934088,2.4713386107890467,7.1633337478349794,2.1633337478349794,11.77563403156902,7.7756340315690196,83,16.6,0.9369912300308417
17,crossing_up,standard,legacy_corridor,blocking,False,static_collision_2,static_collision_2,447.0292931684761,107,21.400000000000002,61.50000000000002,73.36356938977181,19.03003690619926,4.55961800198411,-0.44038199801588984,15.707438107497543,11.707438107497543,90,18.0,
18,crossing_down,standard,legacy_corridor,blocking,False,static_collision_1,static_collision_1,180.2546014871951,59,11.8,32.70000000000002,82.09374162844341,54.66002008650644,4.70354016364808,-0.29645983635191975,19.67203937298488,15.67203937298488,59,11.8,
19,crossing_down,standard,legacy_corridor,blocking,True,success,none,1036.2064186631226,152,30.400000000000002,88.50000000000003,85.55509167754566,2.9587349419703703,7.964832787821991,2.964832787821991,4.387443741064608,0.3874437410646081,76,15.200000000000001,0.9667241997462783
20,crossing_up,standard,legacy_corridor,blocking,True,success,none,893.8766948765552,126,25.200000000000003,72.89999999999993,69.51283206831349,2.4951625806579494,7.460211342355873,2.4602113423558727,10.24370434934047,6.2437043493404705,76,15.200000000000001,0.9535367910605425
21,crossing_down,standard,legacy_corridor,blocking,False,dynamic_collision,dynamic_collision,214.5135401266809,67,13.4,37.500000000000036,77.23340719641556,42.994718721876154,13.116129724549854,8.116129724549854,3.4788604610987317,-0.5211395389012683,67,13.4,
