stage,dataset,best_steps,success_count,total,collision_count,dynamic_collisions,out_of_bounds,timeouts,successful_path_efficiency,model_sha256
round0,common_fixed,170000,28,60,32,12,0,0,0.943368444055942,c87ab82495e490f1179a12afcec74023b73c6da6a47a420433330ce5ae34e9bf
round0,common_encounters,170000,42,60,18,9,0,0,0.9611122764084961,c87ab82495e490f1179a12afcec74023b73c6da6a47a420433330ce5ae34e9bf
A,common_fixed,200704,41,60,19,6,0,0,0.9028205178280285,08d802c820865bde1bd254a424efc27993e74277548a8425ad4cbd0fb5c6f15e
A,common_encounters,200704,39,60,21,4,0,0,0.930015103407376,08d802c820865bde1bd254a424efc27993e74277548a8425ad4cbd0fb5c6f15e
B,common_fixed,120000,41,60,19,0,0,0,0.92426144896404,5e1916206311867bfc0aa0843eae53baebdc6e0bc4db54ee4cf73485570b3dd7
B,common_encounters,120000,39,60,21,5,0,0,0.9409258368255379,5e1916206311867bfc0aa0843eae53baebdc6e0bc4db54ee4cf73485570b3dd7
C,common_fixed,180000,33,60,27,5,0,0,0.9316849339553931,a492552dce1c39aaf89631fc3dfb8d0fadace07c4655f885c64a4790120ad8d7
C,common_encounters,180000,47,60,13,0,0,0,0.9489667170320126,a492552dce1c39aaf89631fc3dfb8d0fadace07c4655f885c64a4790120ad8d7
D,common_fixed,90000,28,60,32,6,0,0,0.9383899693008744,328a204212a7780cd9a5c6a724e6a4ac79d44fb39f54d39ecfe3fa2162a9c1ca
D,common_encounters,90000,49,60,11,1,0,0,0.9566463620672686,328a204212a7780cd9a5c6a724e6a4ac79d44fb39f54d39ecfe3fa2162a9c1ca
