split,method,reason,count,scenario_ids
same_distribution,C-seed1,dynamic_collision,10,27 66 93 110 122 148 158 160 173 179
same_distribution,C-seed1,static_collision_1,18,4 12 23 38 49 91 97 114 129 137 144 153 193 202 218 227 229 239
same_distribution,C-seed1,static_collision_2,45,2 6 9 11 15 17 26 31 33 39 47 51 53 71 78 84 85 88 89 92 95 102 103 105 109 115 117 127 128 134 151 152 156 165 171 195 197 206 211 213 216 221 231 235 236
same_distribution,C-seed2,dynamic_collision,18,27 104 110 114 122 123 126 127 129 144 148 153 158 160 171 173 176 179
same_distribution,C-seed2,static_collision_1,7,193 202 218 226 227 229 230
same_distribution,C-seed2,static_collision_2,40,2 6 9 11 15 17 33 47 51 53 71 78 84 85 88 89 92 95 102 103 105 109 115 117 128 134 151 152 156 195 197 203 206 211 213 216 221 231 235 236
same_distribution,C-seed3,dynamic_collision,10,23 121 131 137 154 155 162 169 170 189
same_distribution,C-seed3,static_collision_1,62,0 2 6 9 11 15 26 31 33 39 47 51 53 65 69 71 77 78 84 85 88 92 95 99 102 103 105 109 115 117 125 127 128 134 151 152 156 176 179 180 181 184 187 190 195 197 203 204 205 206 207 211 212 213 216 217 221 231 232 235 236 238
same_distribution,C-seed3,static_collision_2,9,62 67 72 80 82 106 110 113 116
same_distribution,D-seed1,dynamic_collision,10,27 66 93 104 110 114 122 158 173 179
same_distribution,D-seed1,static_collision_1,14,86 91 120 135 142 181 193 202 208 218 223 226 227 229
same_distribution,D-seed1,static_collision_2,44,2 3 4 5 11 14 15 17 23 26 32 33 34 37 38 39 40 41 42 47 51 53 55 71 84 85 88 92 95 102 103 105 109 117 127 128 134 156 165 171 195 211 221 236
same_distribution,D-seed2,dynamic_collision,30,49 61 65 69 71 72 75 79 80 82 88 92 95 96 99 102 103 105 112 116 119 121 131 134 137 154 155 162 169 170
same_distribution,D-seed2,static_collision_1,49,33 39 70 83 85 86 98 100 108 111 117 118 120 123 124 127 135 142 158 159 166 177 180 181 183 184 185 187 189 191 193 195 196 202 204 205 208 209 212 215 217 220 221 222 226 227 229 232 238
same_distribution,D-seed2,static_collision_2,13,14 32 36 37 41 42 44 48 55 62 106 144 147
