scenario_id,scenario_type,difficulty,risk_level,layout_type,success,termination_reason,collision_type,episode_reward,steps,navigation_time,path_length,direct_start_goal_distance,final_goal_distance,min_static_center_distance,min_static_clearance,min_dynamic_center_distance,min_dynamic_clearance,closest_dynamic_step,closest_dynamic_time,path_efficiency,mean_inference_ms,p95_inference_ms,total_heading_variation,full_speed_fraction
0,head_on,challenge,receding,blocking,False,static_collision_2,static_collision_2,375.20182952401876,88,17.6,50.10000000000001,76.60553635239825,29.548221551467478,4.451656110018153,-0.5483438899818474,29.0778012400452,25.0778012400452,0,0.0,,0.12413181783896024,0.14059499881113877,0.17032046617906665,0.8876404494382022
1,head_on,challenge,conflict,two_sides,True,success,none,988.3329600001085,140,28.0,81.30000000000001,79.60259008042385,2.518491641249241,5.34693951074117,0.34693951074117013,6.203998749795418,2.203998749795418,40,8.0,0.9791216492057053,0.13012428524754274,0.18961501264129746,0.794143697867377,0.9290780141843972
2,head_on,challenge,receding,blocking,False,static_collision_2,static_collision_2,415.88353992721653,95,19.0,54.300000000000026,78.1481800043347,26.98293631116958,4.484977872214626,-0.5150221277853744,29.77071803760053,25.77071803760053,0,0.0,,0.12604631621415088,0.16081999929156154,0.27449324180748275,0.8958333333333334
3,head_on,challenge,conflict,clear,True,success,none,980.1794986741585,140,28.0,81.30000000000003,78.27048413092739,2.467314693413509,22.005961867047176,17.005961867047176,7.286700994478928,3.2867009944789283,47,9.4,0.9627365821762283,0.12805571417889688,0.190320007095579,1.0276767888591394,0.9290780141843972
4,head_on,challenge,receding,blocking,False,static_collision_2,static_collision_2,372.63167566176287,88,17.6,50.09999999999996,76.57580886343926,29.788773575586408,4.8517870100510345,-0.14821298994896548,23.124437918215886,19.124437918215886,0,0.0,,0.12779431910365185,0.16442000051029027,0.32233241425875153,0.8876404494382022
5,head_on,challenge,time_separated,blocking,True,success,none,960.0857125906726,135,27.0,78.30000000000005,76.35676543658639,2.578015843795024,6.12657602569808,1.1265760256980801,24.73154101800658,20.73154101800658,43,8.6,0.9751821894838613,0.12194444349949697,0.14121999993221834,0.8731877133118955,0.9264705882352942
6,head_on,challenge,conflict,mixed,True,success,none,1001.8281112749978,144,28.8,83.69999999999999,81.24685384214165,2.9684081971370113,5.478306638920701,0.47830663892070113,6.886605204847245,2.8866052048472453,41,8.200000000000001,0.9706912048045598,0.13147708300999106,0.19613000113167794,1.0666337099484153,0.9310344827586207
7,head_on,challenge,time_separated,two_sides,True,success,none,962.8556354551192,135,27.0,78.29999999999997,76.99674593736657,2.867449630157859,5.646397669867178,0.6463976698671781,19.852943114086774,15.852943114086774,43,8.6,0.9833556313839923,0.13431481503950501,0.22297999676084146,0.7798479234195608,0.9264705882352942
8,head_on,challenge,conflict,two_sides,False,static_collision_1,static_collision_1,143.26537151330012,52,10.4,28.499999999999986,78.42294914570073,54.142867185456694,4.993350175499081,-0.0066498245009194434,5.444224701743449,1.4442247017434493,42,8.4,,0.12627692250624442,0.18060500078718159,0.6074937247650877,0.8113207547169812
9,head_on,challenge,receding,blocking,True,success,none,998.0211812026132,140,28.0,81.29999999999997,80.36289017034342,2.664270515415937,5.552591075226963,0.5525910752269629,28.557013012678546,24.557013012678546,0,0.0,0.9884734338295628,0.1292935714965487,0.15361000405391675,0.5553584081050252,0.9290780141843972
10,head_on,challenge,time_separated,two_sides,True,success,none,993.0349350065412,140,28.0,81.29999999999997,79.60458815856293,2.515118243664288,6.15103472733194,1.1510347273319397,18.748454897379993,14.748454897379993,40,8.0,0.9791462258125826,0.12854142810933158,0.18621499693836047,0.8135320308818415,0.9290780141843972
11,head_on,challenge,conflict,clear,True,success,none,913.7073955321157,129,25.8,74.70000000000003,71.98982010330069,2.961680062398116,27.08616095232056,22.08616095232056,7.799959735735,3.7999597357350003,48,9.600000000000001,0.9637191446224987,0.1274387596054147,0.17209999496117231,1.0752632939995148,0.9230769230769231
12,head_on,challenge,conflict,mixed,False,static_collision_2,static_collision_2,424.9767174349082,99,19.8,56.70000000000001,75.61648977376788,23.27590139614496,4.891375931423518,-0.1086240685764821,6.450248670729089,2.4502486707290894,43,8.6,,0.12737070636546258,0.17438999930163843,0.762889821956281,0.9
13,head_on,challenge,conflict,mixed,True,success,none,976.8942314484084,140,28.0,81.29999999999995,78.0456845763973,2.6562614315564166,7.079269571022329,2.079269571022329,8.97447061108896,4.974470611088959,48,9.600000000000001,0.9599715200048875,0.1321342857928747,0.20127999960095597,1.1064634338574315,0.9290780141843972
14,head_on,challenge,receding,blocking,False,static_collision_2,static_collision_2,416.9698551376996,95,19.0,54.300000000000004,74.33605655637815,23.063432583266174,4.553751349541634,-0.44624865045836604,25.970067635508563,21.970067635508563,0,0.0,,0.12968526356608462,0.17681000317679713,0.16841286269686756,0.8958333333333334
15,head_on,challenge,conflict,mixed,True,success,none,984.6578525765223,141,28.200000000000003,81.89999999999999,79.06494317268387,2.810311445375208,6.198361015601403,1.198361015601403,8.14736672760671,4.147366727606711,45,9.0,0.9653839215223916,0.13562340449528598,0.21260000357870013,1.0804196890446371,0.9295774647887324
16,head_on,challenge,time_separated,blocking,False,static_collision_2,static_collision_2,374.65685468076157,91,18.2,51.90000000000003,73.17988691176336,26.17514428017114,4.815193216126868,-0.18480678387313176,9.212006383420192,5.212006383420192,46,9.200000000000001,,0.12639450525946833,0.16185000276891515,0.872946890517231,0.8913043478260869
17,head_on,challenge,conflict,mixed,True,success,none,957.1429818452804,135,27.0,78.29999999999998,76.69465561467958,2.6826584186386904,5.054037428413783,0.054037428413782784,6.23402366291557,2.23402366291557,41,8.200000000000001,0.9794975174288582,0.12645777799965194,0.16681999986758456,0.8406181302808883,0.9264705882352942
18,head_on,challenge,time_separated,blocking,False,static_collision_2,static_collision_2,428.8851165735134,99,19.8,56.69999999999999,78.78217307558543,26.317671619407232,4.896993967213304,-0.10300603278669573,20.73975615090392,16.73975615090392,39,7.800000000000001,,0.13198080661382072,0.19439000316197047,0.7121082120058224,0.9
19,head_on,challenge,conflict,clear,True,success,none,943.0784737547789,132,26.400000000000002,76.50000000000006,74.96677044738344,2.6725162493727854,11.662103033505277,6.662103033505277,6.264330848681629,2.264330848681629,39,7.800000000000001,0.9799577836259266,0.1291265148073294,0.16729000271880062,0.8136984666328442,0.924812030075188
20,head_on,challenge,conflict,mixed,False,static_collision_2,static_collision_2,426.0923868348563,99,19.8,56.699999999999996,77.99852510596612,25.543057941608666,4.84184975052552,-0.1581502494744802,6.517756667049267,2.517756667049267,41,8.200000000000001,,0.1272121212101833,0.17935000068973742,0.7523019700588935,0.9
21,head_on,challenge,conflict,two_sides,True,success,none,1024.3583519733972,146,29.200000000000003,84.90000000000002,82.96020288967988,2.522579738473733,5.7348031259462635,0.7348031259462635,7.113413767912844,3.113413767912844,48,9.600000000000001,0.9771519774991738,0.13603835605078518,0.21217499670456164,0.807831802623883,0.9319727891156463
22,head_on,challenge,conflict,mixed,True,success,none,934.2120958830135,132,26.400000000000002,76.50000000000014,74.05363196352398,2.905298721392144,6.366863161687281,1.3668631616872808,7.863995280590684,3.863995280590684,43,8.6,0.9680213328565208,0.12818939472763854,0.1834900096582714,1.0215470247390024,0.924812030075188
23,head_on,challenge,time_separated,clear,True,success,none,993.8070301362867,142,28.400000000000002,82.50000000000004,79.65984250220525,2.5691394885765573,28.45592970139612,23.45592970139612,19.84456384323428,15.84456384323428,42,8.4,0.9655738485115783,0.12369859157356394,0.1663899907725862,1.086519568674251,0.9300699300699301
24,head_on,challenge,receding,two_sides,True,success,none,986.9080272667774,137,27.400000000000002,79.50000000000001,79.366662609331,2.9908598826532216,8.83973208827976,3.83973208827976,24.94549950346743,20.94549950346743,0,0.0,0.998322800117371,0.12374817530529396,0.16274000226985652,0.33924092879710843,0.927536231884058
25,head_on,challenge,time_separated,clear,True,success,none,963.8849907613145,135,27.0,78.29999999999998,76.82891740891723,2.7654183327857744,9.27339196386825,4.273391963868249,21.392642381103126,17.392642381103126,42,8.4,0.9812122274446647,0.1189548150351685,0.14919000095687804,0.8065227677270395,0.9264705882352942
26,head_on,challenge,conflict,mixed,True,success,none,928.544877015133,132,26.400000000000002,76.49999999999999,73.4443615199448,2.71898124724141,5.474888220082221,0.47488822008222087,8.67071639406455,4.67071639406455,46,9.200000000000001,0.9600570133326121,0.12007196919787957,0.14574999731848945,1.1166238534225466,0.924812030075188
27,head_on,challenge,conflict,clear,True,success,none,928.6298267584843,132,26.400000000000002,76.50000000000007,73.29702541784458,2.774042741996111,11.146888234643258,6.146888234643258,8.15177366330342,4.15177366330342,47,9.4,0.9581310512136537,0.12870530311677916,0.20327999882283618,1.123521444579476,0.924812030075188
28,head_on,challenge,conflict,two_sides,False,static_collision_1,static_collision_1,123.68340334244567,48,9.600000000000001,26.100000000000005,78.55039375602398,56.667448469536076,4.9370967203756555,-0.0629032796243445,6.792184546141146,2.7921845461411463,43,8.6,,0.13223958285379922,0.19742500226129775,0.5481195673142504,0.7959183673469388
29,head_on,challenge,conflict,mixed,False,static_collision_2,static_collision_2,357.7370791022346,88,17.6,50.099999999999994,75.82059330131494,29.84966024571581,4.792585638018873,-0.20741436198112684,4.8747861885730295,0.8747861885730295,37,7.4,,0.12762272771479646,0.17712500120978797,0.7293351938621929,0.8876404494382022
30,crossing_left,challenge,conflict,two_sides,False,dynamic_collision,dynamic_collision,-41.298432598479266,24,4.800000000000001,11.7,77.90797379593425,69.29334081757754,17.841823347696756,12.841823347696756,3.9035560561813005,-0.09644394381869947,24,4.800000000000001,,0.13002916542366924,0.16996500198729333,0.18152866263629489,0.6
31,crossing_left,challenge,conflict,clear,False,dynamic_collision,dynamic_collision,-9.613272654890324,30,6.0,15.299999999999999,78.07121805342315,66.41572843186187,27.757527012234753,22.757527012234753,3.783353072308745,-0.21664692769125482,30,6.0,,0.13057333417236805,0.18043500240310087,0.3113030918672033,0.6774193548387096
32,crossing_left,challenge,conflict,mixed,False,dynamic_collision,dynamic_collision,-47.81705761071734,23,4.6000000000000005,11.100000000000003,83.32144578767598,75.32847298730584,18.04046490095738,13.040464900957382,3.716982969106776,-0.28301703089322405,23,4.6000000000000005,,0.11847391167817557,0.13629999884869903,0.1862412754841074,0.5833333333333334
33,crossing_left,challenge,receding,clear,True,success,none,932.4766605016575,132,26.400000000000002,75.52996591329574,73.54996252852551,2.6422964783597327,16.030408133606333,11.030408133606333,23.55348781547198,19.55348781547198,0,0.0,0.9737851942493505,0.11888636314931016,0.1355149986920878,0.773404541554843,0.7142857142857143
34,crossing_left,challenge,receding,clear,True,success,none,942.4675896988635,134,26.8,76.60526955127712,74.7272546431568,2.8104956732704287,9.551838792623592,4.551838792623592,28.83838232414329,24.83838232414329,0,0.0,0.9754845205934137,0.12583432815979417,0.16329999416484484,0.7687567668455135,0.7037037037037037
35,crossing_left,challenge,time_separated,clear,True,success,none,988.7546250915525,138,27.6,80.1,79.26989984116715,2.7044373320119095,17.366704206724652,12.366704206724652,15.281500365571867,11.281500365571867,49,9.8,0.9896367021369182,0.12397826039755339,0.15417000540765005,0.5414001736526476,0.9280575539568345
36,crossing_left,challenge,conflict,clear,False,dynamic_collision,dynamic_collision,-53.547272010352245,22,4.4,10.500000000000004,78.45596718941573,71.10200054773355,24.125127744064812,19.125127744064812,3.7038426402763065,-0.2961573597236935,22,4.4,,0.12450909178534693,0.15146998994168825,0.19621347118151422,0.5652173913043478
37,crossing_left,challenge,time_separated,blocking,False,static_collision_1,static_collision_1,124.52625912442818,47,9.4,25.5,82.43266837705738,60.63667598035416,4.8779218266200495,-0.12207817337995053,10.100806187553681,6.100806187553681,0,0.0,,0.13144255431240146,0.17606000037631017,0.37494188241769844,0.7916666666666666
38,crossing_left,challenge,conflict,mixed,False,dynamic_collision,dynamic_collision,-48.32984195369691,23,4.6000000000000005,11.100000000000001,81.69347450753978,73.75880251100548,19.602046772182476,14.602046772182476,3.6413364927856433,-0.3586635072143567,23,4.6000000000000005,,0.12094347925006371,0.14751000271644443,0.2087077679299819,0.5833333333333334
39,crossing_left,challenge,conflict,mixed,False,dynamic_collision,dynamic_collision,-29.720295132924676,26,5.2,12.899999999999999,77.6701329310656,67.963819942904,14.68374687961605,9.68374687961605,3.829841834808237,-0.1701581651917632,26,5.2,,0.13148076966619834,0.17322500207228586,0.22134981413795046,0.6296296296296297
40,crossing_left,challenge,conflict,mixed,False,dynamic_collision,dynamic_collision,-23.448963536829496,27,5.4,13.499999999999998,74.16583904762612,63.80613737513998,15.306718089949689,10.306718089949689,3.970690382152094,-0.0293096178479062,27,5.4,,0.1250703703758686,0.14913000486558303,0.2127978437426281,0.6428571428571429
41,crossing_left,challenge,time_separated,two_sides,True,success,none,1000.3234004429364,142,28.400000000000002,82.4805168449879,80.3153114884963,2.5729714442026133,7.499241585941884,2.499241585941884,10.11544821581516,6.11544821581516,0,0.0,0.9737488871394825,0.12204436633266955,0.1484349959355313,0.8600307430541307,0.9090909090909091
42,crossing_left,challenge,receding,blocking,False,static_collision_1,static_collision_1,75.05354622931796,38,7.6000000000000005,20.099999999999994,79.07561146270528,62.29956202338915,4.807681215750208,-0.19231878424979243,29.846519891773813,25.846519891773813,0,0.0,,0.12865263086400533,0.16437500744359565,0.21986029461965517,0.7435897435897436
43,crossing_left,challenge,conflict,mixed,False,dynamic_collision,dynamic_collision,-36.75923850819724,25,5.0,12.300000000000006,79.07735869270178,69.85854549223659,15.974617410653456,10.974617410653456,3.824044638205588,-0.17595536179441185,25,5.0,,0.1291840005433187,0.17780000925995404,0.19433567728843273,0.6153846153846154
44,crossing_left,challenge,conflict,clear,False,dynamic_collision,dynamic_collision,-12.45137406044816,29,5.800000000000001,14.700000000000003,78.93606153568246,67.45949973662408,19.46631092195418,14.466310921954179,3.7524557565698795,-0.2475442434301205,29,5.800000000000001,,0.11705172374635807,0.13395999849308282,0.23788595648436797,0.6666666666666666
45,crossing_left,challenge,conflict,mixed,False,dynamic_collision,dynamic_collision,-58.97151383883653,21,4.2,9.899999999999999,80.99113150891858,74.22403861252961,19.141964735419513,14.141964735419513,3.826545085105161,-0.173454914894839,21,4.2,,0.12356666654037932,0.14430000737775117,0.1897365548456654,0.5454545454545454
46,crossing_left,challenge,conflict,mixed,False,dynamic_collision,dynamic_collision,-29.691703429144596,26,5.2,12.900000000000004,76.90896906975208,67.14169348957216,16.469676686727247,11.469676686727247,3.799891540301488,-0.20010845969851188,26,5.2,,0.12348461426042305,0.1496500008215662,0.20809313196906987,0.6296296296296297
47,crossing_left,challenge,conflict,clear,False,dynamic_collision,dynamic_collision,-19.506857239850504,28,5.6000000000000005,14.099999999999994,80.22880674188843,69.51594949130482,27.090887096923392,22.090887096923392,3.8808441198567505,-0.11915588014324952,28,5.6000000000000005,,0.1304428593097587,0.18606500525493175,0.2653682557631871,0.6551724137931034
48,crossing_left,challenge,conflict,mixed,False,dynamic_collision,dynamic_collision,-17.865156001991252,28,5.6000000000000005,14.100000000000005,80.33874769818019,69.37551991379051,14.967169407581597,9.967169407581597,3.9512354586603142,-0.048764541339685774,28,5.6000000000000005,,0.11747857050587689,0.1321099975029938,0.22045641504086344,0.6551724137931034
49,crossing_left,challenge,conflict,two_sides,False,dynamic_collision,dynamic_collision,-35.05394691000302,25,5.0,12.300000000000002,80.65499991832839,71.52535536240256,21.408238210117528,16.408238210117528,3.868583763592271,-0.13141623640772915,25,5.0,,0.1243919995613396,0.1611599989701062,0.20733857754913532,0.6153846153846154
50,crossing_left,challenge,time_separated,blocking,False,static_collision_1,static_collision_1,89.3699439818018,40,8.0,21.30000000000001,76.98122057145348,58.74711333267129,4.682402696044976,-0.31759730395502395,20.972109853659685,16.972109853659685,40,8.0,,0.12740249912894797,0.17574500889168115,0.1435078366397087,0.7560975609756098
