scenario_id,scenario_type,difficulty,risk_level,layout_type,success,termination_reason,collision_type,episode_reward,steps,navigation_time,path_length,direct_start_goal_distance,final_goal_distance,min_static_center_distance,min_static_clearance,min_dynamic_center_distance,min_dynamic_clearance,closest_dynamic_step,closest_dynamic_time,path_efficiency,mean_inference_ms,p95_inference_ms,total_heading_variation,full_speed_fraction
0,head_on,challenge,receding,blocking,False,static_collision_2,static_collision_2,370.99984166929625,88,17.6,50.10000000000001,76.60553635239825,29.998986070416027,4.93568374574631,-0.06431625425368992,29.0778012400452,25.0778012400452,0,0.0,,0.1213977277736624,0.15576999940094527,0.6466099974245673,0.8876404494382022
1,head_on,challenge,conflict,two_sides,False,static_collision_1,static_collision_1,129.36417899764118,50,10.0,27.30000000000001,79.60259008042385,57.3206310606711,4.734073367689318,-0.26592663231068236,7.951293907625198,3.951293907625198,41,8.200000000000001,,0.12038399931043386,0.14835999827482735,0.8368880978595515,0.803921568627451
2,head_on,challenge,receding,blocking,False,static_collision_2,static_collision_2,415.20852607529525,96,19.200000000000003,54.899999999999984,78.1481800043347,27.055659980712072,4.801646670474053,-0.19835332952594698,29.77071803760053,25.77071803760053,0,0.0,,0.12276041510025001,0.1652999926591292,0.5712591186711586,0.8969072164948454
3,head_on,challenge,conflict,clear,True,success,none,976.4552248114784,140,28.0,81.30000000000003,78.27048413092739,2.9249616497795015,20.81032526224582,15.810325262245819,8.23508688918387,4.23508688918387,48,9.600000000000001,0.9627365821762283,0.1186100006244877,0.15007999172667036,1.2894397568640774,0.9290780141843972
4,head_on,challenge,receding,blocking,False,static_collision_2,static_collision_2,365.4085435479518,87,17.400000000000002,49.50000000000002,76.57580886343926,30.526131690144958,4.829549746986858,-0.17045025301314176,23.124437918215886,19.124437918215886,0,0.0,,0.12518735682784482,0.17261999601032588,0.6207622718725334,0.8863636363636364
5,head_on,challenge,time_separated,blocking,False,static_collision_2,static_collision_2,394.9599636662389,93,18.6,53.09999999999999,76.35676543658639,27.32085832428304,4.792893185954168,-0.2071068140458321,23.646521379393796,19.646521379393796,46,9.200000000000001,,0.12359139775501826,0.18685999966692174,0.8422947871283759,0.8936170212765957
6,head_on,challenge,conflict,mixed,False,static_collision_2,static_collision_2,473.24978429282044,109,21.8,62.70000000000005,81.24685384214165,24.26505998520999,4.555516199611155,-0.44448380038884494,7.898142739274311,3.898142739274311,42,8.4,,0.12029174404483664,0.14755999436601996,1.205870013137953,0.9090909090909091
7,head_on,challenge,time_separated,two_sides,False,static_collision_1,static_collision_1,113.77561854350877,47,9.4,25.499999999999993,76.99674593736657,56.299945108974356,4.879397730852454,-0.1206022691475459,21.814840473890744,17.814840473890744,43,8.6,,0.11595957565735629,0.12876000546384603,0.7081379592194863,0.7916666666666666
8,head_on,challenge,conflict,two_sides,False,static_collision_1,static_collision_1,117.21738404233076,48,9.600000000000001,26.100000000000005,78.42294914570073,57.23465045279876,4.6035799018927275,-0.3964200981072725,7.12344766034228,3.12344766034228,42,8.4,,0.12780208241262395,0.19424499696469863,0.741408365737462,0.7959183673469388
9,head_on,challenge,receding,blocking,False,static_collision_2,static_collision_2,441.28942114944283,100,20.0,57.30000000000004,80.36289017034342,26.656387083010927,4.825619792585893,-0.17438020741410742,28.557013012678546,24.557013012678546,0,0.0,,0.12933099918882363,0.1877900009276345,0.6716273854795402,0.900990099009901
10,head_on,challenge,time_separated,two_sides,False,static_collision_1,static_collision_1,137.14384072045289,51,10.200000000000001,27.90000000000001,79.60458815856293,56.5384893074674,4.910261290514673,-0.08973870948532703,20.512180098494408,16.512180098494408,39,7.800000000000001,,0.1271607850189777,0.19210000027669594,0.7921640027477577,0.8076923076923077
