scenario_id,scenario_type,difficulty,risk_level,layout_type,success,termination_reason,collision_type,episode_reward,steps,navigation_time,path_length,direct_start_goal_distance,final_goal_distance,min_static_center_distance,min_static_clearance,min_dynamic_center_distance,min_dynamic_clearance,closest_dynamic_step,closest_dynamic_time,path_efficiency,mean_inference_ms,p95_inference_ms,total_heading_variation,full_speed_fraction
0,head_on,standard,conflict,two_sides,False,static_collision_2,static_collision_2,363.38198403397996,94,18.8,53.700000000000024,76.79934613645538,30.906869382620677,4.82977211522689,-0.17022788477310957,12.764649442014434,8.764649442014434,59,11.8,,0.12462127500491099,0.16258999894489523,1.1585873337585118,0.8947368421052632
1,head_on,standard,conflict,mixed,True,success,none,979.5371021364638,144,28.8,83.69999999999995,78.36063074945744,2.6869205358110304,12.807333690046285,7.807333690046285,11.933766757737983,7.933766757737983,64,12.8,0.9362082526816905,0.12264027817663091,0.151975003973348,1.5251559555681817,0.9310344827586207
2,head_on,standard,conflict,two_sides,False,static_collision_2,static_collision_2,369.6182620786749,97,19.400000000000002,55.50000000000002,78.6934274524181,32.172671040808154,4.806285022788593,-0.19371497721140685,14.648463853978383,10.648463853978383,77,15.4,,0.12400515525140944,0.18066000484395758,1.1729238779557514,0.8979591836734694
3,head_on,standard,conflict,mixed,True,success,none,966.8913528433662,142,28.400000000000002,82.50000000000001,77.29068194382502,2.891546659488351,9.520443286861418,4.520443286861418,11.180966545603143,7.180966545603143,50,10.0,0.9368567508342425,0.12691197162625237,0.1830499975767452,1.5795107101213122,0.9300699300699301
4,head_on,standard,conflict,mixed,False,static_collision_1,static_collision_1,115.85549836290025,51,10.200000000000001,27.900000000000006,79.13222430159,58.219107711930704,4.998911908736343,-0.001088091263657276,20.5749249942701,16.5749249942701,51,10.200000000000001,,0.11951764777311873,0.14224999904399738,0.6916997346541374,0.8076923076923077
5,head_on,standard,conflict,mixed,True,success,none,980.6981618915336,144,28.8,83.69999999999999,78.41773888439567,2.6279226952423413,8.535137893200227,3.5351378932002273,11.295050912213547,7.295050912213547,54,10.8,0.9368905482006653,0.11929444432704865,0.1370250043692067,1.545605076580381,0.9310344827586207
6,head_on,standard,conflict,two_sides,False,static_collision_2,static_collision_2,377.1868225893158,97,19.400000000000002,55.5,75.6974347830512,28.41687447884668,4.816329172429129,-0.18367082757087072,12.409094789739758,8.409094789739758,61,12.200000000000001,,0.1192371141628756,0.1532000023871659,1.2035006497166847,0.8979591836734694
7,head_on,standard,conflict,mixed,True,success,none,943.9301964043749,138,27.6,80.1,74.60956088698177,2.5265412465442427,9.237290958628062,4.237290958628062,11.41705647268272,7.41705647268272,53,10.600000000000001,0.9314551920971508,0.11516449371086218,0.13309999703778885,1.5580305189828463,0.9280575539568345
8,head_on,standard,conflict,mixed,True,success,none,938.3854491548751,138,27.6,80.10000000000002,73.95371984636326,2.4251749308757162,10.884240562799066,5.884240562799066,13.054382821715762,9.054382821715762,69,13.8,0.9232674138122751,0.12056956525750295,0.18237500771647325,1.638455113918042,0.9280575539568345
9,head_on,standard,receding,two_sides,False,static_collision_2,static_collision_2,364.0421003774615,97,19.400000000000002,55.49999999999999,81.340851175316,35.38136943677178,4.883996382128344,-0.11600361787165614,26.32305240220734,22.32305240220734,19,3.8000000000000003,,0.12652680473450148,0.18161999760195613,1.297023918831094,0.8979591836734694
