scenario_id,scenario_type,difficulty,risk_level,layout_type,success,termination_reason,collision_type,episode_reward,steps,navigation_time,path_length,direct_start_goal_distance,final_goal_distance,min_static_center_distance,min_static_clearance,min_dynamic_center_distance,min_dynamic_clearance,closest_dynamic_step,closest_dynamic_time,path_efficiency,mean_inference_ms,p95_inference_ms,total_heading_variation,full_speed_fraction
0,head_on,standard,conflict,two_sides,True,success,none,960.9055922350514,136,27.200000000000003,78.89999999999996,76.79934613645538,2.697595541973578,6.003114317151133,1.003114317151133,6.698681049043854,2.698681049043854,56,11.200000000000001,0.97337574317434,0.12214632357320036,0.15449999773409218,0.836944629753989,0.927007299270073
1,head_on,standard,conflict,mixed,True,success,none,975.2943328173642,139,27.8,80.69999999999993,78.36063074945744,2.9770246244736356,5.754421200163507,0.7544212001635069,9.449832169041883,5.449832169041883,64,12.8,0.9710115334505267,0.11821510741343093,0.14957999810576436,0.916834029129856,0.9285714285714286
2,head_on,standard,conflict,two_sides,True,success,none,979.8112515685984,140,28.0,81.29999999999997,78.6934274524181,2.976991190360082,6.547194235847412,1.547194235847412,9.05692545867114,5.05692545867114,74,14.8,0.9679388370531136,0.12137500016251579,0.15981000251485875,0.980341959756367,0.9290780141843972
3,head_on,standard,conflict,mixed,True,success,none,965.914286087824,139,27.8,80.69999999999997,77.29068194382502,2.753134895290248,5.280536748249187,0.28053674824918673,10.275231058357846,6.275231058357846,51,10.200000000000001,0.9577531839383525,0.1258316552207852,0.17982999561354515,1.1504510819641087,0.9285714285714286
4,head_on,standard,conflict,mixed,True,success,none,985.6344027973687,144,28.8,83.69999999999999,79.13222430159,2.8487840218531053,11.076912340642396,6.076912340642396,10.959031991465249,6.959031991465249,67,13.4,0.9454268136390682,0.12357222153190782,0.16651501064188773,1.2610055666638662,0.9310344827586207
5,head_on,standard,conflict,mixed,True,success,none,982.0313227273258,139,27.8,80.70000000000006,78.41773888439567,2.5157639907138307,7.4573402913958455,2.4573402913958455,7.922723109324834,3.922723109324834,54,10.8,0.9717191931151873,0.11950791432361434,0.15858999831834808,0.8590905239953757,0.9285714285714286
6,head_on,standard,conflict,two_sides,True,success,none,950.3101966864624,134,26.8,77.69999999999999,75.6974347830512,2.9964151144049387,7.280728054864891,2.280728054864891,8.160989958583711,4.160989958583711,60,12.0,0.9742269598848289,0.12359776047193934,0.1864300022134557,0.8934520513274844,0.9259259259259259
7,head_on,standard,conflict,mixed,True,success,none,941.7238383149656,135,27.0,78.30000000000001,74.60956088698177,2.6762955753186826,6.193274193895923,1.193274193895923,10.40937834020414,6.409378340204141,53,10.600000000000001,0.9528679551338667,0.11949555590507333,0.1537399977678433,1.184929581738875,0.9264705882352942
8,head_on,standard,conflict,mixed,True,success,none,931.5695135617525,132,26.400000000000002,76.50000000000001,73.95371984636326,2.940811851180359,5.5604048139849525,0.5604048139849525,8.608849825084938,4.608849825084938,67,13.4,0.9667152921093234,0.12190757556571484,0.15597999881720157,0.9826397177849263,0.924812030075188
9,head_on,standard,receding,two_sides,True,success,none,1010.0105528768701,141,28.200000000000003,81.90000000000006,81.340851175316,2.6347958876289694,9.668689674252978,4.6686896742529775,27.318069859414468,23.318069859414468,0,0.0,0.9931727860233937,0.12895673701658528,0.18270000873599201,0.38415152372765415,0.9295774647887324
10,head_on,standard,time_separated,blocking,True,success,none,972.578456468024,137,27.400000000000002,79.50000000000006,77.67305908338886,2.730213436586443,7.174871497023397,2.174871497023397,27.218343850610783,23.218343850610783,43,8.6,0.9770196111118089,0.12696788288962205,0.17986000166274585,0.8746265324490594,0.927536231884058
11,head_on,standard,conflict,two_sides,True,success,none,1006.1462005547437,144,28.8,83.69999999999992,81.44587345857269,2.6621780937475115,5.345369246642439,0.34536924664243873,6.809647953403407,2.809647953403407,56,11.200000000000001,0.9730689779996747,0.12430069475360343,0.17903999978443608,0.8614783903167356,0.9310344827586207
12,head_on,standard,time_separated,clear,True,success,none,939.1487810515753,139,27.8,80.70000000000014,74.42969432222651,2.819816217068951,7.603773951897249,2.6037739518972494,33.17483496817069,29.174834968170693,83,16.6,0.9223010448850852,0.1204410078349061,0.16077001055236903,1.5142504835505846,0.9285714285714286
