split,method,scenario_type,n,success_rate,static_collision_rate,dynamic_collision_rate
same_distribution,C-seed1,crossing_left,60,0.6666666666666666,0.2833333333333333,0.05
same_distribution,C-seed1,crossing_right,60,0.7,0.2,0.1
same_distribution,C-seed1,head_on,60,0.6833333333333333,0.3,0.016666666666666666
same_distribution,C-seed1,overtaking,60,0.7333333333333333,0.26666666666666666,0.0
same_distribution,C-seed2,crossing_left,60,0.7166666666666667,0.23333333333333334,0.05
same_distribution,C-seed2,crossing_right,60,0.6833333333333333,0.08333333333333333,0.23333333333333334
same_distribution,C-seed2,head_on,60,0.8166666666666667,0.16666666666666666,0.016666666666666666
same_distribution,C-seed2,overtaking,60,0.7,0.3,0.0
same_distribution,C-seed3,crossing_left,60,0.5666666666666667,0.43333333333333335,0.0
same_distribution,C-seed3,crossing_right,60,0.7166666666666667,0.15,0.13333333333333333
same_distribution,C-seed3,head_on,60,0.7666666666666667,0.21666666666666667,0.016666666666666666
same_distribution,C-seed3,overtaking,60,0.6,0.38333333333333336,0.016666666666666666
same_distribution,D-seed1,crossing_left,60,0.7,0.21666666666666667,0.08333333333333333
same_distribution,D-seed1,crossing_right,60,0.7833333333333333,0.15,0.06666666666666667
same_distribution,D-seed1,head_on,60,0.6,0.38333333333333336,0.016666666666666666
same_distribution,D-seed1,overtaking,60,0.7833333333333333,0.21666666666666667,0.0
same_distribution,D-seed2,crossing_left,60,0.4666666666666667,0.2,0.3333333333333333
same_distribution,D-seed2,crossing_right,60,0.65,0.2,0.15
same_distribution,D-seed2,head_on,60,0.8,0.18333333333333332,0.016666666666666666
same_distribution,D-seed2,overtaking,60,0.55,0.45,0.0
same_distribution,D-seed3,crossing_left,60,0.6333333333333333,0.15,0.21666666666666667
same_distribution,D-seed3,crossing_right,60,0.8166666666666667,0.06666666666666667,0.11666666666666667
same_distribution,D-seed3,head_on,60,0.7166666666666667,0.2833333333333333,0.0
same_distribution,D-seed3,overtaking,60,0.65,0.35,0.0
same_distribution,A-seed1,crossing_left,60,0.6,0.31666666666666665,0.08333333333333333
same_distribution,A-seed1,crossing_right,60,0.5166666666666667,0.31666666666666665,0.16666666666666666
same_distribution,A-seed1,head_on,60,0.75,0.23333333333333334,0.016666666666666666
same_distribution,A-seed1,overtaking,60,0.5166666666666667,0.4666666666666667,0.016666666666666666
same_distribution,B-seed1,crossing_left,60,0.6333333333333333,0.3,0.06666666666666667
same_distribution,B-seed1,crossing_right,60,0.6,0.31666666666666665,0.08333333333333333
same_distribution,B-seed1,head_on,60,0.6166666666666667,0.35,0.03333333333333333
same_distribution,B-seed1,overtaking,60,0.7,0.21666666666666667,0.08333333333333333
same_distribution,round0-seed1,crossing_left,60,0.6333333333333333,0.06666666666666667,0.3
same_distribution,round0-seed1,crossing_right,60,0.8166666666666667,0.06666666666666667,0.11666666666666667
same_distribution,round0-seed1,head_on,60,0.43333333333333335,0.55,0.016666666666666666
same_distribution,round0-seed1,overtaking,60,0.6833333333333333,0.31666666666666665,0.0
