,,,success_rate,success_rate,static_collision_rate,static_collision_rate,dynamic_collision_rate,dynamic_collision_rate
,,,mean,std,mean,std,mean,std
split,stage,scenario_type,,,,,,
challenge,C,crossing_left,0.688888888888889,0.33719979789985594,0.12222222222222223,0.01924500897298752,0.18888888888888888,0.32716515254078793
challenge,C,crossing_right,0.5111111111111111,0.30792014356780045,0.11111111111111112,0.019245008972987518,0.37777777777777777,0.32716515254078793
challenge,C,head_on,0.7000000000000001,0.08819171036881972,0.2888888888888889,0.06938886664887108,0.011111111111111112,0.019245008972987525
challenge,C,overtaking,0.7000000000000001,0.1201850425154663,0.24444444444444444,0.08388704928078611,0.05555555555555556,0.03849001794597506
challenge,D,crossing_left,0.5555555555555556,0.3595264374969653,0.06666666666666667,0.05773502691896258,0.37777777777777777,0.32716515254078793
challenge,D,crossing_right,0.7111111111111111,0.26736020923368814,0.09999999999999999,0.1452966314513558,0.18888888888888888,0.32716515254078793
challenge,D,head_on,0.5777777777777778,0.09622504486493756,0.41111111111111115,0.07698003589195013,0.011111111111111112,0.019245008972987525
challenge,D,overtaking,0.5444444444444444,0.16777409856157222,0.39999999999999997,0.15275252316519466,0.05555555555555555,0.01924500897298752
same_distribution,C,crossing_left,0.65,0.07637626158259736,0.31666666666666665,0.10408329997330666,0.03333333333333333,0.02886751345948129
same_distribution,C,crossing_right,0.7000000000000001,0.016666666666666677,0.14444444444444446,0.05853140973807078,0.15555555555555556,0.06938886664887109
same_distribution,C,head_on,0.7555555555555555,0.06735753140545633,0.22777777777777777,0.06735753140545635,0.016666666666666666,0.0
same_distribution,C,overtaking,0.6777777777777777,0.06938886664887103,0.31666666666666665,0.060092521257733185,0.005555555555555556,0.009622504486493762
same_distribution,D,crossing_left,0.6,0.12018504251546626,0.18888888888888888,0.03469443332443555,0.2111111111111111,0.1250925583244189
same_distribution,D,crossing_right,0.75,0.08819171036881966,0.1388888888888889,0.06735753140545635,0.1111111111111111,0.04194352464039305
same_distribution,D,head_on,0.7055555555555556,0.10046189622236187,0.2833333333333333,0.1,0.011111111111111112,0.009622504486493762
same_distribution,D,overtaking,0.6611111111111111,0.11706281947614156,0.33888888888888885,0.11706281947614153,0.0,0.0
