dataset,method,scenario_id,success,reason,reward,steps,full_speed_fraction_after_2s,clipped_speed_fraction,raw_speed_mean_min,raw_speed_mean_max,safety_entry_to_collision_s,abs_w_at_safety_entry,safety_active_nonterminal_steps,safety_active_positive_reward_steps,reward_progress_sum,reward_static_safety_sum,reward_dynamic_safety_sum,reward_time_sum,reward_terminal_sum
validation_D,C-seed1,0,True,success,971.3359833521131,141,1.0,1.0,1.807992696762085,2.389530897140503,,,12,12,779.786362960961,0.0,-1.4003796088479574,-7.049999999999999,200.0
validation_D,C-seed1,1,True,success,932.5804172932901,135,1.0,1.0,1.727858066558838,2.290099859237671,,,0,0,739.3304172932902,0.0,0.0,-6.749999999999998,200.0
validation_D,C-seed1,2,True,success,940.8918767187321,135,1.0,1.0,1.8931167125701904,2.4343221187591553,,,0,0,747.6418767187322,0.0,0.0,-6.749999999999998,200.0
validation_D,C-seed1,3,True,success,972.2658829395989,142,1.0,1.0,1.7030117511749268,2.37817645072937,,,13,13,780.6876452840495,-1.321762344450676,0.0,-7.099999999999998,200.0
validation_D,C-seed1,4,True,success,1011.3568607621394,147,1.0,1.0,1.9605283737182617,2.3779866695404053,,,0,0,818.7068607621393,0.0,0.0,-7.349999999999999,200.0
validation_D,C-seed1,5,True,success,974.7908021406481,139,1.0,1.0,1.581741452217102,2.191343307495117,,,25,25,783.7413362147724,-1.102037106978805,-0.8984969671455256,-6.949999999999999,200.0
validation_D,C-seed1,6,True,success,993.3562581341178,146,1.0,1.0,1.8300237655639648,2.2517611980438232,,,14,14,806.441251514394,0.0,-5.7849933802764095,-7.299999999999999,200.0
validation_D,C-seed1,7,False,static_collision_2,362.82756902021924,94,1.0,1.0,1.7164106369018555,2.404543876647949,1.0,0.05284941364163931,14,14,489.2956677910062,-1.098300568186343,-0.6697982026006719,-4.699999999999998,-120.0
validation_D,C-seed1,8,False,dynamic_collision,284.8718674001102,84,1.0,1.0,1.8275117874145508,2.1478922367095947,1.2000000000000002,0.029162402936851742,6,6,443.08301040556887,0.0,-4.0111430054587585,-4.199999999999999,-150.0
validation_D,C-seed1,9,False,static_collision_1,77.80525237269589,44,1.0,1.0,1.363274097442627,1.9047046899795532,0.8,0.0654954451310394,4,4,200.94391924019914,-0.9386668675032693,0.0,-2.1999999999999993,-120.0
validation_D,C-seed1,10,True,success,976.1060847933858,142,1.0,1.0,1.8639881610870361,2.4430153369903564,,,0,0,783.2060847933858,0.0,0.0,-7.099999999999998,200.0
validation_D,C-seed1,11,True,success,982.4406780388434,142,1.0,1.0,1.497786045074463,1.9332544803619385,,,0,0,789.5406780388435,0.0,0.0,-7.099999999999998,200.0
validation_D,C-seed1,12,False,static_collision_2,389.2433611943878,95,1.0,1.0,1.7061786651611328,2.286412477493286,0.8,0.03077476687542452,4,4,515.0029798875499,-1.0096186931623277,0.0,-4.749999999999998,-120.0
validation_D,C-seed1,13,True,success,985.1716412944887,144,1.0,1.0,1.7662038803100586,2.4220104217529297,,,0,0,792.3716412944885,0.0,0.0,-7.199999999999999,200.0
validation_D,C-seed1,14,True,success,997.4270017295748,146,1.0,1.0,1.8646459579467773,2.1929385662078857,,,7,7,805.3690741658133,0.0,-0.642072436238591,-7.299999999999999,200.0
validation_D,C-seed1,15,False,static_collision_1,88.38618351493521,47,1.0,1.0,1.3906327486038208,1.9270439147949219,0.8,0.03876533075448345,4,4,211.70842699772584,-0.9722434827906368,0.0,-2.3499999999999988,-120.0
validation_D,C-seed1,16,True,success,970.8954489169919,141,1.0,1.0,1.324225664138794,2.0121145248413086,,,0,0,777.9454489169916,0.0,0.0,-7.049999999999999,200.0
validation_D,C-seed1,17,False,static_collision_1,-56.22519248855191,17,1.0,1.0,1.438269853591919,2.129485845565796,0.8,0.07255226351013601,4,4,65.65443868800799,-1.0296311765598998,0.0,-0.8500000000000001,-120.0
validation_D,C-seed1,18,True,success,994.6472995682789,145,1.0,1.0,1.3935296535491943,2.056273937225342,,,0,0,801.8972995682786,0.0,0.0,-7.249999999999999,200.0
validation_D,C-seed1,19,True,success,989.0319818197813,143,1.0,1.0,1.5278815031051636,2.324814558029175,,,13,13,797.5195956244611,-1.3376138046798065,0.0,-7.149999999999999,200.0
validation_D,C-seed1,20,True,success,1002.6228851221248,144,1.0,1.0,1.760941505432129,2.2187116146087646,,,0,0,809.8228851221247,0.0,0.0,-7.199999999999999,200.0
validation_D,C-seed1,21,False,static_collision_1,101.75878470637126,50,1.0,1.0,1.3320584297180176,1.7517104148864746,0.8,0.046265196799722276,4,4,225.08829654422294,-0.8295118378516766,0.0,-2.4999999999999996,-120.0
validation_D,C-seed1,22,True,success,928.1373269280526,134,1.0,1.0,1.8241748809814453,2.445571184158325,,,0,0,734.8373269280527,0.0,0.0,-6.699999999999998,200.0
validation_D,C-seed1,23,False,dynamic_collision,140.5524593231368,59,1.0,1.0,1.8258159160614014,2.18998122215271,1.2000000000000002,0.04693781727420773,6,6,297.86618149262716,0.0,-4.363722169490403,-2.9499999999999993,-150.0
validation_D,C-seed1,24,False,static_collision_1,-12.577095829613029,25,1.0,1.0,1.79463791847229,2.377880334854126,1.2000000000000002,0.011407844691092826,6,6,109.94206185991331,-1.2691576895263412,0.0,-1.2500000000000002,-120.0
validation_D,C-seed1,25,True,success,952.3174585777688,138,1.0,1.0,1.881274700164795,2.436006546020508,,,13,13,760.959016613169,-1.7415580354001243,0.0,-6.899999999999999,200.0
validation_D,C-seed1,26,True,success,969.9698055168049,140,1.0,1.0,1.7979388236999512,2.4717795848846436,,,0,0,776.9698055168049,0.0,0.0,-6.999999999999998,200.0
validation_D,C-seed1,27,True,success,946.6405401021613,135,1.0,1.0,1.853046178817749,2.537508726119995,,,0,0,753.3905401021613,0.0,0.0,-6.749999999999998,200.0
