split,method,reason,count,ids
same_distribution,base-seed1,dynamic_collision,13,24 57 62 71 97 104 114 130 134 141 159 161 166
same_distribution,base-seed1,static_collision_1,9,181 186 188 192 194 200 207 224 225
same_distribution,base-seed1,static_collision_2,39,2 5 10 11 12 13 14 16 19 21 23 25 26 27 31 35 36 39 41 45 50 52 54 58 75 85 95 132 138 140 153 170 175 176 182 205 213 221 236
same_distribution,base-seed2,dynamic_collision,31,20 29 30 33 59 61 66 67 79 81 85 90 91 93 94 95 98 99 100 101 103 109 111 117 143 146 170 173 184 200 236
same_distribution,base-seed2,static_collision_1,46,12 51 63 64 69 70 72 73 74 76 84 96 106 108 110 113 115 118 132 136 153 172 177 185 186 187 188 192 194 195 198 207 208 211 212 218 219 220 223 224 225 228 229 232 238 239
same_distribution,base-seed2,static_collision_2,7,10 36 41 44 45 58 130
same_distribution,base-seed3,dynamic_collision,22,33 61 67 79 81 84 85 90 91 93 94 99 100 103 109 111 117 143 146 160 173 200
same_distribution,base-seed3,static_collision_1,29,70 74 75 76 95 106 132 136 153 172 177 185 186 187 194 195 198 207 208 211 212 218 219 220 224 225 232 238 239
same_distribution,base-seed3,static_collision_2,3,10 36 44
same_distribution,instant-seed1,dynamic_collision,19,17 24 57 62 71 97 114 124 134 141 147 155 157 159 161 166 167 172 187
same_distribution,instant-seed1,static_collision_1,16,11 18 31 48 50 56 67 107 181 186 188 192 194 200 224 239
same_distribution,instant-seed1,static_collision_2,15,2 5 13 14 16 25 27 36 39 41 45 52 58 138 140
same_distribution,instant-seed2,dynamic_collision,19,24 57 71 97 114 123 124 134 137 141 147 155 157 159 161 166 167 171 172
same_distribution,instant-seed2,static_collision_1,21,69 70 74 76 91 99 106 110 115 185 186 187 188 192 194 200 207 224 225 228 239
same_distribution,instant-seed2,static_collision_2,16,2 10 13 14 23 27 36 39 41 45 52 85 95 138 170 221
same_distribution,instant-seed3,dynamic_collision,16,29 33 61 79 81 85 91 100 101 103 109 117 143 146 173 184
same_distribution,instant-seed3,static_collision_1,20,68 73 95 132 153 177 185 194 198 202 205 208 211 218 219 220 225 232 238 239
same_distribution,instant-seed3,static_collision_2,18,10 36 44 48 56 60 67 78 84 86 87 89 99 111 119 160 181 188
same_distribution,predictive-seed1,dynamic_collision,17,24 57 71 97 114 123 124 134 141 147 155 157 159 161 166 167 172
same_distribution,predictive-seed1,static_collision_1,17,65 91 99 106 185 186 187 188 192 194 200 207 223 224 225 228 239
same_distribution,predictive-seed1,static_collision_2,21,2 5 13 14 16 23 25 27 31 36 39 41 45 50 52 58 62 138 140 176 205
