scenario_id,scenario_type,success,reason,collision,steps,path_length,navigation_time,path_efficiency,min_static_clearance,min_dynamic_clearance,base_return,risk_return,training_return,full_speed_fraction_after_2s,clipped_mean_fraction,high_risk_mean_speed,risk_onset_step,braking_delay_seconds,risk_no_braking_response
0,head_on,True,success,False,149,82.71999978192152,29.8,0.9784541292654823,1.3192045851466743,0.9230799403331504,994.6007186039246,0.0,994.6007186039246,0.8848920863309353,,3.0,16.0,23.6,False
1,head_on,True,success,False,140,77.19000024452808,28.0,0.9807007715353419,1.5083364921212201,1.0966938977298124,943.9316346074867,0.0,943.9316346074867,0.8692307692307693,,3.0,23.0,20.400000000000002,False
2,head_on,True,success,False,147,81.48999984517688,29.400000000000002,0.9773690936813926,0.5920449511129231,21.86863335921804,987.0177561102789,0.0,987.0177561102789,0.8832116788321168,,3.0,72.0,12.0,False
3,head_on,True,success,False,141,77.63000007733704,28.200000000000003,0.9809655636437802,1.6302726257765663,1.071893288613607,949.3399907977403,0.0,949.3399907977403,0.8702290076335878,,3.0,23.0,20.400000000000002,False
4,head_on,True,success,False,143,78.86999931737778,28.6,0.9979211768743687,10.920245919995818,23.6387684088237,981.5499931737762,0.0,981.5499931737762,0.8721804511278195,,,,,False
5,head_on,True,success,False,141,77.7299998860061,28.200000000000003,0.9798666363957054,1.5982238327590554,0.9764428977774848,948.3507698683235,0.0,948.3507698683235,0.8702290076335878,,3.0,16.0,22.0,False
6,head_on,True,success,False,143,78.7266668296606,28.6,0.997546699190239,5.193636177106397,23.1907952186179,980.0877633446053,0.0,980.0877633446053,0.8721804511278195,,,,,False
7,head_on,True,success,False,142,78.38999999530613,28.400000000000002,0.9712372633084813,0.858129343744908,1.0889603128223753,947.1778619847212,0.0,947.1778619847212,0.8712121212121212,,3.0,23.0,20.8,False
8,head_on,True,success,False,135,74.28999984517691,27.0,0.9822865677512588,0.7648405533650786,17.004151004773263,921.4653346045362,0.0,921.4653346045362,0.872,,3.0,66.0,10.8,False
9,head_on,True,success,False,153,84.80999962598091,30.6,0.9682974112010542,0.689818782846709,1.1382158157368565,1006.9469244274453,0.0,1006.9469244274453,0.8811188811188811,,3.0,22.0,23.0,False
10,head_on,True,success,False,136,74.86999993577564,27.200000000000003,0.9988006393178231,13.063722198111186,8.783602096824305,941.8999993577569,0.0,941.8999993577569,0.873015873015873,,,,,False
11,head_on,True,success,False,139,76.72999914541836,27.8,0.9801509223678149,0.675811099669219,15.486612106549103,943.347339984657,0.0,943.347339984657,0.875968992248062,,3.0,66.0,11.600000000000001,False
12,head_on,True,success,False,143,78.83333387777208,28.6,0.982035259823529,1.5776574691030536,1.1888065431891617,962.3961667601013,0.0,962.3961667601013,0.8721804511278195,,3.0,23.0,21.0,False
13,head_on,True,success,False,141,77.68999962463968,28.200000000000003,0.9685072595677636,0.7653322670313623,1.049119296552795,938.2335615274569,0.0,938.2335615274569,0.8702290076335878,,3.0,16.0,22.0,False
14,head_on,True,success,False,149,82.67000029340375,29.8,0.9760906918787181,1.1543460249461175,0.923679769399703,992.3648486627743,0.0,992.3648486627743,0.8776978417266187,,3.0,17.0,23.400000000000002,False
15,head_on,True,success,False,152,84.33249985442505,30.400000000000002,0.9794585397308582,1.3434087190936674,0.9780814833253322,1012.5304399205496,0.0,1012.5304399205496,0.8802816901408451,,3.0,20.0,23.400000000000002,False
16,head_on,True,success,False,142,78.10666652575136,28.400000000000002,0.9818254710062226,14.009888301909804,0.8809419835762489,954.6201648166432,0.0,954.6201648166432,0.8712121212121212,,3.0,24.0,20.400000000000002,False
17,head_on,True,success,False,136,74.8899999345839,27.200000000000003,0.9871508310316076,6.6756814902945685,1.0979546357480983,926.0055464945584,0.0,926.0055464945584,0.873015873015873,,3.0,13.0,21.6,False
18,head_on,True,success,False,137,75.25333303615461,27.400000000000002,0.9796301709573972,0.7308428373387628,16.436892591110578,930.1270797396373,0.0,930.1270797396373,0.8661417322834646,,3.0,67.0,11.0,False
19,head_on,True,success,False,139,76.59000024452811,27.8,0.9861185454930483,0.910748412953807,9.661862855763252,947.5948355990481,0.0,947.5948355990481,0.8682170542635659,,3.0,65.0,11.8,False
20,head_on,True,success,False,139,76.59000024452814,27.8,0.9888523334626397,1.5701165289360794,0.8054929471425867,942.938389777258,0.0,942.938389777258,0.8682170542635659,,3.0,14.0,22.0,False
21,head_on,True,success,False,139,76.34999907419103,27.8,0.9774723362950977,0.6622684773094827,15.623150914124587,939.1199971139342,0.0,939.1199971139342,0.8682170542635659,,3.0,71.0,10.4,False
22,head_on,True,success,False,143,79.06999993577602,28.6,0.9710061052461851,0.8080195634641258,1.199583740169195,952.7997722076235,0.0,952.7997722076235,0.8796992481203008,,3.0,22.0,21.200000000000003,False
23,head_on,True,success,False,141,77.95999965324998,28.200000000000003,0.9777439190687053,1.3132156001825361,0.9190968587471238,947.7886969996019,0.0,947.7886969996019,0.8778625954198473,,3.0,21.0,21.0,False
24,head_on,True,success,False,141,77.85000042088332,28.200000000000003,0.9870096807336821,4.924596996379657,1.0499346882391496,955.1609558737409,0.0,955.1609558737409,0.8702290076335878,,3.0,24.0,20.400000000000002,False
25,head_on,True,success,False,144,79.70999984398495,28.8,0.9853899247835998,15.7493598395905,0.9423554788536377,971.5355309359975,0.0,971.5355309359975,0.8805970149253731,,3.0,13.0,23.200000000000003,False
26,head_on,True,success,False,145,80.40999980330494,29.0,0.9997584154528073,11.000793594969949,9.356007708161593,996.8499980330465,0.0,996.8499980330465,0.8814814814814815,,,,,False
27,head_on,True,success,False,147,81.30999989278617,29.400000000000002,0.9813579134209676,0.7043499466070129,15.710164252638176,989.8572680861515,0.0,989.8572680861515,0.8759124087591241,,3.0,77.0,11.0,False
28,head_on,True,success,False,137,75.46999993577604,27.400000000000002,0.981893522622326,1.729800394268226,1.0210584159774712,927.8609619715849,0.0,927.8609619715849,0.8740157480314961,,3.0,19.0,20.6,False
29,head_on,True,success,False,147,81.48999993458389,29.400000000000002,0.9780922419181016,1.3490893423088437,0.8950377937951757,982.629239581227,0.0,982.629239581227,0.8832116788321168,,3.0,22.0,22.0,False
30,crossing_left,True,success,False,135,74.21000051267444,27.0,0.9880588661717182,1.0372652909580529,8.491661334709592,925.6948468008288,0.0,925.6948468008288,0.864,,3.0,11.0,21.8,False
31,crossing_left,True,success,False,142,78.14999907419086,28.400000000000002,0.9928958303664638,4.663036869911117,3.8246015563206592,970.153938053484,0.0,970.153938053484,0.8712121212121212,,,,,False
32,crossing_left,True,success,False,147,81.12666682966055,29.400000000000002,0.9842671641601802,0.8997747838472678,7.290039786271144,991.5872934185262,0.0,991.5872934185262,0.8759124087591241,,3.0,16.0,23.0,False
33,crossing_left,True,success,False,133,72.99000024452813,26.6,0.9904331522661273,3.6520989976864158,3.314166283680433,913.9254836257401,0.0,913.9254836257401,0.8617886178861789,,,,,False
34,crossing_left,True,success,False,139,76.68999993458391,27.8,0.9946429268515554,11.718055761560972,3.8976562133132067,955.7852581434985,0.0,955.7852581434985,0.875968992248062,,,,,False
35,crossing_left,True,success,False,138,75.88999962463973,27.6,0.987216468390094,1.0532388159721053,18.90359874397142,942.0621518958878,0.0,942.0621518958878,0.8671875,,3.0,12.0,22.200000000000003,False
36,crossing_left,True,success,False,137,75.28999962463982,27.400000000000002,0.9797088665058821,0.7655974172664353,13.010564778904033,929.9937638861323,0.0,929.9937638861323,0.8661417322834646,,3.0,11.0,22.200000000000003,False
37,crossing_left,True,success,False,139,76.47333303496211,27.8,0.9909940394580968,8.198343420643663,3.1056856951940253,947.68019932633,0.0,947.68019932633,0.8682170542635659,,,,,False
38,crossing_left,True,success,False,140,76.94999907419088,28.0,0.989837989851365,4.718582458115716,3.038827357215313,952.4506211491212,0.0,952.4506211491212,0.8692307692307693,,,,,False
39,crossing_left,True,success,False,140,76.99000028774125,28.0,0.9867352546169376,1.999205186489375,3.671645645088061,953.2396253982098,0.0,953.2396253982098,0.8692307692307693,,,,,False
40,crossing_left,True,success,False,141,77.59000028774152,28.200000000000003,0.985004859847178,0.9662156707529101,21.743006712827935,957.3100316192769,0.0,957.3100316192769,0.8702290076335878,,3.0,21.0,20.8,False
41,crossing_left,True,success,False,147,81.3924999581372,29.400000000000002,0.992632507884096,8.766242509025234,3.4952241221581524,1000.1622352046388,0.0,1000.1622352046388,0.8759124087591241,,,,,False
42,crossing_left,True,success,False,143,78.97000024572041,28.6,0.9987128271780032,11.14021245099515,8.58985746341778,982.5500024572016,0.0,982.5500024572016,0.8721804511278195,,,,,False
43,crossing_left,True,success,False,143,78.92999989159401,28.6,0.993435183161455,15.521922942174228,3.736218066789185,977.4344477926812,0.0,977.4344477926812,0.8721804511278195,,,,,False
44,crossing_left,True,success,False,145,80.26999993577597,29.0,0.9853717888248826,0.9029594230677409,8.467930201634935,982.4279468204011,0.0,982.4279468204011,0.8814814814814815,,3.0,25.0,21.0,False
45,crossing_left,True,success,False,140,77.45999973222604,28.0,0.9995103119437434,12.743204607297415,16.601712493720214,967.5999973222599,0.0,967.5999973222599,0.8769230769230769,,,,,False
46,crossing_left,True,success,False,146,80.70999962344773,29.200000000000003,0.9865402364578946,0.9723437397274548,14.270625419028299,988.5602416735296,0.0,988.5602416735296,0.875,,3.0,20.0,22.200000000000003,False
47,crossing_left,True,success,False,146,80.70999962344776,29.200000000000003,0.9868845209838363,1.8948769477609586,3.742353061653895,989.6682749721987,0.0,989.6682749721987,0.875,,,,,False
48,crossing_left,True,success,False,134,73.66999993577588,26.8,0.9990127652000771,13.432077867900322,16.927068430903084,929.9999993577588,0.0,929.9999993577588,0.8709677419354839,,,,,False
49,crossing_left,True,success,False,139,76.64999962851407,27.8,0.9863387684546445,2.0999070991940263,3.428724412550678,947.6027432406136,0.0,947.6027432406136,0.875968992248062,,,,,False
50,crossing_left,True,success,False,136,75.05999973222615,27.200000000000003,0.9994584222203027,6.398831180664898,6.339027697192545,943.7999973222604,0.0,943.7999973222604,0.873015873015873,,,,,False
51,crossing_left,True,success,False,142,78.55999965324993,28.400000000000002,0.9874988572517372,2.158019743002373,3.20728617153475,966.2537628104977,0.0,966.2537628104977,0.8787878787878788,,,,,False
52,crossing_left,True,success,False,136,74.67333303496241,27.200000000000003,0.9865698053428293,1.0164594056673497,20.716639552364743,929.6470027567148,0.0,929.6470027567148,0.8650793650793651,,3.0,21.0,20.0,False
53,crossing_left,True,success,False,149,82.48999962463976,29.8,0.9767228849903165,1.2345944867025338,3.3704410202798343,996.5281513219566,0.0,996.5281513219566,0.8776978417266187,,,,,False
54,crossing_left,True,success,False,144,79.59000024452801,28.8,0.9772512060874516,1.2624965528114194,3.3271409607928097,968.5240154081191,0.0,968.5240154081191,0.8731343283582089,,,,,False
55,crossing_left,True,success,False,143,79.25999973222602,28.6,0.9996400469818667,12.21966928256857,16.896884670022125,985.4499973222601,0.0,985.4499973222601,0.8796992481203008,,,,,False
56,crossing_left,True,success,False,143,79.1099998439849,28.6,0.9834192207935701,0.7966816417212383,16.712917727599216,969.193705610567,0.0,969.193705610567,0.8796992481203008,,3.0,25.0,20.6,False
57,crossing_left,True,success,False,150,82.92666682966043,30.0,0.9929267058268854,9.86552098521103,4.124548985026635,1017.8181362443942,0.0,1017.8181362443942,0.8785714285714286,,,,,False
58,crossing_left,True,success,False,134,73.59249995813698,26.8,0.9915202367763528,4.160774872417402,3.4781889683656413,922.6690798976582,0.0,922.6690798976582,0.8629032258064516,,,,,False
59,crossing_left,True,success,False,136,74.94499914452396,27.200000000000003,0.9993732832136413,11.097207387014645,22.83046085700767,942.6499914452395,0.0,942.6499914452395,0.873015873015873,,,,,False
60,crossing_right,True,success,False,147,81.14999907419093,29.400000000000002,0.9830972298367282,1.8180723425875733,3.0756059695626936,988.4721217916323,0.0,988.4721217916323,0.8759124087591241,,,,,False
61,crossing_right,True,success,False,140,77.25000042088338,28.0,0.9846995610501431,0.8862889949595836,20.79357736614011,952.6292797074204,0.0,952.6292797074204,0.8692307692307693,,3.0,17.0,21.6,False
62,crossing_right,True,success,False,143,79.069999935776,28.6,0.9924172294489659,11.101188593836664,3.358603895074113,975.9026898463252,0.0,975.9026898463252,0.8796992481203008,,,,,False
63,crossing_right,True,success,False,141,77.7699999372663,28.200000000000003,0.9826990111304206,0.8139002330211662,6.22465124849637,956.2424617943149,0.0,956.2424617943149,0.8702290076335878,,3.0,17.0,21.8,False
64,crossing_right,True,success,False,136,74.8899998451772,27.200000000000003,0.9993228640792041,11.45168924861057,17.730457486656256,942.0999984517698,0.0,942.0999984517698,0.873015873015873,,,,,False
65,crossing_right,True,success,False,145,80.10999962344759,29.0,0.9911320521501594,18.439379534189733,3.0665563097016104,983.8973713746161,0.0,983.8973713746161,0.8740740740740741,,,,,False
66,crossing_right,True,success,False,147,81.39000024452805,29.400000000000002,0.9874254093651861,2.01693695643485,3.551634552681313,995.5280576411631,0.0,995.5280576411631,0.8759124087591241,,,,,False
67,crossing_right,True,success,False,150,82.96999941274531,30.0,0.9810474893902,1.4572564453756254,3.6667724490193585,1006.7057517755328,0.0,1006.7057517755328,0.8785714285714286,,,,,False
68,crossing_right,True,success,False,145,80.28999993458402,29.0,0.9873707033270612,2.1334935115109026,2.8027992598226428,980.5338778366089,0.0,980.5338778366089,0.8814814814814815,,2.5499997675418853,,,False
69,crossing_right,True,success,False,140,77.04999931857003,28.0,0.9979284818416335,15.228835916381474,16.206140761276544,963.4999931857009,0.0,963.4999931857009,0.8692307692307693,,,,,False
70,crossing_right,True,success,False,150,83.28999993458388,30.0,0.9880993775579976,2.149661037977446,2.9993266662464837,1011.6230202936831,0.0,1011.6230202936831,0.8857142857142857,,2.5499997675418853,,,False
71,crossing_right,True,success,False,144,79.40999980926513,28.8,0.9913715622548768,5.9017490596376625,3.3029382162799363,978.5285996878424,0.0,978.5285996878424,0.8731343283582089,,,,,False
72,crossing_right,True,success,False,144,79.39000028774144,28.8,0.9864178125329228,1.0003121417382523,23.21189221221122,975.9821234172629,0.0,975.9821234172629,0.8731343283582089,,3.0,21.0,21.400000000000002,False
