scenario_id,scenario_type,success,reason,collision,steps,path_length,navigation_time,path_efficiency,min_static_clearance,min_dynamic_clearance,base_return,risk_return,training_return,full_speed_fraction_after_2s,clipped_mean_fraction,high_risk_mean_speed,risk_onset_step,braking_delay_seconds,risk_no_braking_response
0,head_on,False,static_collision_2,True,92,52.5,18.400000000000002,,-0.05277224790444013,1.2836080892631365,384.5374442715241,0.0,384.5374442715241,1.0,1.0,3.0,70.0,,True
1,head_on,True,success,False,135,78.30000000000004,27.0,0.9667981199823995,1.6929765384560058,2.837809693028757,949.5167313316595,0.0,949.5167313316595,1.0,1.0,,,,False
2,head_on,False,static_collision_2,True,95,54.30000000000001,19.0,,-0.2336887079312957,21.86863335921804,414.23421463062436,0.0,414.23421463062436,1.0,1.0,3.0,73.0,,True
3,head_on,True,success,False,136,78.89999999999998,27.200000000000003,0.9651756246074988,0.05544543623088227,2.9656176581069973,952.9818105832392,0.0,952.9818105832392,1.0,1.0,3.0,80.0,,True
4,head_on,True,success,False,138,80.10000000000002,27.6,0.9825972851295662,14.971884551099347,23.6387684088237,983.128643826922,0.0,983.128643826922,1.0,1.0,,,,False
5,head_on,False,static_collision_2,True,101,57.90000000000001,20.200000000000003,,-0.03929186766958015,1.397349912175236,438.3088953664362,0.0,438.3088953664362,1.0,1.0,3.0,79.0,,True
6,head_on,True,success,False,137,79.49999999999997,27.400000000000002,0.9878431023166998,2.8018010555348383,23.1907952186179,982.9533607361495,0.0,982.9533607361495,1.0,1.0,,,,False
7,head_on,False,static_collision_2,True,99,56.700000000000024,19.8,,-0.011991568173123746,4.133885631766331,420.24300470066044,0.0,420.24300470066044,1.0,1.0,3.0,76.0,,True
8,head_on,False,static_collision_2,True,91,51.90000000000001,18.2,,-0.20965145664851903,17.004151004773263,383.1867713825971,0.0,383.1867713825971,1.0,1.0,3.0,70.0,,True
9,head_on,False,static_collision_2,True,100,57.29999999999998,20.0,,-0.2901642034307219,2.6012443908558156,434.61495910180355,0.0,434.61495910180355,1.0,1.0,3.0,78.0,,True
10,head_on,True,success,False,133,77.10000000000007,26.6,0.969911852160545,19.245483762650377,1.3611427300849561,936.7635602204182,0.0,936.7635602204182,1.0,1.0,3.0,28.0,,True
11,head_on,False,static_collision_2,True,94,53.699999999999996,18.8,,-0.04244512451480631,19.77052373563982,402.46059405211366,0.0,402.46059405211366,1.0,1.0,3.0,72.0,,True
12,head_on,False,static_collision_2,True,99,56.70000000000007,19.8,,-0.18978505588885675,1.25461293659811,421.7608005181792,0.0,421.7608005181792,1.0,1.0,3.0,77.0,,True
13,head_on,False,static_collision_2,True,99,56.70000000000003,19.8,,-0.07084152010417011,0.5832313127008328,422.4136542009639,0.0,422.4136542009639,1.0,1.0,3.0,21.0,,True
14,head_on,False,static_collision_2,True,96,54.90000000000001,19.200000000000003,,-0.015325649985959977,1.1250668786872096,407.0625001239283,0.0,407.0625001239283,1.0,1.0,3.0,74.0,,True
15,head_on,False,static_collision_2,True,107,61.50000000000003,21.400000000000002,,-0.17103138574162724,2.0178759017989387,474.78566532754724,0.0,474.78566532754724,1.0,1.0,3.0,85.0,,True
16,head_on,True,success,False,137,79.50000000000009,27.400000000000002,0.9646177943442983,10.733035343518672,3.887940594729791,964.8839717182716,0.0,964.8839717182716,1.0,1.0,,,,False
17,head_on,True,success,False,130,75.30000000000005,26.0,0.9817759053304314,3.6281286101527357,0.22244370516861345,926.8737150941547,0.0,926.8737150941547,1.0,1.0,3.0,15.0,,True
18,head_on,False,static_collision_2,True,89,50.69999999999999,17.8,,-0.4923613524172943,16.436892591110578,378.76841776565135,0.0,378.76841776565135,1.0,1.0,3.0,67.0,,True
19,head_on,True,success,False,135,78.30000000000004,27.0,0.9645826263147668,3.8496526470413475,1.9290791389008195,948.6064591203293,0.0,948.6064591203293,1.0,1.0,,,,False
20,head_on,True,success,False,133,77.09999999999992,26.6,0.9823112900350955,0.7139535207244627,1.6573279775441323,948.1360230524526,0.0,948.1360230524526,1.0,1.0,3.0,23.0,,True
21,head_on,True,success,False,133,77.1,26.6,0.9679638387960837,0.15550453048901325,8.613878174608368,938.106627098828,0.0,938.106627098828,1.0,1.0,3.0,82.0,,True
22,head_on,False,static_collision_2,True,93,53.10000000000003,18.6,,-0.1255964466902384,4.074425758162162,385.5936959823616,0.0,385.5936959823616,1.0,1.0,3.0,70.0,,True
23,head_on,True,success,False,136,78.90000000000002,27.200000000000003,0.9660952546459255,0.2877800287280605,3.2019605678370677,955.2772508221814,0.0,955.2772508221814,1.0,1.0,3.0,85.0,,True
24,head_on,True,success,False,135,78.3,27.0,0.9813372166096177,3.7761381552278834,1.405162919379281,958.4123836632882,0.0,958.4123836632882,1.0,1.0,,,,False
25,head_on,True,success,False,138,80.10000000000007,27.6,0.9805921442043073,4.6691721752281055,0.9711491206748173,976.6660492025264,0.0,976.6660492025264,1.0,1.0,3.0,34.0,,True
26,head_on,True,success,False,143,83.09999999999992,28.6,0.9673955955464834,3.9767886533380707,2.784540121828506,999.6747928985066,0.0,999.6747928985066,1.0,1.0,,,,False
27,head_on,True,success,False,142,82.50000000000007,28.400000000000002,0.9672025676974989,0.12822239037309835,8.87142532621696,991.7520928075228,0.0,991.7520928075228,1.0,1.0,3.0,87.0,,True
28,head_on,True,success,False,132,76.50000000000001,26.400000000000002,0.9686732560685731,2.706692199392527,3.439582699790023,938.0035288158106,0.0,938.0035288158106,1.0,1.0,,,,False
29,head_on,True,success,False,142,82.49999999999993,28.400000000000002,0.9661180209687659,2.042849471841068,3.6125127944099287,994.3285311366066,0.0,994.3285311366066,1.0,1.0,,,,False
30,crossing_left,True,success,False,131,75.89999999999992,26.200000000000003,0.9660586161417103,2.6413476879661566,8.491661334709592,928.8646713837917,0.0,928.8646713837917,1.0,1.0,,,,False
