scenario_id,scenario_type,success,reason,collision,steps,path_length,navigation_time,path_efficiency,min_static_clearance,min_dynamic_clearance,base_return,risk_return,training_return,full_speed_fraction_after_2s,clipped_mean_fraction,high_risk_mean_speed,risk_onset_step,braking_delay_seconds,risk_no_braking_response
0,head_on,True,success,False,143,83.09999999999998,28.6,0.9739798478876164,0.9073406796170218,2.5685348658125653,1002.5170966295361,-9.193354919738745,993.3237417097971,1.0,1.0,3.0,84.0,,True
1,head_on,True,success,False,135,78.30000000000004,27.0,0.9667981199823995,2.633159056277555,4.759122244221889,952.3243265035295,0.0,952.3243265035295,1.0,1.0,,,,False
2,head_on,False,static_collision_2,True,94,53.70000000000002,18.8,,-0.06100924589247558,21.86863335921804,410.7662279442373,-2.7228149982400325,408.0434129459972,1.0,1.0,3.0,73.0,,True
3,head_on,True,success,False,136,78.89999999999992,27.200000000000003,0.9651756246074995,2.8070472491603846,4.784686583887851,958.1569042469259,0.0,958.1569042469259,1.0,1.0,,,,False
4,head_on,True,success,False,137,79.49999999999997,27.400000000000002,0.9900131136965825,8.07677043751423,23.6387684088237,981.9314551891612,0.0,981.9314551891612,1.0,1.0,,,,False
5,head_on,False,static_collision_2,True,99,56.7,19.8,,-0.32583466667644245,2.2447333542754713,420.2541538561655,-4.306292948231943,415.9478609079335,1.0,1.0,3.0,77.0,,True
6,head_on,True,success,False,137,79.49999999999999,27.400000000000002,0.9878431023166996,3.0590942625808157,23.1907952186179,983.9313894652447,0.0,983.9313894652447,1.0,1.0,,,,False
7,head_on,True,success,False,137,79.50000000000003,27.400000000000002,0.9576765920275844,3.5883087054250637,3.573880364845044,959.5509699178027,0.0,959.5509699178027,1.0,1.0,,,,False
8,head_on,True,success,False,128,74.1000000000001,25.6,0.9848052492059417,1.0013934277182805,17.004151004773263,923.6825174856524,-8.17474169514874,915.5077757905035,1.0,1.0,3.0,95.0,,True
9,head_on,True,success,False,146,84.9,29.200000000000003,0.9672709432485238,2.94282101064738,2.8261316888639065,1017.4995616784161,0.0,1017.4995616784161,1.0,1.0,,,,False
10,head_on,True,success,False,133,77.10000000000002,26.6,0.9699118521605455,6.864803567877697,16.089133937170715,943.1983199516762,0.0,943.1983199516762,1.0,1.0,,,,False
11,head_on,False,static_collision_2,True,91,51.90000000000001,18.2,,-0.2773221635984129,9.9466291038693,381.68122685538503,-3.972278663436197,377.7089481919488,1.0,1.0,3.0,69.0,,True
12,head_on,True,success,False,137,79.49999999999996,27.400000000000002,0.9738001700303517,1.621282368508001,4.2154948275230115,969.7558603407829,-1.938467118111249,967.8173932226715,1.0,1.0,,,,False
13,head_on,False,static_collision_2,True,96,54.89999999999998,19.200000000000003,,-0.4371893358129171,2.8778090812234236,406.4965714930704,-4.809808295497688,401.68676319757265,1.0,1.0,3.0,74.0,,True
14,head_on,False,static_collision_2,True,99,56.70000000000001,19.8,,-0.11280237057065712,2.853682437220672,422.104213641846,-7.215054614704658,414.88915902714126,1.0,1.0,3.0,76.0,,True
15,head_on,False,static_collision_2,True,109,62.699999999999996,21.8,,-0.0812964668464371,2.937316585778489,479.2174801487581,-5.183303684791456,474.0341764639668,1.0,1.0,3.0,87.0,,True
16,head_on,True,success,False,138,80.10000000000001,27.6,0.9573921928885367,6.4583635218748086,4.461882914388985,965.5646534907046,0.0,965.5646534907046,1.0,1.0,,,,False
17,head_on,True,success,False,131,75.9,26.200000000000003,0.9740148309799939,7.135965155552672,2.391300260727391,934.9365582969142,0.0,934.9365582969142,1.0,1.0,,,,False
18,head_on,False,static_collision_2,True,94,53.700000000000024,18.8,,-0.20014816105680922,16.436892591110578,406.6068135231578,-6.71486244400897,399.89195107914895,1.0,1.0,3.0,71.0,,True
19,head_on,True,success,False,135,78.30000000000001,27.0,0.9645826263147671,0.7327833423236765,16.969063087496814,948.8882128112368,-11.520208855091504,937.3680039561452,1.0,1.0,3.0,82.0,,True
20,head_on,True,success,False,134,77.69999999999993,26.8,0.9747258746680291,5.226289763935075,1.5399945624861795,948.2126287500928,-1.6067874341067938,946.605841315986,1.0,1.0,,,,False
21,head_on,True,success,False,133,77.10000000000004,26.6,0.9679638387960832,2.41786841798701,21.746848865029975,940.9008835953921,0.0,940.9008835953921,1.0,1.0,,,,False
22,head_on,True,success,False,138,80.09999999999998,27.6,0.9585200084825719,4.8101756268871,2.9977765571217025,964.5463804323704,0.0,964.5463804323704,1.0,1.0,,,,False
23,head_on,True,success,False,136,78.90000000000003,27.200000000000003,0.9660952546459254,2.01008552836217,4.016305338049872,956.7951055648022,0.0,956.7951055648022,1.0,1.0,,,,False
24,head_on,True,success,False,136,78.89999999999993,27.200000000000003,0.9738745761791271,3.7759845281511506,4.051758083780923,963.1294958393642,0.0,963.1294958393642,1.0,1.0,,,,False
25,head_on,True,success,False,139,80.69999999999999,27.8,0.9733014962920086,17.17824257493134,2.3372102890823774,980.2957710724011,0.0,980.2957710724011,1.0,1.0,,,,False
26,head_on,True,success,False,143,83.10000000000001,28.6,0.9673955955464824,8.026773903006431,15.249657933772777,998.5585002319295,0.0,998.5585002319295,1.0,1.0,,,,False
27,head_on,True,success,False,142,82.50000000000004,28.400000000000002,0.9672025676974992,3.0671587378405043,21.72299151147136,992.90202440616,0.0,992.90202440616,1.0,1.0,,,,False
28,head_on,False,static_collision_2,True,99,56.70000000000005,19.8,,-0.06132531317985279,3.0489496707214423,414.1954038692302,-8.835979634067453,405.3594242351627,1.0,1.0,3.0,75.0,,True
29,head_on,True,success,False,142,82.50000000000001,28.400000000000002,0.9661180209687649,0.7056710696773498,4.065972004835821,989.7383092436683,-11.720720477419558,978.0175887662488,1.0,1.0,3.0,92.0,,True
30,crossing_left,False,static_collision_1,True,32,16.500000000000004,6.4,,-0.15100629469581417,8.491661334709592,39.98508872481666,-2.933463177262161,37.051625547554536,1.0,1.0,3.0,11.0,,True
31,crossing_left,True,success,False,136,78.90000000000009,27.200000000000003,0.9834576454234096,5.8312259543159115,4.871966947152222,969.62037363912,0.0,969.62037363912,1.0,1.0,,,,False
32,crossing_left,False,static_collision_1,True,39,20.700000000000003,7.800000000000001,,-0.031009912367933268,7.085022986587834,79.57838194138772,-2.9620116856518317,76.61637025573587,1.0,1.0,3.0,19.0,,True
33,crossing_left,True,success,False,127,73.50000000000001,25.400000000000002,0.983560762259774,5.770661317193859,3.12330047962237,914.6821941804158,0.0,914.6821941804158,1.0,1.0,,,,False
34,crossing_left,True,success,False,134,77.69999999999996,26.8,0.9817138480718169,14.131867111438666,4.515339933765725,957.8325368319236,0.0,957.8325368319236,1.0,1.0,,,,False
35,crossing_left,True,success,False,131,75.90000000000009,26.200000000000003,0.9870863954619539,0.7744817148596956,18.52156105165133,941.2098795952344,-11.061272751933945,930.1486068433005,1.0,1.0,3.0,30.0,,True
36,crossing_left,False,static_collision_1,True,36,18.900000000000002,7.2,,-0.2813096829848929,25.353086836459852,60.117960477094186,-5.930352442390295,54.18760803470386,1.0,1.0,3.0,14.0,,True
37,crossing_left,True,success,False,133,77.1,26.6,0.9829392634908097,7.427524308853311,3.80872428074181,951.5884672940974,0.0,951.5884672940974,1.0,1.0,,,,False
38,crossing_left,True,success,False,134,77.7000000000001,26.8,0.9802835573058095,6.725430157576989,3.2626394795435925,956.1513968547673,0.0,956.1513968547673,1.0,1.0,,,,False
39,crossing_left,True,success,False,133,77.09999999999997,26.6,0.9853274648104084,1.8102012600178234,4.257073996138445,956.1637776022837,-0.7481137863642431,955.4156638159193,1.0,1.0,,,,False
40,crossing_left,True,success,False,134,77.70000000000005,26.8,0.9836103907203255,1.6812642358270429,23.255586148562553,959.1007540017062,-1.540989827540999,957.5597641741651,1.0,1.0,,,,False
41,crossing_left,True,success,False,141,81.89999999999999,28.200000000000003,0.9864815794432467,6.776521874160199,4.88366448882366,1001.2569449612038,0.0,1001.2569449612038,1.0,1.0,,,,False
42,crossing_left,True,success,False,138,80.09999999999992,27.6,0.9846236230668055,13.774985959823812,7.9499879288401605,984.6373163175192,0.0,984.6373163175192,1.0,1.0,,,,False
43,crossing_left,True,success,False,138,80.10000000000002,27.6,0.9789243308269574,17.103307621130895,4.217771017242709,980.9663296060628,0.0,980.9663296060628,1.0,1.0,,,,False
44,crossing_left,True,success,False,138,80.10000000000002,27.6,0.9874630889599096,0.9279450238242957,7.173503544326348,984.5556288173632,-9.035752927153752,975.5198758902094,1.0,1.0,3.0,49.0,,True
45,crossing_left,True,success,False,135,78.3,27.0,0.9887875925353707,15.016583431940546,16.601712493720214,970.540517053423,0.0,970.540517053423,1.0,1.0,,,,False
46,crossing_left,False,static_collision_1,True,45,24.299999999999997,9.0,,-0.06386938584528146,25.05437491498762,111.76200912073415,-4.4781841590960365,107.28382496163812,1.0,1.0,3.0,24.0,,True
47,crossing_left,True,success,False,140,81.29999999999994,28.0,0.9797226238252387,0.9134604691474006,4.129988096050681,990.9116887564309,-9.467153345574394,981.4445354108565,1.0,1.0,3.0,48.0,,True
48,crossing_left,True,success,False,128,74.10000000000002,25.6,0.9932155242662475,11.185374306114944,16.927068430903084,930.1710590555575,0.0,930.1710590555575,1.0,1.0,,,,False
49,crossing_left,True,success,False,132,76.5,26.400000000000002,0.9882727612501637,1.1353784577743928,3.66651665790157,949.5945452039472,-6.663884973779933,942.9306602301672,1.0,1.0,,,,False
50,crossing_left,True,success,False,131,75.89999999999995,26.200000000000003,0.9883972187645209,6.827758085984048,5.997511138109637,943.8829621376823,0.0,943.8829621376823,1.0,1.0,,,,False
51,crossing_left,True,success,False,136,78.90000000000005,27.200000000000003,0.9832434712709903,1.0300534139322695,3.4856403316334577,966.5901596834633,-8.0600353458328,958.5301243376305,1.0,1.0,,,,False
52,crossing_left,False,static_collision_1,True,43,23.100000000000016,8.6,,-0.5562409048056214,20.716639552364743,105.1702838555497,-4.479202010389679,100.69108184516001,1.0,1.0,3.0,21.0,,True
53,crossing_left,False,static_collision_1,True,50,27.299999999999994,10.0,,-0.03064783324117215,3.617863094804382,141.4820391240463,-3.4040289684855454,138.07801015556078,1.0,1.0,3.0,30.0,,True
54,crossing_left,False,static_collision_1,True,50,27.300000000000015,10.0,,-0.05532698120908197,3.8015840272098425,141.25522647801597,-4.127938051206899,137.12728842680906,1.0,1.0,3.0,30.0,,True
55,crossing_left,True,success,False,139,80.70000000000005,27.8,0.9818026004473992,7.841691908435315,21.82888991249446,987.2612632129359,0.0,987.2612632129359,1.0,1.0,,,,False
56,crossing_left,False,static_collision_1,True,49,26.70000000000001,9.8,,-0.27140695102607726,16.712917727599216,141.30794015053743,-4.620233992596677,136.68770615794074,1.0,1.0,3.0,27.0,,True
57,crossing_left,True,success,False,144,83.7,28.8,0.983752713505118,7.61797964301342,5.556820882395241,1019.8673107779075,0.0,1019.8673107779075,1.0,1.0,,,,False
58,crossing_left,True,success,False,129,74.69999999999997,25.8,0.9768199863916431,5.569712564456173,3.930733413462014,928.4022772202163,0.0,928.4022772202163,1.0,1.0,,,,False
59,crossing_left,True,success,False,131,75.90000000000006,26.200000000000003,0.9867988123255124,8.852015780858684,22.83046085700767,947.5648374607978,0.0,947.5648374607978,1.0,1.0,,,,False
60,crossing_right,False,dynamic_collision,True,21,9.9,4.2,,15.36299330098647,-0.3915556826366111,-62.41079823793132,-4.206941227784451,-66.61773946571576,1.0,1.0,2.8800000000000003,10.0,,True
61,crossing_right,False,static_collision_1,True,42,22.5,8.4,,-0.28560584115350895,20.79357736614011,94.63319595501979,-5.847156450398816,88.78603950462097,1.0,1.0,3.0,20.0,,True
62,crossing_right,False,dynamic_collision,True,23,11.099999999999998,4.6000000000000005,,14.561768750123882,-0.5150199236799677,-51.29362623578882,-4.412694486371653,-55.70632072216047,1.0,1.0,2.894117647058824,10.0,,True
