scenario_id,scenario_type,success,reason,collision,steps,path_length,navigation_time,path_efficiency,min_static_clearance,min_dynamic_clearance,base_return,risk_return,training_return,full_speed_fraction_after_2s,clipped_mean_fraction,high_risk_mean_speed,risk_onset_step,braking_delay_seconds,risk_no_braking_response
0,head_on,True,success,False,137,79.5,27.400000000000002,0.957330386273546,18.567900474175072,7.7650905363927265,956.0443278131141,0.0,956.0443278131141,1.0,1.0,,,,False
1,head_on,True,success,False,138,80.10000000000011,27.6,0.9682794976145482,8.783868574183625,18.300011669432756,969.0737724475979,0.0,969.0737724475979,1.0,1.0,,,,False
2,head_on,True,success,False,145,84.29999999999994,29.0,0.9776505766814267,1.9720329105178376,10.180927062280647,1020.9769887662286,-0.040248507751571516,1020.936740258477,1.0,1.0,,,,False
3,head_on,True,success,False,137,79.49999999999994,27.400000000000002,0.9841762363218043,10.494266785738597,25.0942705798405,978.3900257024148,0.0,978.3900257024148,1.0,1.0,,,,False
4,head_on,True,success,False,138,80.09999999999998,27.6,0.9768861340806089,1.2382574492631768,22.536989663622926,978.7520362113033,-5.691295605372425,973.0607406059305,1.0,1.0,,,,False
5,head_on,True,success,False,140,81.30000000000005,28.0,0.9439877291183133,5.988957303192484,6.333968684122457,965.6890228897826,0.0,965.6890228897826,1.0,1.0,,,,False
6,head_on,True,success,False,144,83.70000000000003,28.8,0.9230743328739661,4.405447976287135,8.24326058192209,970.0098884411335,0.0,970.0098884411335,1.0,1.0,,,,False
7,head_on,True,success,False,143,83.09999999999992,28.6,0.9634472803801685,3.3924609563071826,4.30638585367568,998.5795598229488,0.0,998.5795598229488,1.0,1.0,,,,False
8,head_on,True,success,False,141,81.90000000000005,28.200000000000003,0.9779528548363393,0.514373048555993,25.768697771564238,994.9177354192784,-14.782679062117596,980.1350563571607,1.0,1.0,3.0,83.0,,True
9,head_on,True,success,False,137,79.50000000000003,27.400000000000002,0.978771401401623,8.289690037430383,2.9533263460941983,974.689049347432,0.0,974.689049347432,1.0,1.0,,,,False
10,head_on,False,static_collision_2,True,91,51.89999999999997,18.2,,-0.16217598255687093,21.383243925450774,386.6036235672606,-4.542470070684835,382.06115349657574,1.0,1.0,3.0,69.0,,True
11,head_on,True,success,False,147,85.50000000000009,29.400000000000002,0.9460759326563228,3.023229754836505,5.511633849143108,1003.3906308995645,0.0,1003.3906308995645,1.0,1.0,,,,False
12,head_on,True,success,False,139,80.69999999999996,27.8,0.9778630215441427,0.3969512225861731,4.32964881654544,980.6292884680076,-15.031421932449025,965.5978665355586,1.0,1.0,3.0,31.0,,True
13,head_on,True,success,False,134,77.70000000000005,26.8,0.9765231282940974,1.1167205407517065,2.265190993773709,951.7860398462103,-6.994224306360155,944.7918155398502,1.0,1.0,,,,False
14,head_on,True,success,False,136,78.89999999999999,27.200000000000003,0.972170134973487,1.425534253851347,1.5302756178579555,959.6888724926131,-5.5499619262053805,954.1389105664076,1.0,1.0,,,,False
15,head_on,True,success,False,135,78.29999999999998,27.0,0.9430428063317777,22.691457016921508,6.116050983788243,934.684011904094,0.0,934.684011904094,1.0,1.0,,,,False
16,head_on,True,success,False,136,78.9000000000001,27.200000000000003,0.9414047616274025,5.343732531731568,5.322340543905785,940.2331353969579,0.0,940.2331353969579,1.0,1.0,,,,False
17,head_on,True,success,False,137,79.50000000000003,27.400000000000002,0.9756589678839949,8.244000812091922,21.3017743450891,969.3491356211475,0.0,969.3491356211475,1.0,1.0,,,,False
18,head_on,True,success,False,142,82.49999999999994,28.400000000000002,0.9351798205020824,4.537268464549795,6.956145523519458,970.2591779802435,0.0,970.2591779802435,1.0,1.0,,,,False
19,head_on,True,success,False,142,82.50000000000006,28.400000000000002,0.9439497182883898,6.305530909970763,5.870203584344839,972.1222039295341,0.0,972.1222039295341,1.0,1.0,,,,False
20,head_on,True,success,False,139,80.69999999999999,27.8,0.9454970901351141,5.631918184000815,0.8451473143646808,949.3162540409871,-6.750354242633719,942.5658997983535,1.0,1.0,3.0,59.0,,True
21,head_on,True,success,False,141,81.89999999999999,28.200000000000003,0.9416242490094474,4.495984829989165,5.687011431611612,968.3999912348845,0.0,968.3999912348845,1.0,1.0,,,,False
22,head_on,True,success,False,134,77.70000000000007,26.8,0.9491499084899719,20.42593824491411,7.295761127075645,933.7968262490053,0.0,933.7968262490053,1.0,1.0,,,,False
23,head_on,True,success,False,141,81.90000000000005,28.200000000000003,0.9725651226967917,2.7192445748047867,2.455906092807413,990.7422323051157,0.0,990.7422323051157,1.0,1.0,,,,False
24,head_on,True,success,False,145,84.30000000000015,29.0,0.9692012312067012,1.4392539934096265,17.720529617411163,1013.7632624312145,-3.6766079756309233,1010.0866544555835,1.0,1.0,,,,False
25,head_on,True,success,False,148,86.10000000000001,29.6,0.9491796930658444,5.476507468982684,6.486943240497505,1015.6316258747243,0.0,1015.6316258747243,1.0,1.0,,,,False
26,head_on,True,success,False,147,85.50000000000006,29.400000000000002,0.9493707743518183,4.626878151091804,5.293511545904149,1004.4297728997708,0.0,1004.4297728997708,1.0,1.0,,,,False
27,head_on,True,success,False,137,79.50000000000003,27.400000000000002,0.9482038492105881,5.196022044253137,5.721327638390287,950.03663109588,0.0,950.03663109588,1.0,1.0,,,,False
28,head_on,True,success,False,142,82.50000000000009,28.400000000000002,0.9448219037980291,4.348736355423155,7.9985631379834246,975.0545233607866,0.0,975.0545233607866,1.0,1.0,,,,False
29,head_on,False,dynamic_collision,True,89,50.70000000000002,17.8,,10.382036489856867,-0.13327135224892794,307.0715637479532,-3.0144565694766383,304.0571071784765,1.0,1.0,3.0,67.0,,True
30,head_on,True,success,False,139,80.70000000000002,27.8,0.9435792563395217,5.037082247912114,1.3855603689425493,953.5330766945289,-2.3098229310884406,951.2232537634404,1.0,1.0,3.0,58.0,,True
31,head_on,True,success,False,143,83.09999999999995,28.6,0.9451499129122805,6.651857721451883,7.853554926725785,979.1896913623968,0.0,979.1896913623968,1.0,1.0,,,,False
32,head_on,True,success,False,143,83.10000000000004,28.6,0.9812221782356938,5.153924747717461,1.60655940911015,1003.2800873330809,-1.395042244919158,1001.8850450881617,1.0,1.0,,,,False
33,head_on,False,dynamic_collision,True,92,52.50000000000002,18.400000000000002,,7.520538125866082,-0.24599216975725602,327.2130027604842,-2.03929808864907,325.173704671835,1.0,1.0,3.0,71.0,,True
34,head_on,True,success,False,137,79.49999999999996,27.400000000000002,0.9752627269429885,1.677903767092225,3.80402548076421,969.0732118037675,-1.6387858090517362,967.434425994716,1.0,1.0,,,,False
35,head_on,True,success,False,138,80.10000000000005,27.6,0.9406808349753181,6.917577967742567,25.616332421835178,947.1937395741994,0.0,947.1937395741994,1.0,1.0,,,,False
36,head_on,False,static_collision_2,True,95,54.30000000000002,19.0,,-0.3552734501733781,20.908251796191067,414.67277106569713,-4.1495597693227335,410.5232112963745,1.0,1.0,3.0,73.0,,True
37,head_on,True,success,False,137,79.49999999999993,27.400000000000002,0.977344728513352,5.773087884531769,4.135969302595303,974.3886470937013,0.0,974.3886470937013,1.0,1.0,,,,False
38,head_on,True,success,False,143,83.10000000000002,28.6,0.9197400872442585,4.08225185712741,9.415462644494093,959.287512929491,0.0,959.287512929491,1.0,1.0,,,,False
39,head_on,True,success,False,137,79.50000000000007,27.400000000000002,0.9708804759907008,1.1852359350589055,3.6549476466567867,969.7259375633746,-5.741319147833233,963.9846184155415,1.0,1.0,3.0,26.0,,True
40,head_on,True,success,False,142,82.49999999999999,28.400000000000002,0.9575845739644551,19.60537846641038,5.196773167501954,986.9106291142899,0.0,986.9106291142899,1.0,1.0,,,,False
41,head_on,True,success,False,147,85.50000000000006,29.400000000000002,0.9642933370796609,3.3499242911026315,18.863800563748146,1020.0355440131289,0.0,1020.0355440131289,1.0,1.0,,,,False
42,head_on,True,success,False,139,80.70000000000005,27.8,0.9691628760200661,2.798373038203186,5.485584883245444,978.8641867277742,0.0,978.8641867277742,1.0,1.0,,,,False
43,head_on,True,success,False,137,79.50000000000014,27.400000000000002,0.9791347022338842,5.337335804767818,2.944551902433852,973.7094793783798,0.0,973.7094793783798,1.0,1.0,,,,False
44,head_on,False,static_collision_2,True,87,49.50000000000001,17.400000000000002,,-0.2501342320271318,2.5658271857959143,351.26967771716585,-5.722653196446985,345.54702452071894,1.0,1.0,3.0,65.0,,True
45,head_on,True,success,False,145,84.30000000000005,29.0,0.9719653982512623,2.6749075622819447,24.797879150380687,1015.3687219215167,0.0,1015.3687219215167,1.0,1.0,,,,False
46,head_on,True,success,False,144,83.69999999999997,28.8,0.9752466980846959,1.9062094007527879,4.20533870401912,1011.6825384335679,-0.2798265092391681,1011.4027119243286,1.0,1.0,,,,False
47,head_on,True,success,False,138,80.09999999999997,27.6,0.9866565346200842,6.106799427938599,24.499252266913356,983.4301137960645,0.0,983.4301137960645,1.0,1.0,,,,False
48,head_on,False,static_collision_2,True,91,51.900000000000034,18.2,,-0.03583229844730518,7.846007281904038,342.71801309785144,-3.249597787325092,339.4684153105263,1.0,1.0,3.0,69.0,,True
49,head_on,True,success,False,145,84.30000000000001,29.0,0.9714862835349757,1.078792901112827,24.10800297255863,1013.8482904493486,-7.5901351647547814,1006.258155284594,1.0,1.0,,,,False
50,head_on,True,success,False,145,84.30000000000004,29.0,0.948130345672984,5.015295629264001,6.364758426603396,997.3580969389449,0.0,997.3580969389449,1.0,1.0,,,,False
51,head_on,True,success,False,139,80.70000000000002,27.8,0.9742396259666773,0.020351089423916058,24.139657394624365,980.3597953927335,-20.050736704581592,960.3090586881519,1.0,1.0,3.0,19.0,,True
52,head_on,True,success,False,141,81.90000000000003,28.200000000000003,0.9703446180983849,1.858959934496216,2.6878963955723654,990.932082190233,-0.43818942374374004,990.4938927664892,1.0,1.0,,,,False
53,head_on,True,success,False,133,77.1,26.6,0.9861160822126952,8.342298834451867,17.42861127857573,956.708753551997,0.0,956.708753551997,1.0,1.0,,,,False
54,head_on,True,success,False,141,81.90000000000008,28.200000000000003,0.9792487174679808,2.9956913241580434,3.891570451000973,995.7788554008519,0.0,995.7788554008519,1.0,1.0,,,,False
55,head_on,True,success,False,138,80.10000000000008,27.6,0.9637774591273843,1.6734188976040905,23.517792318184284,966.4168138311858,-1.4601275311009303,964.9566863000848,1.0,1.0,3.0,79.0,,True
56,head_on,False,static_collision_2,True,100,57.30000000000003,20.0,,-0.15730493562753622,2.8536129014305116,399.0465640040586,-4.300783838418073,394.74578016564055,1.0,1.0,3.0,77.0,,True
57,head_on,True,success,False,138,80.09999999999995,27.6,0.9725599186854936,8.537391165733895,19.29922888833598,974.3900532984112,0.0,974.3900532984112,1.0,1.0,,,,False
58,head_on,True,success,False,136,78.90000000000006,27.200000000000003,0.9668160224984207,2.332202314028188,24.855181065785736,961.9124306943022,0.0,961.9124306943022,1.0,1.0,,,,False
59,head_on,True,success,False,140,81.29999999999997,28.0,0.9559839264655402,22.213898256206388,2.1915419354943904,966.4480024023925,0.0,966.4480024023925,1.0,1.0,,,,False
60,crossing_left,False,static_collision_2,True,92,52.500000000000036,18.400000000000002,,-0.12381844456128466,5.065854750465668,344.2073862942568,-3.4301939605075686,340.7771923337492,1.0,1.0,3.0,70.0,,True
61,crossing_left,False,dynamic_collision,True,55,30.300000000000022,11.0,,4.192570325999997,-0.6177408107111875,133.69558089490326,-4.088706685184516,129.60687420971877,1.0,1.0,3.0,33.0,,True
62,crossing_left,True,success,False,146,84.90000000000008,29.200000000000003,0.9700703234604613,1.7374951923299138,14.721465094346328,1018.451092869943,-1.0466829082742466,1017.4044099616688,1.0,1.0,3.0,33.0,,True
63,crossing_left,True,success,False,136,78.9,27.200000000000003,0.9325544224753083,3.765118574644454,9.656111550705802,932.6857490131647,0.0,932.6857490131647,1.0,1.0,,,,False
64,crossing_left,True,success,False,141,81.90000000000009,28.200000000000003,0.9453279842386934,1.6889158045392207,0.455033427295338,959.2249253402812,-14.673966150806248,944.5509591894748,1.0,1.0,3.0,57.0,,True
65,crossing_left,True,success,False,141,81.90000000000006,28.200000000000003,0.9417346450732831,4.668095649262796,4.11078068839222,968.9651706531126,0.0,968.9651706531126,1.0,1.0,,,,False
66,crossing_left,True,success,False,145,84.30000000000007,29.0,0.9404697878193765,19.811818612801357,0.1945757487840769,977.2661153761629,-14.775900496560944,962.490214879602,1.0,1.0,3.0,45.0,,True
67,crossing_left,False,static_collision_2,True,93,53.10000000000003,18.6,,-0.21026665468835848,1.6178069205201258,334.04964550969714,-4.90969823391042,329.13994727578677,1.0,1.0,3.0,72.0,,True
68,crossing_left,False,static_collision_1,True,52,28.499999999999986,10.4,,-0.11184456636040263,24.24830101039192,149.31765511388494,-5.077400259077716,144.24025485480723,1.0,1.0,3.0,29.0,,True
69,crossing_left,True,success,False,137,79.50000000000007,27.400000000000002,0.965523846484859,2.182247529490719,23.976005400768965,961.1408658668095,0.0,961.1408658668095,1.0,1.0,,,,False
70,crossing_left,True,success,False,140,81.29999999999997,28.0,0.965004809599446,1.8504811677174073,17.335987664959475,981.4641743255207,-0.5114520458959353,980.9527222796248,1.0,1.0,,,,False
71,crossing_left,True,success,False,140,81.29999999999998,28.0,0.9139429642566,1.180308444697487,18.257061921756296,940.6080934372105,-5.537423234364928,935.0706702028456,1.0,1.0,3.0,76.0,,True
72,crossing_left,True,success,False,145,84.30000000000001,29.0,0.9502924539758888,1.4430828715424306,3.5174845201968674,996.5907332260329,-3.4702752848249405,993.1204579412079,1.0,1.0,,,,False
73,crossing_left,False,static_collision_1,True,40,21.300000000000015,8.0,,-0.0455078673135505,31.899466650480107,75.75051876844701,-8.338464571848947,67.41205419659805,1.0,1.0,3.0,16.0,,True
74,crossing_left,True,success,False,134,77.69999999999997,26.8,0.9495600692853194,0.33609086965061064,17.04926593708481,929.265288165815,-15.296361305459776,913.9689268603549,1.0,1.0,3.0,72.0,,True
75,crossing_left,True,success,False,136,78.90000000000002,27.200000000000003,0.97730364685945,0.4444285789076545,14.213485400067725,965.8384357619522,-14.426288568577647,951.4121471933747,1.0,1.0,3.0,23.0,,True
76,crossing_left,True,success,False,140,81.29999999999994,28.0,0.9460342865285066,3.203866171149931,17.49689892884417,964.7598399157617,0.0,964.7598399157617,1.0,1.0,,,,False
77,crossing_left,True,success,False,138,80.10000000000005,27.6,0.9462099012461989,1.5656959670791277,23.74392380539619,950.9432462463337,-2.194766000678377,948.7484802456552,1.0,1.0,3.0,81.0,,True
78,crossing_left,False,static_collision_2,True,105,60.29999999999997,21.0,,-0.17668011954412055,2.5207583284669735,410.940227895432,-3.7768173221261687,407.16341057330584,1.0,1.0,3.0,83.0,,True
79,crossing_left,False,dynamic_collision,True,61,33.900000000000006,12.200000000000001,,3.450675573528226,-0.392402865471444,166.84973637263568,-4.054590653001514,162.79514571963415,1.0,1.0,3.0,39.0,,True
