#{"t_start": 1788917266.2472556, "env_id": "None"}
r,l,t,episode_base_return,episode_risk_return,episode_training_return
-224.544627,233,0.895144,-223.3996699361967,-1.1449568112245725,-224.54462674742132
-247.577343,368,1.091482,-247.577343393638,0.0,-247.577343393638
44.556288,298,1.247796,44.55628764897388,0.0,44.55628764897388
-223.024009,130,1.317909,-223.02400858609508,0.0,-223.02400858609508
-166.03905,235,1.439103,-160.9208924868196,-5.118157484095558,-166.03904997091502
-138.614448,221,1.557431,-120.15621859477673,-18.458229333671547,-138.61444792844833
-275.584043,331,1.73214,-275.58404250550734,0.0,-275.58404250550734
35.599107,77,1.773963,90.63257569758689,-55.03346836210915,35.59910733547791
402.165854,600,2.731368,402.16585449395023,0.0,402.16585449395023
189.916518,141,2.825852,238.74559697204893,-48.82907906498211,189.91651790706675
39.210996,105,2.889458,73.93859390054135,-34.72759776683807,39.210996133703276
14.21172,63,2.931381,58.30532548625767,-44.09360527808897,14.211720208168728
873.154748,326,3.10267,920.8805066865988,-47.72575833599667,873.1547483506021
461.168442,600,3.418521,461.1684418895418,0.0,461.1684418895418
327.655156,356,3.605924,403.72623339990565,-76.07107763519522,327.6551557647106
66.557994,75,4.246724,107.18689841944291,-40.628904430533126,66.5579939889098
177.852891,600,4.621316,234.4206574564586,-56.56776690036118,177.8528905560971
81.82778,103,4.69111,111.01312815095318,-29.185347891586602,81.82778025936659
301.057676,338,4.875603,345.0537677742648,-43.99609207181965,301.0576757024451
318.354883,387,5.107656,360.67119069766227,-42.316308106120395,318.3548825915419
-92.93485,25,5.1279,-54.3485863934821,-38.58626315360628,-92.9348495470884
-237.293292,143,5.220845,-237.29329230622034,0.0,-237.29329230622034
463.94674,417,6.092514,484.9616803062263,-21.014940634785468,463.9467396714409
305.331205,374,6.329738,337.395956571477,-32.06475131600577,305.3312052554715
878.992563,597,6.694106,917.688481095299,-38.69591769384162,878.9925634014571
500.794767,406,6.929403,544.8624743644709,-44.06770699436799,500.7947673701029
48.72548,113,7.005084,96.33449914608128,-47.60901915089148,48.72547999518984
420.450873,479,7.320443,454.2091941907183,-33.75832089099573,420.4508732997221
237.608638,153,8.057038,279.9521090386944,-42.3434706635756,237.60863837511883
232.396191,183,8.166087,334.07033555349847,-101.67414419567709,232.39619135782135
334.27415,212,8.298854,384.44149980419223,-50.16734945568986,334.27415034850253
27.32122,322,8.503479,66.5004886296522,-39.17926813309335,27.321220496558922
610.754026,315,8.670987,610.7540256759676,0.0,610.7540256759676
459.996751,305,8.860044,536.7073309505931,-76.710579669725,459.9967512808685
944.528005,219,8.99871,944.5280054954321,0.0,944.5280054954321
957.647055,285,14.249536,957.6470550393896,0.0,957.6470550393896
238.78505,425,15.073062,322.6120198581524,-83.82696993383676,238.7850499243157
27.112105,69,15.111257,87.4752479643669,-60.36314320468702,27.11210475967991
898.643925,346,15.292919,944.1283745008634,-45.48444914817974,898.6439253526838
352.230194,315,15.461519,429.37742753206874,-77.14723308388699,352.2301944481817
306.399461,140,15.542113,351.4590486208315,-45.05958753173768,306.39946108909373
259.71114,237,15.705084,330.5551587683575,-70.84401880948433,259.71113995887316
949.253293,487,16.019123,959.330300130701,-10.077006885002984,949.253293245698
993.63061,234,16.763333,993.6306103428658,0.0,993.6306103428658
-79.957415,34,16.781462,-35.57832082374013,-44.37909416458787,-79.957414988328
70.148043,101,16.839767,111.36980320625372,-41.221760563800686,70.14804264245305
90.718306,84,16.884861,123.36772596749591,-32.64942045694115,90.71830551055476
24.373645,93,16.934265,49.380328091405346,-25.006683311866514,24.373644779538893
28.81812,66,16.970563,63.20192041660148,-34.38380076234533,28.818119654256193
999.619711,279,17.118954,999.6197112241364,0.0,999.6197112241364
326.761769,343,17.299488,371.0364580766504,-44.274688820873536,326.7617692557767
590.170955,600,17.691479,599.8726658453102,-9.701710473977665,590.1709553713328
33.994048,80,17.746762,61.1675475396559,-27.17349908329831,33.99404845635762
531.000066,600,18.726544,534.4747046981721,-3.4746385136305236,531.0000661845415
285.158201,121,18.792176,326.84667741629005,-41.68847687207712,285.158200544213
21.77545,79,18.834023,68.12075453945548,-46.34530426979051,21.775450269664987
970.980671,416,19.053401,970.9806712393797,0.0,970.9806712393797
964.598442,224,19.173523,981.5714141186594,-16.972972114588494,964.5984420040711
842.105015,244,19.325306,911.9929228207583,-69.88790768974968,842.1050151310086
931.468586,579,19.694771,943.7811080007909,-12.31252166923343,931.4685863315577
972.949739,231,20.450901,972.9497387576339,0.0,972.9497387576339
403.866581,165,20.539715,454.9290850389323,-51.06250435033335,403.8665806885993
278.937486,122,20.606435,326.54386101182183,-47.60637507617037,278.93748593565147
40.821631,50,20.635243,82.09891025663572,-41.277279384426194,40.82163087220957
42.164092,70,20.673244,108.1178336104401,-65.95374208346107,42.164091526979036
956.970102,245,20.804628,992.9425987421239,-35.972496797364265,956.9701019447598
898.071197,522,21.09325,898.0711973454418,0.0,898.0711973454418
41.397621,54,21.130579,71.13042893804972,-29.73280768085989,41.39762125718984
119.095162,90,21.190887,168.90064360911992,-49.80548197193226,119.09516163718786
26.691463,49,21.225263,70.57998239186414,-43.88851907701623,26.69146331484795
-26.317123,32,21.246562,14.849405074085183,-41.16652830946835,-26.31712323538318
899.894238,204,21.388338,928.8219120009054,-28.927673894344313,899.8942381065613
230.104503,120,21.459339,287.61840277079295,-57.51390008306179,230.10450268773124
980.255405,265,22.230427,997.5116952135035,-17.25628993526148,980.2554052782418
-14.913167,35,22.250048,5.903526334296302,-20.816692864952387,-14.913166530656085
959.280417,276,22.394941,1006.5019914157723,-47.22157437026148,959.2804170455108
937.979188,217,22.510827,978.3573796714988,-40.378191385704405,937.9791882857942
951.524742,222,22.630729,959.2279287211838,-7.703186824365688,951.524741896818
25.546311,55,22.662503,61.64411993692269,-36.09780914671029,25.54631079021243
50.488065,60,22.697051,94.6328512092534,-44.14478617508879,50.48806503416458
829.105107,193,22.802986,892.0267322110888,-62.921625213605985,829.1051069974828
995.145351,242,22.945387,1016.7788599196517,-21.633508798739058,995.1453511209127
916.969153,293,27.294915,930.6799365017403,-13.710783453184233,916.9691530485561
943.243657,218,27.410299,943.2436565244939,0.0,943.2436565244939
218.31857,120,28.081048,255.16565905198829,-36.84708928973417,218.3185697622542
965.713063,191,28.195249,966.5220579664455,-0.8089946196749063,965.7130633467706
-33.893282,46,28.225551,2.5288678778385645,-36.42214948762228,-33.89328160978373
962.723581,213,28.346625,969.4867607983599,-6.76318012500577,962.723580673354
941.06153,174,28.440065,941.0615302224924,0.0,941.0615302224924
20.015824,60,28.472481,62.29958179965968,-42.28375758124086,20.015824218418885
17.50727,64,28.507993,69.7203332133879,-52.21306366054047,17.507269552847447
919.497012,283,28.656532,981.2443579212352,-61.74734639730097,919.4970115239346
917.457453,443,28.890697,939.9281595249341,-22.470706649742844,917.4574528751915
-53.896071,35,28.911869,-27.650413670806174,-26.245656913060195,-53.89607058386639
310.225456,131,28.982063,386.3686170864554,-76.14316068352133,310.2254564029341
50.257401,58,29.013812,98.17974822939847,-47.92234685473286,50.25740137466563
930.35064,259,29.151473,930.3506396734182,0.0,930.3506396734182
977.348021,259,29.910187,1006.4814754657198,-29.13345421941911,977.3480212463005
893.620527,199,30.035532,968.6594599308924,-75.03893256893065,893.6205273619622
950.715245,265,30.19809,959.3594842883329,-8.644239745797318,950.7152445425354
964.246846,263,30.33383,964.2468455780469,0.0,964.2468455780469
355.195079,129,30.409511,385.1359470256881,-29.940867728567703,355.1950792971203
41.311417,53,30.443638,85.94854636566879,-44.63712911695566,41.311417248713184
980.344767,262,30.608041,1005.0224743159744,-24.677707624299707,980.344766691675
317.303099,137,30.697338,361.5437191827203,-44.24062042180236,317.3030987609179
310.647978,110,30.768055,354.93669681686197,-44.28871858942508,310.6479782274369
102.16395,96,30.829574,155.89787266634332,-53.73392251018875,102.16395015615458
303.846476,121,30.908527,355.3078971080813,-51.46142143497332,303.84647567310816
364.090416,122,30.987962,418.77724523247196,-54.68682955889041,364.0904156735815
328.838396,115,31.05243,365.40344000536675,-36.56504416037391,328.8383958449929
972.584721,211,31.777936,992.2314642292688,-19.646743706432307,972.5847205228365
351.544859,130,31.861727,400.8053237016869,-49.260464259113085,351.54485944257385
9.992938,48,31.890543,47.58731913073356,-37.59438111847647,9.992938012257127
872.661998,276,32.038497,952.7372492415506,-80.07525115899666,872.6619980825536
-55.116987,24,32.053216,-28.550301925546606,-26.566684820976036,-55.116986746522635
342.203166,118,32.116368,366.5259644019411,-24.322798349945593,342.20316605199554
94.799896,90,32.165373,138.78055489529262,-43.98065917601094,94.79989571928166
900.960073,286,32.326429,937.7385185996802,-36.778446094173106,900.9600725055072
369.174921,124,32.407419,406.65827482927824,-37.48335427478095,369.1749205544975
948.073357,238,32.559132,964.134666703829,-16.061310072407377,948.0733566314218
60.548678,60,32.599214,110.45528563615804,-49.90660795556588,60.54867768059222
398.600022,143,32.694918,428.349239489447,-29.7492173520127,398.60002213743417
372.392892,128,32.773148,402.18894971291525,-29.79605817487544,372.3928915380399
853.853444,279,33.533356,964.9698118505603,-111.11636766168593,853.8534441888742
930.089328,181,33.645204,930.0893281517705,0.0,930.0893281517705
959.225486,173,33.747218,959.2254857185964,0.0,959.2254857185964
941.661854,205,33.854205,984.7374498464222,-43.075595554253496,941.6618542921689
387.059536,161,33.94082,438.78044042728783,-51.7209046656257,387.0595357616619
30.416779,50,33.967599,81.5651702042091,-51.148391356475685,30.416778847733525
953.313891,176,34.061154,953.3138909310946,0.0,953.3138909310946
31.861067,46,34.086892,80.5901762686933,-48.72910883583968,31.861067432853687
934.851115,221,34.217411,972.4156018082423,-37.5644868936039,934.8511149146384
53.385288,65,34.257774,94.21372011619668,-40.828431690137215,53.38528842605946
309.405103,102,34.324048,355.18319319417265,-45.77808994376759,309.4051032504051
906.707605,208,34.456509,929.8758908525999,-23.168285698957593,906.7076051536425
906.479268,194,34.585119,959.4491284993204,-52.96986035192457,906.4792681473962
266.416927,116,34.659986,319.49641264211095,-53.07948561400104,266.41692702811014
39.859389,67,35.31908,77.34890865691503,-37.489519338046264,39.85938931886889
918.844368,227,35.456027,929.3045950635079,-10.460227562995753,918.8443675005121
-68.023363,21,35.471188,-41.16142794287774,-26.86193522083858,-68.02336316371631
43.623121,46,35.501515,78.91320529859748,-35.29008437861145,43.62312091998605
962.365416,224,35.632873,1006.832155952291,-44.46673992934314,962.3654160229478
942.791787,229,35.75255,962.4930399231022,-19.70125299199898,942.7917869311032
344.843522,112,35.81212,385.60711287599054,-40.76359050884717,344.84352236714335
924.245227,224,35.932763,955.3867629770468,-31.141536350812512,924.2452266262346
906.603797,193,36.043281,959.9229450557398,-53.319148389751724,906.6037966659882
935.889545,185,39.711312,954.1118611233289,-18.222316224316707,935.8895448990122
958.965923,198,39.820693,974.9769651003232,-16.011041932065066,958.9659231682583
961.343153,212,39.933845,1002.4248721548104,-41.08171911187182,961.3431530429389
988.140989,187,40.640422,988.1409892599843,0.0,988.1409892599843
949.487405,174,40.734051,959.194012380902,-9.706607278785604,949.4874051021163
-78.749746,31,40.753223,-38.08239473661639,-40.66735107215939,-78.7497458087758
912.473428,166,40.84496,960.7577097614864,-48.2842815818852,912.4734281796012
913.699554,164,40.930633,941.1623924329181,-27.462838777964812,913.6995536549533
343.025138,145,41.007735,379.15332719824073,-36.128189407252606,343.02513779098797
34.815621,65,41.044088,73.70603650614174,-38.890415656548456,34.8156208495933
157.177684,83,41.089357,188.50296485628357,-31.32528056626324,157.17768429002032
963.525061,181,41.185846,963.5250614641336,0.0,963.5250614641336
61.280472,60,41.217605,112.24120844888182,-50.9607365378566,61.28047191102522
276.62072,120,41.280098,321.63379955645365,-45.01307946125411,276.62072009519943
964.495048,192,41.380266,991.375152963205,-26.880105316702135,964.4950476465027
232.913172,106,41.435381,313.1104955278841,-80.19732376615573,232.9131717617284
-82.541994,17,41.447147,-58.71606225823313,-23.825932235529464,-82.5419944937626
284.147962,106,41.50415,330.3814657115293,-46.23350378254283,284.1479619289865
945.619782,177,41.600416,945.6197818932613,0.0,945.6197818932613
-45.091066,28,41.617082,-9.773661602210723,-35.31740434418443,-45.09106594639516
300.446385,114,41.6767,357.5577074907537,-57.11132289635639,300.4463845943973
345.041705,127,42.353987,396.14914288739965,-51.107437428596384,345.0417054588033
990.678007,186,42.456783,990.6780066279822,0.0,990.6780066279822
991.297321,183,42.553017,998.9671612947984,-7.669840498893746,991.2973207959045
969.86312,200,42.662128,982.6581950756829,-12.795074687971654,969.8631203877113
936.500133,220,42.77804,973.614971481669,-37.11483839291619,936.5001330887533
910.310214,174,42.871749,958.390840882616,-48.080627092786926,910.3102137898292
-33.843796,34,42.889852,5.275840889916978,-39.11963651231511,-33.84379562239813
364.673517,127,42.962052,430.07995428059235,-65.40643739545084,364.6735168851413
950.503949,174,43.054358,950.5039488320559,0.0,950.5039488320559
-61.5616,23,43.06644,-28.40543515851965,-33.15616488041892,-61.56160003893858
-76.10205,21,43.080036,-44.31266731034533,-31.789382272120434,-76.10204958246578
931.021206,168,43.184855,935.7825243145285,-4.7613185921980365,931.0212057223306
930.966794,181,43.302072,949.660482692851,-18.69368879343875,930.9667938994122
900.165484,173,43.414145,941.928134604925,-41.76265045338398,900.165484151541
181.06325,81,43.469163,221.7511457464848,-40.68789534078534,181.0632504056995
66.849688,70,44.128541,108.24439382027174,-41.39470608603675,66.84968773423506
919.385018,170,44.219577,969.6970231058357,-50.312004753024596,919.385018352811
983.389375,164,44.30572,993.7070417831736,-10.317666504396573,983.3893752787773
919.988654,172,44.396041,964.7438666898037,-44.75521311390862,919.9886535758951
311.127327,106,44.453386,347.48248709911195,-36.35515979201504,311.12732730709695
985.581243,161,44.540023,985.5812431826013,0.0,985.5812431826013
864.125477,187,44.638602,943.6110977233277,-79.4856209483594,864.1254767749684
959.005479,187,44.740411,959.0054785984361,0.0,959.0054785984361
1008.879904,189,44.840485,1008.8799037554513,0.0,1008.8799037554513
916.478977,163,44.936673,932.530281200488,-16.05130452784738,916.4789766726407
933.990029,175,45.047014,949.6952114762078,-15.70518294162313,933.9900285345847
913.037777,160,45.14808,965.9843069919938,-52.946530390446405,913.0377766015474
929.325794,166,45.257963,967.1615320609192,-37.83573822775967,929.3257938331597
63.04174,65,45.927974,104.98395171767916,-41.942212042279664,63.041739675399555
965.718908,185,46.03532,965.7189076845956,0.0,965.7189076845956
