method,dataset,scenario_id,trigger,trigger_step,clearance,initial_v,stopped,reason,collision,safe_stop,distance,duration,original_reason,original_steps_to_end
base-seed1,validation_D,3,predicted_risk,70,11.26875332244197,3.0,True,running,False,True,2.700000000000015,2.0,success,71
base-seed1,validation_D,3,static_penalty,89,1.9751983946947043,3.0,True,running,False,True,2.6999999999999997,2.0,success,52
base-seed1,validation_D,5,predicted_risk,10,3.5065437571951623,3.0,True,running,False,True,2.7000000000000033,2.0,success,129
base-seed1,validation_D,5,static_penalty,14,1.9032049255846157,3.0,True,running,False,True,2.7000000000000024,2.0,success,125
base-seed1,validation_D,6,predicted_risk,76,14.67936562391306,3.0,True,running,False,True,2.6999999999999984,2.0,dynamic_collision,22
base-seed1,validation_D,7,predicted_risk,70,12.798190609131613,3.0,True,running,False,True,2.6999999999999957,2.0,static_collision_2,24
base-seed1,validation_D,7,static_penalty,89,1.8595233434986156,3.0,False,static_collision_2,True,False,2.5199999999999982,1.4000000000000001,static_collision_2,5
base-seed1,validation_D,8,predicted_risk,76,27.17853695843172,3.0,True,running,False,True,2.699999999999996,2.0,success,65
base-seed1,validation_D,10,static_penalty,96,1.8457319447326386,3.0,True,running,False,True,2.7000000000000024,2.0,success,45
base-seed1,validation_D,11,predicted_risk,82,6.898097421878882,3.0,True,running,False,True,2.699999999999984,2.0,success,58
base-seed1,validation_D,11,static_penalty,93,1.8984651075804804,3.0,True,running,False,True,2.700000000000001,2.0,success,47
base-seed1,validation_D,12,static_penalty,98,1.9931110365432883,3.0,True,running,False,True,2.6999999999999775,2.0,success,39
base-seed1,validation_D,14,predicted_risk,70,29.331647054884648,3.0,True,running,False,True,2.699999999999999,2.0,success,79
base-seed1,validation_D,15,predicted_risk,26,12.132784839266247,3.0,True,running,False,True,2.700000000000003,2.0,success,115
base-seed1,validation_D,15,static_penalty,45,1.836011883507342,3.0,True,running,False,True,2.7000000000000024,2.0,success,96
base-seed1,validation_D,17,predicted_risk,10,3.0395966286967226,3.0,True,running,False,True,2.7000000000000064,2.0,static_collision_1,6
base-seed1,validation_D,17,static_penalty,12,1.9018748592088794,3.0,False,static_collision_1,True,False,2.340000000000001,1.2000000000000002,static_collision_1,4
base-seed1,validation_D,18,predicted_risk,76,12.187972337328503,3.0,True,running,False,True,2.699999999999998,2.0,static_collision_2,22
base-seed1,validation_D,18,static_penalty,94,1.8979135032574401,3.0,False,static_collision_2,True,False,2.340000000000008,1.2000000000000002,static_collision_2,4
base-seed1,validation_D,19,predicted_risk,10,7.246870836995301,3.0,True,running,False,True,2.6999999999999993,2.0,static_collision_1,18
base-seed1,validation_D,19,static_penalty,21,1.7710948711589216,3.0,True,running,False,True,2.699999999999995,2.0,static_collision_1,7
base-seed1,validation_D,21,predicted_risk,29,12.124850637376127,3.0,True,running,False,True,2.6999999999999997,2.0,success,115
base-seed1,validation_D,21,static_penalty,48,1.7581453157899913,3.0,True,running,False,True,2.7000000000000015,2.0,success,96
base-seed1,validation_D,22,predicted_risk,91,4.369266210146769,3.0,True,running,False,True,2.7000000000000126,2.0,success,41
base-seed1,validation_D,22,static_penalty,97,1.971991341297879,3.0,True,running,False,True,2.700000000000021,2.0,success,35
base-seed1,validation_D,23,predicted_risk,36,19.232743746839166,3.0,True,running,False,True,2.6999999999999917,2.0,dynamic_collision,22
base-seed1,validation_D,24,predicted_risk,10,6.441286982685776,3.0,True,running,False,True,2.699999999999996,2.0,static_collision_1,12
base-seed1,validation_D,24,static_penalty,18,1.722846156147571,3.0,False,static_collision_1,True,False,2.1000000000000005,1.0,static_collision_1,4
base-seed1,validation_D,25,predicted_risk,77,10.416905731790163,3.0,True,running,False,True,2.699999999999991,2.0,success,60
base-seed1,validation_D,25,static_penalty,97,1.98942636465301,3.0,True,running,False,True,2.7000000000000037,2.0,success,40
base-seed1,validation_D,27,predicted_risk,14,11.465257510420127,3.0,True,running,False,True,2.7000000000000077,2.0,static_collision_1,22
base-seed1,validation_D,27,static_penalty,31,1.943482575384393,3.0,False,static_collision_1,True,False,2.5200000000000027,1.4000000000000001,static_collision_1,5
base-seed1,validation_D,28,predicted_risk,79,11.933547458803648,3.0,True,running,False,True,2.700000000000001,2.0,success,61
base-seed1,validation_D,28,static_penalty,99,1.8302164066030828,3.0,True,running,False,True,2.700000000000005,2.0,success,41
base-seed1,validation_D,29,predicted_risk,69,16.940971572702594,3.0,True,running,False,True,2.699999999999992,2.0,success,73
base-seed1,validation_D,31,predicted_risk,77,11.981592616777661,3.0,True,running,False,True,2.699999999999997,2.0,success,67
base-seed1,validation_D,31,static_penalty,96,1.8539271576006202,3.0,True,running,False,True,2.7000000000000073,2.0,success,48
base-seed1,validation_D,32,predicted_risk,33,12.238841449244923,3.0,True,running,False,True,2.7000000000000037,2.0,static_collision_1,23
base-seed1,validation_D,32,static_penalty,51,1.9136566264757198,3.0,False,static_collision_1,True,False,2.5200000000000027,1.4000000000000001,static_collision_1,5
base-seed1,validation_D,34,predicted_risk,10,3.51518520521479,3.0,True,running,False,True,2.6999999999999993,2.0,static_collision_1,7
base-seed1,validation_D,34,static_penalty,13,1.7507398942620807,3.0,False,static_collision_1,True,False,2.0999999999999965,1.0,static_collision_1,4
base-seed1,validation_D,36,static_penalty,36,1.741364057094235,3.0,True,running,False,True,2.700000000000001,2.0,success,105
base-seed1,validation_D,37,predicted_risk,10,3.8921795394999013,3.0,True,running,False,True,2.6999999999999997,2.0,static_collision_1,9
base-seed1,validation_D,37,static_penalty,14,1.8518604788808384,3.0,False,static_collision_1,True,False,2.6999999999999935,1.8,static_collision_1,5
base-seed1,validation_D,38,predicted_risk,78,10.172543285454747,3.0,True,running,False,True,2.6999999999999935,2.0,static_collision_2,23
base-seed1,validation_D,38,static_penalty,94,1.9005415917634085,3.0,True,running,False,True,2.699999999999994,2.0,static_collision_2,7
base-seed1,validation_D,44,predicted_risk,10,4.358263597719144,3.0,True,running,False,True,2.7000000000000006,2.0,success,137
base-seed1,validation_D,44,static_penalty,16,1.831319730052467,3.0,True,running,False,True,2.6999999999999984,2.0,success,131
base-seed1,validation_D,45,predicted_risk,10,3.129871262120682,3.0,True,running,False,True,2.700000000000003,2.0,static_collision_1,7
base-seed1,validation_D,45,static_penalty,13,1.5300722753309373,3.0,False,static_collision_1,True,False,2.1,1.0,static_collision_1,4
base-seed1,validation_D,46,predicted_risk,10,9.629734363692574,3.0,True,running,False,True,2.7000000000000024,2.0,success,129
base-seed1,validation_D,46,static_penalty,26,1.89232657862446,3.0,True,running,False,True,2.6999999999999993,2.0,success,113
base-seed1,validation_D,48,predicted_risk,10,4.572514600509795,3.0,True,running,False,True,2.7000000000000046,2.0,static_collision_1,8
base-seed1,validation_D,48,static_penalty,15,1.6416513539567434,3.0,False,static_collision_1,True,False,1.8000000000000003,0.8,static_collision_1,3
base-seed1,validation_D,49,predicted_risk,76,12.595643080270928,3.0,True,running,False,True,2.6999999999999975,2.0,static_collision_2,24
base-seed1,validation_D,49,static_penalty,95,1.9312561588022543,3.0,True,running,False,True,2.7000000000000166,2.0,static_collision_2,5
base-seed1,validation_D,50,predicted_risk,10,5.73935418303936,3.0,True,running,False,True,2.699999999999996,2.0,static_collision_1,14
base-seed1,validation_D,50,static_penalty,18,1.7542693697110163,3.0,True,running,False,True,2.7000000000000024,2.0,static_collision_1,6
base-seed1,validation_D,52,predicted_risk,53,8.251421923277618,3.0,True,running,False,True,2.700000000000002,2.0,success,89
base-seed1,validation_D,53,predicted_risk,55,4.759179440150527,3.0,True,running,False,True,2.6999999999999997,2.0,dynamic_collision,24
base-seed1,validation_D,54,predicted_risk,28,11.248638100691494,3.0,True,running,False,True,2.700000000000004,2.0,success,112
base-seed1,validation_D,54,static_penalty,46,1.9345678275364042,3.0,True,running,False,True,2.7000000000000024,2.0,success,94
base-seed1,validation_D,55,predicted_risk,84,7.180842497525775,3.0,True,running,False,True,2.6999999999999997,2.0,success,46
base-seed1,validation_D,55,static_penalty,96,1.7559723502028737,3.0,True,running,False,True,2.699999999999976,2.0,success,34
base-seed1,common_encounters,0,static_penalty,95,1.9053004763668122,3.0,True,running,False,True,2.7000000000000166,2.0,success,42
base-seed1,common_encounters,3,predicted_risk,34,11.430299933055093,3.0,True,running,False,True,2.6999999999999966,2.0,static_collision_2,69
base-seed1,common_encounters,3,static_penalty,55,1.888900137111282,3.0,True,running,False,True,2.6999999999999966,2.0,static_collision_2,48
base-seed1,common_encounters,4,predicted_risk,45,21.679425594267418,3.0,True,running,False,True,2.7000000000000015,2.0,success,96
base-seed1,common_encounters,7,static_penalty,26,1.933773159130884,3.0,True,running,False,True,2.7000000000000024,2.0,success,120
base-seed1,common_encounters,8,predicted_risk,69,29.808473193749847,3.0,True,running,False,True,2.7000000000000126,2.0,dynamic_collision,22
base-seed1,common_encounters,11,predicted_risk,80,12.433993036048992,3.0,True,running,False,True,2.6999999999999997,2.0,static_collision_2,22
base-seed1,common_encounters,11,static_penalty,98,1.7521479373385338,3.0,False,static_collision_2,True,False,2.0999999999999943,1.0,static_collision_2,4
base-seed1,common_encounters,12,predicted_risk,34,12.045923602710225,3.0,True,running,False,True,2.700000000000001,2.0,success,107
base-seed1,common_encounters,12,static_penalty,53,1.739105596697529,3.0,True,running,False,True,2.6999999999999877,2.0,success,88
base-seed1,common_encounters,16,predicted_risk,56,3.940071490830336,3.0,True,running,False,True,2.700000000000007,2.0,success,75
base-seed1,common_encounters,18,predicted_risk,36,3.9704906847524715,3.0,True,running,False,True,2.6999999999999975,2.0,success,99
base-seed1,common_encounters,18,static_penalty,42,1.6948394022958242,3.0,True,running,False,True,2.699999999999992,2.0,success,93
base-seed1,common_encounters,22,predicted_risk,73,12.50467095909454,3.0,True,running,False,True,2.6999999999999984,2.0,static_collision_2,22
base-seed1,common_encounters,22,static_penalty,91,1.7526984100568264,3.0,False,static_collision_2,True,False,2.1000000000000107,1.0,static_collision_2,4
base-seed1,common_encounters,24,static_penalty,104,1.8656458137152256,3.0,True,running,False,True,2.700000000000029,2.0,success,37
base-seed1,common_encounters,28,predicted_risk,10,8.916097137430832,3.0,True,running,False,True,2.7000000000000015,2.0,success,126
base-seed1,common_encounters,28,static_penalty,26,1.8808629203895073,3.0,True,running,False,True,2.7000000000000037,2.0,success,110
base-seed1,common_encounters,29,predicted_risk,10,6.2205819335743815,3.0,True,running,False,True,2.7,2.0,success,136
base-seed1,common_encounters,29,static_penalty,19,1.9199730184958863,3.0,True,running,False,True,2.700000000000005,2.0,success,127
base-seed1,common_encounters,34,predicted_risk,10,5.660872138797032,3.0,True,running,False,True,2.699999999999997,2.0,static_collision_1,11
base-seed1,common_encounters,34,static_penalty,17,1.6589205539212522,3.0,False,static_collision_1,True,False,2.100000000000002,1.0,static_collision_1,4
base-seed1,common_encounters,37,predicted_risk,73,12.37986475811735,3.0,True,running,False,True,2.699999999999994,2.0,static_collision_2,25
base-seed1,common_encounters,37,static_penalty,92,1.853451918196952,3.0,True,running,False,True,2.6999999999999926,2.0,static_collision_2,6
base-seed1,common_encounters,38,predicted_risk,27,9.845491343267243,3.0,True,running,False,True,2.700000000000001,2.0,success,108
base-seed1,common_encounters,38,static_penalty,43,1.767014272287489,3.0,True,running,False,True,2.699999999999994,2.0,success,92
base-seed1,common_encounters,39,predicted_risk,58,11.539416865998966,3.0,True,running,False,True,2.699999999999999,2.0,static_collision_2,22
base-seed1,common_encounters,39,static_penalty,77,1.4843667166288892,3.0,False,static_collision_2,True,False,1.8000000000000005,0.8,static_collision_2,3
base-seed1,common_encounters,40,predicted_risk,78,11.755759879186737,3.0,True,running,False,True,2.700000000000006,2.0,static_collision_2,24
base-seed1,common_encounters,40,static_penalty,96,1.8921296156401146,3.0,True,running,False,True,2.700000000000004,2.0,static_collision_2,6
base-seed1,common_encounters,46,predicted_risk,73,12.516467815428886,3.0,True,running,False,True,2.6999999999999984,2.0,static_collision_2,23
base-seed1,common_encounters,46,static_penalty,92,1.5220324405636507,3.0,False,static_collision_2,True,False,2.0999999999999943,1.0,static_collision_2,4
base-seed1,common_encounters,47,predicted_risk,66,9.530756137694143,3.0,True,running,False,True,2.7000000000000006,2.0,static_collision_2,23
