method,dataset,scenario_id,reason,steps
base-seed1,validation_D,0,success,142
base-seed1,validation_D,1,success,134
base-seed1,validation_D,2,success,134
base-seed1,validation_D,3,success,141
base-seed1,validation_D,4,success,149
base-seed1,validation_D,5,success,139
base-seed1,validation_D,6,dynamic_collision,98
base-seed1,validation_D,7,static_collision_2,94
base-seed1,validation_D,8,success,141
base-seed1,validation_D,9,success,135
base-seed1,validation_D,10,success,141
base-seed1,validation_D,11,success,140
base-seed1,validation_D,12,success,137
base-seed1,validation_D,13,success,143
base-seed1,validation_D,14,success,149
base-seed1,validation_D,15,success,141
base-seed1,validation_D,16,success,140
base-seed1,validation_D,17,static_collision_1,16
base-seed1,validation_D,18,static_collision_2,98
base-seed1,validation_D,19,static_collision_1,28
base-seed1,validation_D,20,success,141
base-seed1,validation_D,21,success,144
base-seed1,validation_D,22,success,132
base-seed1,validation_D,23,dynamic_collision,58
base-seed1,validation_D,24,static_collision_1,22
base-seed1,validation_D,25,success,137
base-seed1,validation_D,26,success,139
base-seed1,validation_D,27,static_collision_1,36
base-seed1,validation_D,28,success,140
base-seed1,validation_D,29,success,142
base-seed1,validation_D,30,success,137
base-seed1,validation_D,31,success,144
base-seed1,validation_D,32,static_collision_1,56
base-seed1,validation_D,33,success,142
base-seed1,validation_D,34,static_collision_1,17
base-seed1,validation_D,35,success,148
base-seed1,validation_D,36,success,141
base-seed1,validation_D,37,static_collision_1,19
base-seed1,validation_D,38,static_collision_2,101
base-seed1,validation_D,39,success,138
base-seed1,validation_D,40,success,142
base-seed1,validation_D,41,success,138
base-seed1,validation_D,42,success,134
base-seed1,validation_D,43,success,140
base-seed1,validation_D,44,success,147
base-seed1,validation_D,45,static_collision_1,17
base-seed1,validation_D,46,success,139
base-seed1,validation_D,47,success,141
base-seed1,validation_D,48,static_collision_1,18
base-seed1,validation_D,49,static_collision_2,100
base-seed1,validation_D,50,static_collision_1,24
base-seed1,validation_D,51,success,141
base-seed1,validation_D,52,success,142
base-seed1,validation_D,53,dynamic_collision,79
base-seed1,validation_D,54,success,140
base-seed1,validation_D,55,success,130
base-seed1,validation_D,56,success,129
base-seed1,validation_D,57,success,140
base-seed1,validation_D,58,success,135
base-seed1,validation_D,59,success,140
base-seed1,common_encounters,0,success,137
base-seed1,common_encounters,1,success,131
base-seed1,common_encounters,2,success,145
base-seed1,common_encounters,3,static_collision_2,103
base-seed1,common_encounters,4,success,141
base-seed1,common_encounters,5,success,137
base-seed1,common_encounters,6,success,132
base-seed1,common_encounters,7,success,146
base-seed1,common_encounters,8,dynamic_collision,91
base-seed1,common_encounters,9,success,136
base-seed1,common_encounters,10,success,139
base-seed1,common_encounters,11,static_collision_2,102
base-seed1,common_encounters,12,success,141
base-seed1,common_encounters,13,success,142
base-seed1,common_encounters,14,success,145
base-seed1,common_encounters,15,success,142
base-seed1,common_encounters,16,success,131
base-seed1,common_encounters,17,success,132
base-seed1,common_encounters,18,success,135
base-seed1,common_encounters,19,success,141
base-seed1,common_encounters,20,success,130
base-seed1,common_encounters,21,success,136
base-seed1,common_encounters,22,static_collision_2,95
base-seed1,common_encounters,23,success,142
base-seed1,common_encounters,24,success,141
base-seed1,common_encounters,25,success,139
base-seed1,common_encounters,26,success,147
base-seed1,common_encounters,27,success,148
base-seed1,common_encounters,28,success,136
base-seed1,common_encounters,29,success,146
base-seed1,common_encounters,30,success,135
base-seed1,common_encounters,31,success,134
base-seed1,common_encounters,32,success,137
base-seed1,common_encounters,33,success,130
base-seed1,common_encounters,34,static_collision_1,21
base-seed1,common_encounters,35,success,136
base-seed1,common_encounters,36,success,139
base-seed1,common_encounters,37,static_collision_2,98
base-seed1,common_encounters,38,success,135
base-seed1,common_encounters,39,static_collision_2,80
base-seed1,common_encounters,40,static_collision_2,102
base-seed1,common_encounters,41,success,143
base-seed1,common_encounters,42,success,139
base-seed1,common_encounters,43,success,133
base-seed1,common_encounters,44,success,137
base-seed1,common_encounters,45,success,139
base-seed1,common_encounters,46,static_collision_2,96
base-seed1,common_encounters,47,static_collision_2,89
base-seed1,common_encounters,48,success,147
base-seed1,common_encounters,49,success,138
base-seed1,common_encounters,50,success,142
base-seed1,common_encounters,51,success,140
base-seed1,common_encounters,52,static_collision_2,102
base-seed1,common_encounters,53,success,143
base-seed1,common_encounters,54,success,141
base-seed1,common_encounters,55,success,140
base-seed1,common_encounters,56,success,137
base-seed1,common_encounters,57,success,143
base-seed1,common_encounters,58,success,137
base-seed1,common_encounters,59,success,148
base-seed2,validation_D,0,success,138
base-seed2,validation_D,1,success,135
base-seed2,validation_D,2,static_collision_2,95
base-seed2,validation_D,3,success,143
base-seed2,validation_D,4,success,148
base-seed2,validation_D,5,static_collision_1,16
base-seed2,validation_D,6,success,146
base-seed2,validation_D,7,static_collision_1,51
base-seed2,validation_D,8,success,138
base-seed2,validation_D,9,dynamic_collision,58
base-seed2,validation_D,10,success,138
base-seed2,validation_D,11,success,144
base-seed2,validation_D,12,success,136
base-seed2,validation_D,13,dynamic_collision,87
base-seed2,validation_D,14,success,146
base-seed2,validation_D,15,dynamic_collision,68
base-seed2,validation_D,16,success,141
base-seed2,validation_D,17,static_collision_1,20
base-seed2,validation_D,18,success,143
base-seed2,validation_D,19,success,146
base-seed2,validation_D,20,success,141
base-seed2,validation_D,21,dynamic_collision,78
base-seed2,validation_D,22,static_collision_2,98
base-seed2,validation_D,23,success,139
base-seed2,validation_D,24,static_collision_1,22
base-seed2,validation_D,25,dynamic_collision,67
base-seed2,validation_D,26,success,137
base-seed2,validation_D,27,static_collision_1,33
base-seed2,validation_D,28,success,138
base-seed2,validation_D,29,success,139
base-seed2,validation_D,30,success,135
base-seed2,validation_D,31,success,142
base-seed2,validation_D,32,success,145
base-seed2,validation_D,33,success,139
base-seed2,validation_D,34,static_collision_1,16
base-seed2,validation_D,35,success,145
base-seed2,validation_D,36,success,144
base-seed2,validation_D,37,static_collision_1,17
base-seed2,validation_D,38,success,138
base-seed2,validation_D,39,success,137
base-seed2,validation_D,40,success,140
base-seed2,validation_D,41,static_collision_2,95
base-seed2,validation_D,42,success,131
base-seed2,validation_D,43,dynamic_collision,70
base-seed2,validation_D,44,static_collision_1,18
base-seed2,validation_D,45,static_collision_1,18
base-seed2,validation_D,46,static_collision_1,27
base-seed2,validation_D,47,static_collision_1,24
base-seed2,validation_D,48,static_collision_1,19
base-seed2,validation_D,49,dynamic_collision,79
base-seed2,validation_D,50,success,140
base-seed2,validation_D,51,static_collision_2,91
base-seed2,validation_D,52,success,139
