method,phase,outcome,n,speed_upper_clip_fraction,brake_fraction,high_risk_steps,high_risk_brake_fraction
base-seed1,early,all,46660,0.3524003429061294,0.4304757822546078,5165,0.3856727976766699
base-seed1,early,success,25721,0.37914544535593486,0.4270829283464873,1067,0.3767572633552015
base-seed1,early,failure,20939,0.3195472563159654,0.43464348822770904,4098,0.38799414348462663
base-seed1,middle,all,91540,0.6876447454664627,0.255462093074066,9434,0.2278990884036464
base-seed1,middle,success,72911,0.6845057673053448,0.25802690951982554,2694,0.22680029695619897
base-seed1,middle,failure,18629,0.6999302163293789,0.24542380159965646,6740,0.22833827893175074
base-seed1,late,all,46224,0.7536128418137764,0.2057589131187262,5002,0.19212315073970412
base-seed1,late,success,36934,0.7543185141062436,0.20552878106893377,1402,0.20684736091298145
base-seed1,late,failure,9283,0.7508348594204459,0.20661424108585585,3593,0.18619537990537155
base-seed2,early,all,46750,0.2961711229946524,0.44838502673796793,5309,0.40930495385194954
base-seed2,early,success,25249,0.31292328409045905,0.44762168798764307,1056,0.3996212121212121
base-seed2,early,failure,21501,0.27649876749918606,0.44928142877075483,4253,0.4117093816129791
base-seed2,middle,all,90120,0.6526409232134931,0.28245672436750996,13577,0.23038962952051265
base-seed2,middle,success,64077,0.6324734304040451,0.2977667493796526,2535,0.23510848126232742
base-seed2,middle,failure,26043,0.7022616442038168,0.24478746688169567,11042,0.22930628509328022
base-seed2,late,all,45964,0.7278957444956923,0.2280480375946393,5908,0.18348002708192282
base-seed2,late,success,34859,0.714679135947675,0.23833156430190194,1469,0.18584070796460178
base-seed2,late,failure,11064,0.7690708604483008,0.1960412147505423,4439,0.1826988060373958
base-seed3,early,all,46690,0.2935103876633112,0.451959734418505,5707,0.4119502365516033
base-seed3,early,success,24541,0.3074854325414612,0.4549529359031824,1012,0.40810276679841895
base-seed3,early,failure,22149,0.27802609598627476,0.4486432796063028,4695,0.412779552715655
base-seed3,middle,all,91270,0.7144078010299113,0.23335159417114057,10879,0.22336611820939425
base-seed3,middle,success,75218,0.7176207822595655,0.2311148927118509,3876,0.20743034055727555
base-seed3,middle,failure,16052,0.699352105656616,0.24383254423124845,7003,0.2321862059117521
base-seed3,late,all,46414,0.8042400999698367,0.1670616624294394,4863,0.14846802385358832
base-seed3,late,success,40452,0.8026549985167606,0.16884208444576287,2248,0.1534697508896797
base-seed3,late,failure,5905,0.8149026248941575,0.15512277730736665,2615,0.14416826003824093
instant-seed1,early,all,46640,0.3469554030874786,0.43329759862778733,5500,0.3970909090909091
instant-seed1,early,success,26426,0.3804964807386665,0.4288201014152728,1248,0.40064102564102566
instant-seed1,early,failure,20214,0.30310675769268824,0.43915108340753933,4252,0.39604891815616183
instant-seed1,middle,all,91120,0.699571992976295,0.2477721685689201,10915,0.21960604672469078
instant-seed1,middle,success,70429,0.6956083431540985,0.25164349912678013,3037,0.21863681264405663
instant-seed1,middle,failure,20691,0.713063650862694,0.23459475134116284,7878,0.21997969027671999
instant-seed1,late,all,46274,0.8913212603189696,0.09400527293944763,4785,0.07126436781609195
instant-seed1,late,success,37827,0.8859544769609009,0.09873899595527004,1618,0.0723114956736712
instant-seed1,late,failure,8410,0.9149821640903686,0.07312722948870393,3163,0.07081884287069239
instant-seed2,early,all,46920,0.27717391304347827,0.4556479113384484,5039,0.413177217701925
instant-seed2,early,success,24842,0.29792287255454475,0.4546735367522744,1092,0.4001831501831502
instant-seed2,early,failure,22078,0.25382733943291963,0.45674427031434006,3947,0.41677223207499364
instant-seed2,middle,all,91630,0.7167521554076176,0.23341700316490233,10241,0.19792988965921296
instant-seed2,middle,success,70835,0.7056539846121268,0.24242253123455917,3309,0.17951042611060744
instant-seed2,middle,failure,20795,0.7545563837460928,0.20274104352007694,6932,0.20672244662435083
instant-seed2,late,all,46394,0.8882829676251239,0.09774970901409664,4451,0.06290721186250281
instant-seed2,late,success,39260,0.8793173713703515,0.10583290881304126,1799,0.061145080600333516
instant-seed2,late,failure,7125,0.9375438596491228,0.05333333333333334,2652,0.0641025641025641
instant-seed3,early,all,46590,0.3308435286542176,0.438849538527581,6115,0.40474243663123466
instant-seed3,early,success,21666,0.3730268623649958,0.4326594664451214,1142,0.3957968476357268
instant-seed3,early,failure,24924,0.294174289841117,0.4442304606002247,4973,0.4067967021918359
instant-seed3,middle,all,91520,0.7057692307692308,0.2381993006993007,10209,0.2423351944362817
instant-seed3,middle,success,76220,0.7142482288113357,0.23236683285226975,3924,0.2324159021406728
instant-seed3,middle,failure,15300,0.6635294117647059,0.26725490196078433,6285,0.24852824184566427
instant-seed3,late,all,46448,0.80545986910093,0.16416207371684463,4619,0.18012556830482787
instant-seed3,late,success,39768,0.8135938442969222,0.15773989136994568,1784,0.17208520179372197
instant-seed3,late,failure,6680,0.7570359281437126,0.20239520958083831,2835,0.18518518518518517
predictive-seed1,early,all,47020,0.3339217354317312,0.4341344108889834,4454,0.39762011674898967
predictive-seed1,early,success,27342,0.3681515616999488,0.43007095311242777,1159,0.3882657463330457
predictive-seed1,early,failure,19678,0.28636040247992683,0.4397804654944608,3295,0.4009104704097117
predictive-seed1,middle,all,91381,0.7772731749488405,0.18520261323469867,10604,0.1734251225952471
predictive-seed1,middle,success,70405,0.7784248277821177,0.18450394148142887,3253,0.17553027974177682
predictive-seed1,middle,failure,20976,0.7734077040427155,0.18754767353165522,7351,0.17249353829410966
predictive-seed1,late,all,46363,0.9044065310700343,0.08163837542868235,4494,0.07587894971072541
predictive-seed1,late,success,39416,0.9031865232392937,0.08278364116094987,1847,0.07146724417975095
predictive-seed1,late,failure,6923,0.911310125668063,0.07511194568828543,2647,0.07895731016244806
predictive-seed2,early,all,46810,0.2532364879299295,0.46131168553727836,5523,0.4312873438348723
predictive-seed2,early,success,22102,0.2678490634331735,0.4610442493891955,866,0.43187066974595845
predictive-seed2,early,failure,24708,0.24016512870325402,0.46155091468350334,4657,0.43117887051750053
predictive-seed2,middle,all,91270,0.6026076476388736,0.3081516379971513,11584,0.3118957182320442
predictive-seed2,middle,success,69932,0.6193445060916318,0.2988331522049991,3275,0.2912977099236641
predictive-seed2,middle,failure,21338,0.5477551785546911,0.3386915362264505,8309,0.3200144421711397
predictive-seed2,late,all,46144,0.7403779472954231,0.21612777392510402,5896,0.22778154681139756
predictive-seed2,late,success,36121,0.7528307632679051,0.20702638354419867,1827,0.21839080459770116
