split,method,type,n,success_count,success_rate,success_wilson_95,mean_base_reward,mean_min_static_clearance,mean_min_dynamic_clearance,worst_static_clearance,worst_dynamic_clearance,successful_path_efficiency,successful_navigation_time,full_speed_fraction_after_2s,near_upper_action_fraction_after_2s,high_risk_mean_speed_episode_average,high_risk_braking_fraction_episode_average,risk_exposed_episodes,risk_no_response_episodes,risk_no_response_fraction_exposed,braking_delay_responders_only,timeout_with_stagnation_count,static_collision_count,static_collision_rate,dynamic_collision_count,dynamic_collision_rate,timeout_count,timeout_rate,out_of_bounds_count,out_of_bounds_rate,collision_count,collision_rate
same_distribution,clip-seed1,crossing_left,60,49,0.8166666666666667,"[0.7008024625353194, 0.8944220311080237]",839.9669839608383,6.017839089752973,12.118343231979768,-0.3545453996062173,-0.4178918639594262,0.9646690084756918,27.653061224489797,1.0,1.0,3.0,0.0,17,17,1.0,,0,4,0.06666666666666667,7,0.11666666666666667,0,0.0,0,0.0,11,0.18333333333333332
same_distribution,clip-seed1,crossing_right,60,47,0.7833333333333333,"[0.6637997242680521, 0.868769559518097]",813.3985433830003,5.776667146417372,10.435602077637412,-0.4676168257327671,-0.5401848517295638,0.9501294048261801,28.0595744680851,1.0,1.0,3.0,0.0,19,19,1.0,,0,6,0.1,7,0.11666666666666667,0,0.0,0,0.0,13,0.21666666666666667
same_distribution,clip-seed1,head_on,60,31,0.5166666666666667,"[0.39307810032592494, 0.6382495046026722]",681.8981514658807,4.2113001283531615,9.926046781564587,-0.5761850341628723,-0.4777307019811365,0.9568227802780891,27.98709677419355,1.0,1.0,3.0,0.0,37,37,1.0,,0,25,0.4166666666666667,4,0.06666666666666667,0,0.0,0,0.0,29,0.48333333333333334
same_distribution,clip-seed1,overtaking,60,40,0.6666666666666666,"[0.5405686645211968, 0.7727073847647731]",676.4510114421814,3.5932281373843376,10.392102685077901,-0.4123709614378361,-0.0946650099165977,0.9660361562651925,27.865000000000002,1.0,1.0,3.0,0.0,33,33,1.0,,0,18,0.3,2,0.03333333333333333,0,0.0,0,0.0,20,0.3333333333333333
same_distribution,clip-seed2,crossing_left,60,36,0.6,"[0.4736605349204075, 0.7143050946511744]",666.92537893781,4.717026576508579,8.106288836491919,-0.3039294315842955,-0.5488750300177156,0.9611676430963674,27.93333333333333,0.9861702119674338,0.9867031288575354,3.0,0.0,34,34,1.0,,0,9,0.15,15,0.25,0,0.0,0,0.0,24,0.4
same_distribution,clip-seed2,crossing_right,60,40,0.6666666666666666,"[0.5405686645211968, 0.7727073847647731]",701.190138159054,4.530994249970563,12.676392296220207,-0.4898916610201089,-0.4034385560832989,0.9626581781095057,27.73,0.9934377698285431,0.9940997491879445,3.0,0.0,30,30,1.0,,0,9,0.15,11,0.18333333333333332,0,0.0,0,0.0,20,0.3333333333333333
same_distribution,clip-seed2,head_on,60,51,0.85,"[0.7388541093022145, 0.9190255941983225]",885.2169976155117,4.593653609342439,11.193196858124535,-0.4758854540843629,0.3061739280309314,0.9583041099992029,28.113725490196078,0.9938830753578956,0.9952020202020202,3.0,0.0,20,20,1.0,,0,9,0.15,0,0.0,0,0.0,0,0.0,9,0.15
same_distribution,clip-seed2,overtaking,60,33,0.55,"[0.4249193588533434, 0.6690634559324476]",525.2355744571483,3.132295796985211,12.258094147528283,-0.566950977925786,1.548304331728831,0.9663746588736073,27.903030303030302,0.9693637154491637,0.969614356184879,2.9999992125157346,0.0,37,37,1.0,,0,27,0.45,0,0.0,0,0.0,0,0.0,27,0.45
same_distribution,clip-seed3,crossing_left,60,44,0.7333333333333333,"[0.6099128690331636, 0.8286735999671945]",767.6164745195443,4.489244479942719,8.765795583929968,-0.4293784526108615,-0.3086849482186049,0.9591860266903075,27.990909090909096,1.0,1.0,3.0,0.0,30,30,1.0,,0,7,0.11666666666666667,9,0.15,0,0.0,0,0.0,16,0.26666666666666666
same_distribution,clip-seed3,crossing_right,60,46,0.7666666666666667,"[0.6456372962239805, 0.8556043826335717]",777.0498589793503,4.6194221511814915,11.395701609409093,-0.3322683875384333,-0.5837211321927,0.9734253722841466,27.417391304347824,1.0,1.0,3.0,0.0,29,29,1.0,,0,6,0.1,8,0.13333333333333333,0,0.0,0,0.0,14,0.23333333333333334
same_distribution,clip-seed3,head_on,60,49,0.8166666666666667,"[0.7008024625353194, 0.8944220311080237]",869.0389905081643,4.522665520666641,10.03172317149705,-0.3823482643772289,1.793138196737912,0.9692948564249679,27.848979591836734,1.0,1.0,3.0,0.0,17,17,1.0,,0,11,0.18333333333333332,0,0.0,0,0.0,0,0.0,11,0.18333333333333332
same_distribution,clip-seed3,overtaking,60,34,0.5666666666666667,"[0.44103438776125564, 0.6842760319531324]",551.9476286139313,3.449481864605638,11.249722291143973,-0.4770137373477485,0.365313712968156,0.9673122456812654,27.84705882352941,1.0,1.0,3.0,0.0,36,36,1.0,,0,26,0.43333333333333335,0,0.0,0,0.0,0,0.0,26,0.43333333333333335
same_distribution,speed_tanh-seed1,crossing_left,60,54,0.9,"[0.7985053527602123, 0.9533571655261158]",890.8191888475267,6.394001111261114,11.150366807033214,-0.0810805351619503,-0.5772559533950559,0.9703273926124871,27.907407407407405,0.0,0.0,2.950192521666831,0.0,16,16,1.0,,0,1,0.016666666666666666,5,0.08333333333333333,0,0.0,0,0.0,6,0.1
same_distribution,speed_tanh-seed1,crossing_right,60,44,0.7333333333333333,"[0.6099128690331636, 0.8286735999671945]",761.138988203065,6.939705101849596,9.581998233120375,-0.2708176310124512,-0.5545011139132274,0.9571002482917824,28.181818181818176,0.0,0.0,2.940505336670594,0.0,21,21,1.0,,0,2,0.03333333333333333,14,0.23333333333333334,0,0.0,0,0.0,16,0.26666666666666666
same_distribution,speed_tanh-seed1,head_on,60,43,0.7166666666666667,"[0.5923271483560882, 0.8149317157156729]",810.3240784896898,4.6661510158079,8.561250818431889,-0.5639476459139887,-0.5478056667714433,0.9655062088860996,28.027906976744188,0.0,0.0,2.9705870720789145,0.0,30,30,1.0,,0,16,0.26666666666666666,1,0.016666666666666666,0,0.0,0,0.0,17,0.2833333333333333
same_distribution,speed_tanh-seed1,overtaking,60,42,0.7,"[0.5749129205308552, 0.8010183386123089]",687.5168795910413,4.025384341466223,9.681509205956065,-0.3975667358602166,-0.3569808433093033,0.9673361975570349,28.25714285714286,0.0,0.0,2.9495186794324253,0.0,35,35,1.0,,0,16,0.26666666666666666,2,0.03333333333333333,0,0.0,0,0.0,18,0.3
same_distribution,speed_tanh-seed2,crossing_left,60,49,0.8166666666666667,"[0.7008024625353194, 0.8944220311080237]",841.6457587117987,5.955813905009413,12.102006723420564,-0.4910630681082626,-0.4930521240878809,0.967155749949381,28.04897959183674,0.0,0.0,2.9500515089577712,0.0,18,18,1.0,,0,5,0.08333333333333333,6,0.1,0,0.0,0,0.0,11,0.18333333333333332
same_distribution,speed_tanh-seed2,crossing_right,60,45,0.75,"[0.6276792992295218, 0.8422347746994333]",781.0556628301979,6.139385907592685,10.01118464918977,-0.2005937554801224,-0.5962272259661812,0.951022885973463,28.34222222222223,0.0,0.0,2.93623826745379,0.0,23,23,1.0,,0,2,0.03333333333333333,13,0.21666666666666667,0,0.0,0,0.0,15,0.25
same_distribution,speed_tanh-seed2,head_on,60,43,0.7166666666666667,"[0.5923271483560882, 0.8149317157156729]",809.48679795256,4.22337588758706,9.755664343160442,-0.4839463303563045,-0.461905348419342,0.9581832117314508,28.41395348837209,0.0,0.0,2.948239436000292,0.0,33,33,1.0,,0,16,0.26666666666666666,1,0.016666666666666666,0,0.0,0,0.0,17,0.2833333333333333
same_distribution,speed_tanh-seed2,overtaking,60,38,0.6333333333333333,"[0.5068300063010303, 0.7437908331277456]",639.7472686615628,3.342670371255152,11.080621808756588,-0.4431542176601946,-0.2462362531488895,0.9688384129544441,28.347368421052632,0.0,0.0,2.9302999219590973,0.0,32,32,1.0,,0,21,0.35,1,0.016666666666666666,0,0.0,0,0.0,22,0.36666666666666664
same_distribution,speed_tanh-seed3,crossing_left,60,32,0.5333333333333333,"[0.4089342702715789, 0.6537209395856151]",645.273685449151,4.24659842359437,7.917827883702246,-0.4233162466574933,-0.6996050030892098,0.9549461562819395,28.5875,0.0,0.0,2.956611773830902,0.0,38,38,1.0,,0,10,0.16666666666666666,18,0.3,0,0.0,0,0.0,28,0.4666666666666667
same_distribution,speed_tanh-seed3,crossing_right,60,46,0.7666666666666667,"[0.6456372962239805, 0.8556043826335717]",787.4797346865585,4.883787890284088,12.165818896898006,-0.4443472303208811,-0.322367357974699,0.9598962464430545,28.23913043478261,0.0,0.0,2.9614804079951202,0.0,29,29,1.0,,0,8,0.13333333333333333,6,0.1,0,0.0,0,0.0,14,0.23333333333333334
same_distribution,speed_tanh-seed3,head_on,60,51,0.85,"[0.7388541093022145, 0.9190255941983225]",884.3068945311899,4.6897913453952365,10.795502434852718,-0.4709003884407128,0.6673688881171804,0.9612095697702039,28.43529411764706,0.0,0.0,2.968632942872782,0.0,16,16,1.0,,0,9,0.15,0,0.0,0,0.0,0,0.0,9,0.15
same_distribution,speed_tanh-seed3,overtaking,60,37,0.6166666666666667,"[0.49017595824099924, 0.7291172762591798]",611.1938310404862,2.944338221372421,11.817729826160507,-0.3746108014847058,1.48986244697441,0.9615886590266367,28.486486486486488,0.0,0.0,2.952175372023528,0.0,39,39,1.0,,0,23,0.38333333333333336,0,0.0,0,0.0,0,0.0,23,0.38333333333333336
same_distribution,DWA,crossing_left,60,60,1.0,"[0.93982814785791, 0.9999999999999998]",966.2130941886943,6.542753880327585,8.057548385759882,0.6828780131518579,0.5003814748653683,0.9903609700923062,28.393333333333334,0.873568815574054,0.873568815574054,3.0,0.0,24,0,0.0,22.183333333333334,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
same_distribution,DWA,crossing_right,60,60,1.0,"[0.93982814785791, 0.9999999999999998]",965.4034450946226,4.894556042802631,9.418994486936969,0.738949241705364,0.5001269718737396,0.9887806202942104,28.39666666666666,0.8726317255145791,0.8726317255145791,2.9990604576067765,0.0007002801120448177,34,0,0.0,21.305882352941175,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
same_distribution,DWA,head_on,60,60,1.0,"[0.93982814785791, 0.9999999999999998]",967.7386040096654,5.3324701300262545,7.851151472232657,0.5810075470870233,0.7843374366851892,0.9833684066940528,28.699999999999996,0.8755288939564423,0.8755288939564423,3.0,0.0,48,0,0.0,16.54583333333333,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
same_distribution,DWA,overtaking,60,57,0.95,"[0.8629948352365147, 0.9828504978356043]",917.5105981659457,4.754239349469148,8.812296588092043,0.5001009476290861,0.6948491941139698,0.9857689068768466,28.673684210526318,0.8291991212172728,0.8291991212172728,2.8444547246709684,0.0014184397163120553,47,3,0.06382978723404255,21.963636363636365,3,0,0.0,0,0.0,3,0.05,0,0.0,0,0.0
challenge,clip-seed1,crossing_left,30,30,1.0,"[0.8864866068260312, 0.9999999999999999]",962.4231633128157,5.497199454842259,9.0716959308927,1.321583061738064,3.431139405700097,0.9785244385447857,27.006666666666664,1.0,1.0,,,0,0,,,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
challenge,clip-seed1,crossing_right,30,10,0.3333333333333333,"[0.19230498083676134, 0.5121994835545616]",281.6449064352033,12.755413423134968,4.0258266148261646,0.0640463734225305,-0.5453554410199537,0.9766198364365699,27.320000000000004,1.0,1.0,3.0,0.0,21,21,1.0,,0,0,0.0,20,0.6666666666666666,0,0.0,0,0.0,20,0.6666666666666666
challenge,clip-seed1,head_on,30,17,0.5666666666666667,"[0.3919730700081361, 0.7262251442353347]",719.1744253684496,3.2818615502434794,9.130787753272228,-0.5186018554819265,0.5697986101573616,0.9645665971220199,27.96470588235294,1.0,1.0,3.0,0.0,17,17,1.0,,0,13,0.43333333333333335,0,0.0,0,0.0,0,0.0,13,0.43333333333333335
challenge,clip-seed1,overtaking,30,21,0.7,"[0.5212421254128504, 0.8333525173175619]",709.4121530387366,2.695585401260898,12.424630202606002,-0.4909444669370799,0.6820166664129035,0.9579799585914538,27.84761904761904,1.0,1.0,3.0,0.0,17,17,1.0,,0,9,0.3,0,0.0,0,0.0,0,0.0,9,0.3
