scenario_index,scenario_id,scenario_type,success,reason,collision,steps,path_length,navigation_time,path_efficiency,min_static_clearance,min_dynamic_clearance,base_return,full_speed_fraction_after_2s,near_upper_action_fraction_after_2s,high_risk_mean_speed,high_risk_braking_fraction,risk_onset_step,braking_delay_seconds,risk_no_braking_response,response_status,timeout_with_stagnation
0,0,head_on,True,success,False,139,76.49333337351672,27.8,0.9802495893486991,1.6983228491291316,1.0220481245244146,937.0778117576718,0.8682170542635659,0.8682170542635659,3.0,0.0,13.0,22.200000000000003,False,responded,False
1,1,head_on,True,success,False,144,79.66999993577602,28.8,0.9810460983877195,1.889224164737696,0.8947879051508592,967.4650968944054,0.8805970149253731,0.8805970149253731,3.0,0.0,15.0,22.8,False,responded,False
2,2,head_on,True,success,False,144,79.63000042207537,28.8,0.988616795351505,1.5149824670649235,1.053601949536648,973.3384914610807,0.8731343283582089,0.8731343283582089,3.0,0.0,15.0,22.8,False,responded,False
3,3,head_on,True,success,False,145,80.28999993458392,29.0,0.9857397128312381,3.255244768723122,0.9431386182143395,977.2767453407852,0.8814814814814815,0.8814814814814815,3.0,0.0,23.0,21.400000000000002,False,responded,False
4,4,head_on,True,success,False,139,76.45333303615466,27.8,0.9975425243347187,6.5814101092584725,13.25036815266673,957.5833303615466,0.8682170542635659,0.8682170542635659,,,,,False,no_risk,False
5,5,head_on,True,success,False,147,81.19000028774153,29.400000000000002,0.9840243660355975,7.141560464808274,0.9155181401349113,986.1140314464247,0.8759124087591241,0.8759124087591241,3.0,0.0,18.0,22.6,False,responded,False
6,6,head_on,True,success,False,147,81.50999984398494,29.400000000000002,0.9882708351889172,11.961899899489843,1.096555667270052,991.8396912506464,0.8832116788321168,0.8832116788321168,3.0,0.0,20.0,22.400000000000002,False,responded,False
7,7,head_on,True,success,False,137,75.27000007495288,27.400000000000002,0.9809590961433581,0.7835568942151987,22.805059702849597,931.2888568590188,0.8661417322834646,0.8661417322834646,3.0,0.0,65.0,11.200000000000001,False,responded,False
8,8,head_on,True,success,False,148,81.76999941274534,29.6,0.98867199029137,2.159376764142052,0.8862053181756648,995.4191952701465,0.8768115942028986,0.8768115942028986,3.0,0.0,23.0,21.8,False,responded,False
9,9,head_on,True,success,False,145,80.28999984517692,29.0,0.9992209289428607,14.422126632520087,9.213777382896586,995.6499984517689,0.8814814814814815,0.8814814814814815,,,,,False,no_risk,False
10,10,head_on,True,success,False,144,79.30666652575123,28.8,0.9833985270652382,15.688053933718564,0.9712065992094008,967.7512856844426,0.8731343283582089,0.8731343283582089,3.0,0.0,19.0,21.8,False,responded,False
11,11,head_on,True,success,False,141,77.95999965324995,28.200000000000003,0.9885501032808586,13.420571655209013,1.1671362572996609,957.468386760164,0.8778625954198473,0.8778625954198473,3.0,0.0,23.0,20.6,False,responded,False
12,12,head_on,True,success,False,149,82.36999941274533,29.8,0.9828979367170761,0.797548893364997,20.83645128347139,1002.2540612609871,0.8776978417266187,0.8776978417266187,3.0,0.0,70.0,12.600000000000001,False,responded,False
13,13,head_on,True,success,False,137,75.45499979026609,27.400000000000002,0.9792493950489943,0.682903160059805,12.1380861527655,930.8008818083945,0.8740157480314961,0.8740157480314961,3.0,0.0,66.0,11.200000000000001,False,responded,False
14,14,head_on,True,success,False,146,80.94499914452433,29.200000000000003,0.998920298239608,10.232889807286723,21.908117561731984,1002.1499914452435,0.8823529411764706,0.8823529411764706,,,,,False,no_risk,False
15,15,head_on,True,success,False,142,78.65999973222605,28.400000000000002,0.9997716857949797,13.540747939578697,18.51244575046571,979.4999973222601,0.8787878787878788,0.8787878787878788,,,,,False,no_risk,False
16,16,head_on,True,success,False,144,79.5133342485131,28.8,0.9701919329568414,0.8253921136240105,1.2001901531140966,957.7370186506366,0.8731343283582089,0.8731343283582089,3.0,0.0,25.0,20.8,False,responded,False
17,17,head_on,True,success,False,142,78.50999984398479,28.400000000000002,0.9760276883642892,0.5852755656664179,25.385674510681106,957.2912764217272,0.8787878787878788,0.8787878787878788,3.0,0.0,67.0,12.0,False,responded,False
18,18,head_on,True,success,False,146,80.81000024333594,29.200000000000003,0.9862853014541635,16.26627016464306,0.9989526535672733,983.4235925412225,0.875,0.875,3.0,0.0,18.0,22.6,False,responded,False
19,19,head_on,True,success,False,138,76.06999993577597,27.6,0.9816469240390583,0.7247628874299306,10.394615669747923,938.2403484092013,0.875,0.875,3.0,0.0,69.0,10.8,False,responded,False
20,20,head_on,True,success,False,143,78.92999989159385,28.6,0.9870525110948914,8.749514692950418,1.088450524025057,966.2822947504733,0.8721804511278195,0.8721804511278195,3.0,0.0,25.0,20.6,False,responded,False
21,21,head_on,True,success,False,134,73.74499914452437,26.8,0.9994688363841091,15.69750036378029,13.619612143714715,930.7499914452414,0.8709677419354839,0.8709677419354839,,,,,False,no_risk,False
22,22,head_on,True,success,False,143,79.01000024333614,28.6,0.9789405527605967,0.6666410968395384,22.58007372200367,965.0498140207856,0.8721804511278195,0.8721804511278195,3.0,0.0,64.0,12.8,False,responded,False
23,23,head_on,True,success,False,143,78.87333303496246,28.6,0.9871835328124839,1.8566405004331399,0.9383104002013747,965.4511885438417,0.8721804511278195,0.8721804511278195,3.0,0.0,13.0,23.0,False,responded,False
24,24,head_on,True,success,False,134,73.43333387777207,26.8,0.983778148178824,0.895070460876962,12.366516614546168,915.9944180099774,0.8629032258064516,0.8629032258064516,3.0,0.0,60.0,11.8,False,responded,False
25,25,head_on,True,success,False,148,81.76999975800518,29.6,0.9718081281483535,0.8655627291954051,1.0355681312117868,980.7548154732368,0.8768115942028986,0.8768115942028986,3.0,0.0,14.0,23.6,False,responded,False
26,26,head_on,True,success,False,145,80.21499979265039,29.0,0.9859761916263338,0.8603381640017105,12.799617183213787,982.7081535714738,0.8814814814814815,0.8814814814814815,3.0,0.0,78.0,10.4,False,responded,False
