scenario_index,scenario_id,scenario_type,success,reason,collision,steps,path_length,navigation_time,path_efficiency,min_static_clearance,min_dynamic_clearance,base_return,full_speed_fraction_after_2s,near_upper_action_fraction_after_2s,high_risk_mean_speed,high_risk_braking_fraction,risk_onset_step,braking_delay_seconds,risk_no_braking_response,response_status,timeout_with_stagnation
0,0,head_on,False,static_collision_2,True,91,51.9,18.2,,-0.405962262828762,2.6804589119339353,368.3344885839175,1.0,1.0,3.0,0.0,70.0,,True,terminal_censored,False
1,1,head_on,False,static_collision_2,True,90,51.300000000000026,18.0,,-0.5078095873761646,3.6063004096466154,362.5545556775687,1.0,1.0,3.0,0.0,69.0,,True,terminal_censored,False
2,2,head_on,True,success,False,141,81.90000000000006,28.200000000000003,0.9612155779134443,2.380407966869523,3.307910571820347,982.2393325031305,1.0,1.0,,,,,False,no_risk,False
3,3,head_on,True,success,False,142,82.50000000000003,28.400000000000002,0.9593338361059012,0.5416162027223672,5.43598612483925,987.7073013517148,1.0,1.0,3.0,0.0,77.0,,True,terminal_censored,False
4,4,head_on,True,success,False,137,79.49999999999999,27.400000000000002,0.9593138469269016,2.247294129894863,3.4393745177799158,956.3810112531904,1.0,1.0,,,,,False,no_risk,False
5,5,head_on,True,success,False,142,82.50000000000003,28.400000000000002,0.9683992552918159,9.018531728901934,3.878281215828947,992.7954054265297,1.0,1.0,,,,,False,no_risk,False
6,6,head_on,True,success,False,143,83.10000000000004,28.6,0.9693616801692356,11.089979765786499,3.4324108636435566,997.890780650737,1.0,1.0,,,,,False,no_risk,False
7,7,head_on,False,static_collision_2,True,87,49.50000000000003,17.400000000000002,,-0.005168625006229277,22.805059702849597,361.83975381171035,1.0,1.0,3.0,0.0,67.0,,True,terminal_censored,False
8,8,head_on,True,success,False,145,84.3,29.0,0.9590000956764305,0.7176150753169326,4.348218858622289,1004.387291393213,1.0,1.0,3.0,0.0,85.0,,True,terminal_censored,False
9,9,head_on,True,success,False,142,82.49999999999999,28.400000000000002,0.9724539179408467,6.057923626041315,17.337019287490858,995.3828708775288,1.0,1.0,,,,,False,no_risk,False
10,10,head_on,True,success,False,139,80.69999999999995,27.8,0.9664195668882013,9.403511639983332,3.335043637000421,976.2168904956659,1.0,1.0,,,,,False,no_risk,False
11,11,head_on,True,success,False,139,80.70000000000002,27.8,0.9549859443493918,2.222739240563433,4.618408512209321,967.2618103817754,1.0,1.0,3.0,0.0,35.0,,True,terminal_censored,False
12,12,head_on,False,static_collision_2,True,93,53.10000000000002,18.6,,-0.28376022597922645,20.83645128347139,401.59252044668153,1.0,1.0,3.0,0.0,72.0,,True,terminal_censored,False
13,13,head_on,False,static_collision_2,True,89,50.700000000000024,17.8,,-0.4795015798896518,18.124519737939412,366.9462285435643,1.0,1.0,3.0,0.0,68.0,,True,terminal_censored,False
14,14,head_on,True,success,False,141,81.89999999999999,28.200000000000003,0.9872723160739081,7.448006658191181,21.908117561731984,1006.0070078341247,1.0,1.0,,,,,False,no_risk,False
15,15,head_on,True,success,False,140,81.29999999999998,28.0,0.9673067716718365,10.34311905102287,10.201440503273831,980.727958916619,1.0,1.0,,,,,False,no_risk,False
16,16,head_on,False,static_collision_2,True,94,53.7,18.8,,-0.06967309855118753,5.789537844056374,385.3759318518694,1.0,1.0,3.0,0.0,73.0,,True,terminal_censored,False
17,17,head_on,False,static_collision_2,True,88,50.1,17.6,,-0.005268644656608146,25.385674510681106,370.42906540213255,1.0,1.0,3.0,0.0,68.0,,True,terminal_censored,False
18,18,head_on,True,success,False,142,82.49999999999994,28.400000000000002,0.9660813994001172,18.34943998833651,4.431190805125722,993.9149292393824,1.0,1.0,,,,,False,no_risk,False
19,19,head_on,True,success,False,135,78.29999999999998,27.0,0.9536894182452855,2.3821440613536353,0.5697986101573616,935.1194054807592,1.0,1.0,3.0,0.0,28.0,,True,terminal_censored,False
