scenario_index,scenario_id,scenario_type,success,reason,collision,steps,path_length,navigation_time,path_efficiency,min_static_clearance,min_dynamic_clearance,base_return,full_speed_fraction_after_2s,near_upper_action_fraction_after_2s,high_risk_mean_speed,high_risk_braking_fraction,risk_onset_step,braking_delay_seconds,risk_no_braking_response,response_status,timeout_with_stagnation
0,0,head_on,False,static_collision_2,True,91,51.34355803728102,18.2,,-0.347893536469039,1.3652033831482342,368.0794509886728,0.0,0.0,2.9754099425944416,0.0,70.0,,True,terminal_censored,False
1,1,head_on,False,static_collision_2,True,90,50.76595374941826,18.0,,-0.5124448014266951,2.154013160603009,364.04921964433646,0.0,0.0,2.976955313574184,0.0,69.0,,True,terminal_censored,False
2,2,head_on,True,success,False,141,80.77825216054916,28.200000000000003,0.9745637436502804,4.298749699260583,1.8097684320458294,977.1645704833372,0.0,0.0,,,,,False,no_risk,False
3,3,head_on,True,success,False,142,81.41088380813598,28.400000000000002,0.9721678205245984,2.617838110995881,3.5023388449032087,987.6496252780582,0.0,0.0,,,,,False,no_risk,False
4,4,head_on,True,success,False,138,79.08820188045502,27.6,0.9643088225215557,3.4766896530278846,5.157298273543708,961.2201024287206,0.0,0.0,,,,,False,no_risk,False
5,5,head_on,True,success,False,142,81.84582484960563,28.400000000000002,0.9761394513205861,10.294245926655432,2.6687945892254117,991.8514749129743,0.0,0.0,,,,,False,no_risk,False
6,6,head_on,True,success,False,144,82.50152599811553,28.8,0.9763935229986352,14.167679649006956,1.441212820123705,996.4559779840779,0.0,0.0,,,,,False,no_risk,False
7,7,head_on,False,static_collision_2,True,92,52.122114479541786,18.400000000000002,,-0.16825676538140666,22.805059702849597,381.083648051915,0.0,0.0,2.979448142376813,0.0,71.0,,True,terminal_censored,False
8,8,head_on,True,success,False,145,83.19917423129081,29.0,0.9716888275931729,2.274956691674154,2.6728335958284166,1001.5326578152575,0.0,0.0,,,,,False,no_risk,False
9,9,head_on,True,success,False,143,82.4349156439304,28.6,0.973221693786338,7.088564909916519,16.317989628553292,998.5708892244932,0.0,0.0,,,,,False,no_risk,False
10,10,head_on,True,success,False,140,80.09230687022206,28.0,0.9737521878880245,11.964873280370803,0.9008792454572037,966.9815902119774,0.0,0.0,2.9519579836300442,0.0,39.0,,True,terminal_censored,False
11,11,head_on,True,success,False,139,79.4617466032505,27.8,0.9698675023315354,5.112566774506972,2.1505266501976843,960.2975176851942,0.0,0.0,,,,,False,no_risk,False
12,12,head_on,False,static_collision_2,True,91,51.42736541032791,18.2,,-0.12147913857439718,20.83645128347139,387.0370414404311,0.0,0.0,2.972978276865823,0.0,71.0,,True,terminal_censored,False
13,13,head_on,False,static_collision_2,True,89,50.16191425323489,17.8,,-0.4769177287583837,16.713560172446133,368.2243606515548,0.0,0.0,2.974131301045418,0.0,68.0,,True,terminal_censored,False
14,14,head_on,True,success,False,142,81.93049920201304,28.400000000000002,0.9869047970412755,5.537239388241373,21.908117561731984,1004.4889368501462,0.0,0.0,,,,,False,no_risk,False
15,15,head_on,True,success,False,141,80.82042716145517,28.200000000000003,0.9730465836293699,12.659607855946735,11.931188606026897,984.6749798768985,0.0,0.0,,,,,False,no_risk,False
16,16,head_on,False,static_collision_2,True,92,51.939261317253106,18.400000000000002,,-0.08048479566445454,4.087037394861813,375.9015263709652,0.0,0.0,2.976704709909179,0.0,71.0,,True,terminal_censored,False
17,17,head_on,False,static_collision_2,True,93,52.69444316625593,18.6,,-0.24391934488174805,25.385674510681106,389.332284407246,0.0,0.0,2.979891162027012,0.0,72.0,,True,terminal_censored,False
18,18,head_on,True,success,False,143,82.43723344802856,28.6,0.9668169602119954,19.890812103928507,3.454506529944176,992.4482328708472,0.0,0.0,,,,,False,no_risk,False
19,19,head_on,True,success,False,136,78.17232450842853,27.200000000000003,0.9552470381068752,3.88300279544341,1.7148762792239287,937.4289468903479,0.0,0.0,,,,,False,no_risk,False
20,20,head_on,True,success,False,140,80.61852015852932,28.0,0.9663791203375824,5.292529401370778,3.6167394608078105,975.3728709661156,0.0,0.0,,,,,False,no_risk,False
21,21,head_on,True,success,False,132,75.48720041513438,26.400000000000002,0.9764016691410861,13.098081541496594,8.200491980425223,933.7223765504866,0.0,0.0,,,,,False,no_risk,False
22,22,head_on,True,success,False,138,79.51507743000985,27.6,0.9727223541963765,2.353644154789963,22.58007372200367,968.273252609886,0.0,0.0,,,,,False,no_risk,False
23,23,head_on,True,success,False,140,80.20446914434443,28.0,0.9707994626835612,3.609520734973973,1.5715716374077742,971.4661989860435,0.0,0.0,,,,,False,no_risk,False
24,24,head_on,False,static_collision_2,True,83,46.57203115224837,16.6,,-0.46253961564967394,17.50763256214116,329.40915044230076,0.0,0.0,2.973860450766303,0.0,62.0,,True,terminal_censored,False
25,25,head_on,False,static_collision_2,True,102,57.92730013132094,20.400000000000002,,-0.23542665545984676,1.9711233113836055,437.8300448031907,0.0,0.0,2.9761682477864353,0.0,81.0,,True,terminal_censored,False
26,26,head_on,False,static_collision_2,True,100,56.70206957459447,20.0,,-0.3164216338555548,16.977658234967596,434.2275780855506,0.0,0.0,2.971854105591774,0.0,79.0,,True,terminal_censored,False
27,27,head_on,True,success,False,136,78.12606707811359,27.200000000000003,0.9722652199082542,0.15983144125593718,2.3771250824359447,952.0891164870654,0.0,0.0,2.9793117165565492,0.0,71.0,,True,terminal_censored,False
28,28,head_on,False,static_collision_2,True,94,53.147039026021936,18.8,,-0.527977530092393,2.2352948286163654,387.04312908212955,0.0,0.0,2.977183224125342,0.0,73.0,,True,terminal_censored,False
29,29,head_on,True,success,False,139,79.60649092197417,27.8,0.9721964893372128,4.864032760136427,1.8560873321128666,965.3183709596707,0.0,0.0,,,,,False,no_risk,False
30,30,crossing_left,True,success,False,136,78.24333214759822,27.200000000000003,0.9573877106638313,24.530696623719546,22.776221412926887,943.2805809594122,0.0,0.0,,,,,False,no_risk,False
31,31,crossing_left,True,success,False,129,73.4161462962628,25.8,0.9888571236676356,11.541323014177923,3.761857938782061,919.5306650474628,0.0,0.0,,,,,False,no_risk,False
32,32,crossing_left,True,success,False,133,75.87519067525865,26.6,0.9845844827732466,3.1253537584719115,3.47191882964447,939.534311540167,0.0,0.0,,,,,False,no_risk,False
33,33,crossing_left,True,success,False,131,74.71493205428119,26.200000000000003,0.9818683560766747,3.5350800122556265,4.421714011430904,930.5025094772751,0.0,0.0,,,,,False,no_risk,False
34,34,crossing_left,True,success,False,134,76.98300962448118,26.8,0.9724482989177506,4.306147599871418,4.767822708444896,942.3611282236201,0.0,0.0,,,,,False,no_risk,False
35,35,crossing_left,True,success,False,143,81.69258293509485,28.6,0.9778628326627052,0.8993167149841206,3.6349240380348213,990.430215701847,0.0,0.0,2.9552905350923537,0.0,47.0,,True,terminal_censored,False
36,36,crossing_left,True,success,False,138,79.42880939841268,27.6,0.9548182793342945,4.345911831567168,21.521578579363453,954.4676975435464,0.0,0.0,,,,,False,no_risk,False
37,37,crossing_left,True,success,False,132,75.32104834914212,26.400000000000002,0.9826614620296925,3.9174876944854002,3.9521639031984357,935.9055469200092,0.0,0.0,,,,,False,no_risk,False
38,38,crossing_left,True,success,False,141,81.17055750489236,28.200000000000003,0.9680149458528796,1.9632919342686943,25.481386910411807,979.7249693068331,0.0,0.0,2.9641242206096647,0.0,39.0,,True,terminal_censored,False
39,39,crossing_left,True,success,False,133,76.38315006494524,26.6,0.9855991044756389,7.37156790899772,21.7065270184904,948.479026130624,0.0,0.0,,,,,False,no_risk,False
40,40,crossing_left,True,success,False,141,80.51242107152939,28.200000000000003,0.9778870461647848,2.21861721713819,3.756093672553826,981.6727585767912,0.0,0.0,,,,,False,no_risk,False
41,41,crossing_left,True,success,False,140,80.54834105372422,28.0,0.9688559984688391,3.853698694776769,4.56670397972589,978.6471406890623,0.0,0.0,,,,,False,no_risk,False
42,42,crossing_left,True,success,False,135,77.15690379738807,27.0,0.9699424399783029,1.8762328167308207,5.204491380184566,945.1221890172465,0.0,0.0,,,,,False,no_risk,False
43,43,crossing_left,False,static_collision_1,True,46,24.43678244948387,9.200000000000001,,-0.09525044925088721,24.86346091397199,115.24286306729299,0.0,0.0,2.9364719949662685,0.0,23.0,,True,terminal_censored,False
44,44,crossing_left,True,success,False,146,83.57010633945475,29.200000000000003,0.9665217113872688,3.6511102683523653,3.8418597359008873,1003.5564861310427,0.0,0.0,,,,,False,no_risk,False
45,45,crossing_left,True,success,False,141,80.63856432437893,28.200000000000003,0.9789866540103017,7.903745099142835,9.247692803360382,985.1367543188376,0.0,0.0,,,,,False,no_risk,False
46,46,crossing_left,True,success,False,137,78.19222780466085,27.400000000000002,0.9864487934805789,10.090179560983994,4.2489419993251385,965.4348991380209,0.0,0.0,,,,,False,no_risk,False
47,47,crossing_left,True,success,False,142,81.07938741445543,28.400000000000002,0.9752307805859053,1.8967547100291489,3.238743241806837,985.0793943469822,0.0,0.0,,,,,False,no_risk,False
48,48,crossing_left,True,success,False,134,76.2345093727111,26.8,0.9759526726572667,12.871552875673757,2.5654201978439257,934.8324801667135,0.0,0.0,,,,,False,no_risk,False
49,49,crossing_left,True,success,False,147,84.72283083200446,29.400000000000002,0.9666938943639023,4.367213240138701,4.889208069685003,1016.5309904775762,0.0,0.0,,,,,False,no_risk,False
50,50,crossing_left,True,success,False,142,81.07771609425546,28.400000000000002,0.9743518284468444,2.017419964583117,3.290561256360804,985.3541337583831,0.0,0.0,,,,,False,no_risk,False
51,51,crossing_left,True,success,False,139,79.44016567468645,27.8,0.9852749899482792,3.8587405435839095,5.248625643240745,976.1567494806691,0.0,0.0,,,,,False,no_risk,False
52,52,crossing_left,True,success,False,140,80.54202294945715,28.0,0.9671089946160941,4.4654977951996795,5.230295504034098,974.9812588665252,0.0,0.0,,,,,False,no_risk,False
53,53,crossing_left,True,success,False,139,79.21257930994035,27.8,0.9779912543843984,13.617464428917433,23.139119687751137,968.9215956207081,0.0,0.0,,,,,False,no_risk,False
54,54,crossing_left,True,success,False,129,73.4810631752014,25.8,0.9675956814169892,3.456340769638885,9.012266370282443,905.9442613658882,0.0,0.0,,,,,False,no_risk,False
55,55,crossing_left,True,success,False,141,81.13749405741686,28.200000000000003,0.975321150412283,4.17931532589718,4.504696928809677,985.0086071490729,0.0,0.0,,,,,False,no_risk,False
