scenario_index,scenario_id,scenario_type,success,reason,collision,steps,path_length,navigation_time,path_efficiency,min_static_clearance,min_dynamic_clearance,base_return,full_speed_fraction_after_2s,near_upper_action_fraction_after_2s,high_risk_mean_speed,high_risk_braking_fraction,risk_onset_step,braking_delay_seconds,risk_no_braking_response,response_status,timeout_with_stagnation
0,0,head_on,True,success,False,148,81.87333303496227,29.6,0.983551742877958,7.618404577093001,0.8577189653645254,990.1749279517966,0.8768115942028986,0.8768115942028986,3.0,0.0,52.0,16.2,False,responded,False
1,1,head_on,True,success,False,146,80.68999962463971,29.200000000000003,0.9667142212759157,0.7329762416800616,0.9257311600145242,962.910862329649,0.875,0.875,3.0,0.0,23.0,21.6,False,responded,False
2,2,head_on,True,success,False,148,82.1599995470793,29.6,0.9841278508030543,0.7835682871484302,21.186312530903667,999.5885216921199,0.8840579710144928,0.8840579710144928,3.0,0.0,68.0,13.0,False,responded,False
3,3,head_on,True,success,False,145,80.03000007733691,29.0,0.9774665993889917,0.6563236549235683,24.552541365973045,974.5034906010103,0.8740740740740741,0.8740740740740741,3.0,0.0,75.0,10.8,False,responded,False
4,4,head_on,True,success,False,140,77.1699999372662,28.0,0.9832909935248068,0.7960521908678269,26.01643051304988,950.923478831557,0.8692307692307693,0.8692307692307693,3.0,0.0,65.0,12.0,False,responded,False
5,5,head_on,True,success,False,149,82.74499914452389,29.8,0.999146525082295,12.4590479534519,10.95369170055149,1019.999991445238,0.8848920863309353,0.8848920863309353,,,,,False,no_risk,False
6,6,head_on,True,success,False,144,79.450000076145,28.8,0.9714331727956639,1.1259277906350604,0.933750524724533,956.1955628811346,0.8731343283582089,0.8731343283582089,3.0,0.0,37.0,18.2,False,responded,False
7,7,head_on,True,success,False,151,83.56999941274516,30.200000000000003,0.9872643727907251,10.433754370485374,1.062836134573426,1011.5187308244916,0.8794326241134752,0.8794326241134752,3.0,0.0,58.0,15.4,False,responded,False
8,8,head_on,True,success,False,141,77.91000011332332,28.200000000000003,0.9759191024851053,1.5155587245676037,0.8462448670607072,943.8725395604176,0.8778625954198473,0.8778625954198473,3.0,0.0,38.0,17.6,False,responded,False
9,9,head_on,True,success,False,134,73.77999965205775,26.8,0.9997910686571251,5.302797157201596,8.38882289665875,931.0305665341392,0.8709677419354839,0.8709677419354839,,,,,False,no_risk,False
10,10,head_on,True,success,False,140,77.13249996185318,28.0,0.9976646814306259,12.547980856673139,15.285331825151871,964.324999618532,0.8692307692307693,0.8692307692307693,,,,,False,no_risk,False
11,11,head_on,True,success,False,148,81.78999941155315,29.6,0.9871640040080767,6.236403663454665,1.1253209834928013,993.8791534749548,0.8768115942028986,0.8768115942028986,3.0,0.0,25.0,21.400000000000002,False,responded,False
12,12,head_on,True,success,False,138,76.13000011213133,27.6,0.9902410997933307,4.975525581937582,1.1726881320952227,939.8387364344542,0.875,0.875,3.0,0.0,68.0,11.0,False,responded,False
13,13,head_on,True,success,False,135,74.05000008746983,27.0,0.9808639457372007,12.480444046574643,0.7930265932005556,911.8968581840323,0.864,0.864,3.0,0.0,47.0,14.600000000000001,False,responded,False
14,14,head_on,True,success,False,147,81.48999993458396,29.400000000000002,0.9900806080172325,9.924829659397483,1.1125010972962022,991.8155194913311,0.8832116788321168,0.8832116788321168,3.0,0.0,63.0,13.8,False,responded,False
15,15,head_on,True,success,False,145,80.36499914333218,29.0,0.9817343203541136,1.8421369888049872,0.9008997651105286,972.513248151247,0.8814814814814815,0.8814814814814815,3.0,0.0,42.0,17.6,False,responded,False
16,16,head_on,True,success,False,147,81.57999954588718,29.400000000000002,0.9726704509216114,1.0229777659300563,1.0142378128831187,977.429173440826,0.8832116788321168,0.8832116788321168,3.0,0.0,36.0,19.200000000000003,False,responded,False
17,17,head_on,True,success,False,138,75.9499999384581,27.6,0.9986031275291599,6.788773943386168,22.879177730079117,952.5999993845803,0.8671875,0.8671875,,,,,False,no_risk,False
18,18,head_on,True,success,False,140,77.00999980926511,28.0,0.9761413424680858,1.3112561924907382,0.9019233019598722,936.2985912356285,0.8692307692307693,0.8692307692307693,3.0,0.0,24.0,20.0,False,responded,False
19,19,head_on,True,success,False,146,80.68999962463968,29.200000000000003,0.9843665386738132,0.8298153698549235,16.57602929624231,986.3968019129243,0.875,0.875,3.0,0.0,68.0,12.600000000000001,False,responded,False
20,20,head_on,True,success,False,143,78.86999931737782,28.6,0.9979417223677977,10.325177937936791,13.961771496904298,981.5499931737754,0.8721804511278195,0.8721804511278195,,,,,False,no_risk,False
21,21,head_on,True,success,False,149,82.57000024572025,29.8,0.9811183468784409,1.716183250478597,0.9300705564743907,994.1907972950119,0.8776978417266187,0.8776978417266187,3.0,0.0,40.0,18.8,False,responded,False
22,22,head_on,True,success,False,146,80.99999954357745,29.200000000000003,0.977480254105737,1.1947895904522392,0.9860641314252767,975.5224749048787,0.8823529411764706,0.8823529411764706,3.0,0.0,31.0,20.0,False,responded,False
23,23,head_on,True,success,False,153,85.0900002039224,30.6,0.972418886512565,0.9217667693267906,0.927302896014881,1011.0135494978072,0.8881118881118881,0.8881118881118881,3.0,0.0,25.0,22.6,False,responded,False
24,24,head_on,True,success,False,135,74.37999954588703,27.0,0.970479362797556,1.078720242730551,0.9745891315191573,906.2889851981599,0.872,0.872,3.0,0.0,26.0,18.8,False,responded,False
25,25,head_on,True,success,False,149,82.47333303496234,29.8,0.9758393531425394,1.1835725087903732,0.9391740174412533,989.6422046880356,0.8776978417266187,0.8776978417266187,3.0,0.0,28.0,21.200000000000003,False,responded,False
26,26,head_on,True,success,False,139,76.66999993577613,27.8,0.9994043528928529,5.5422308426578795,17.613059605716995,959.749999357762,0.875968992248062,0.875968992248062,,,,,False,no_risk,False
27,27,head_on,True,success,False,145,80.07333303496246,29.0,0.9709400327400203,0.8329768890847342,1.0885169360212181,962.7900155722659,0.8740740740740741,0.8740740740740741,3.0,0.0,26.0,20.8,False,responded,False
28,28,head_on,True,success,False,140,77.45999973222598,28.0,0.99942646412555,13.88033216044984,10.862646859160911,967.5999973222604,0.8769230769230769,0.8769230769230769,,,,,False,no_risk,False
29,29,head_on,True,success,False,147,81.48999984517678,29.400000000000002,0.9994655291973004,14.576004886282345,17.514443914283955,1007.5499984517676,0.8832116788321168,0.8832116788321168,,,,,False,no_risk,False
30,30,head_on,True,success,False,150,83.10999962344769,30.0,0.9885251298040061,16.338241514441137,1.145225903053225,1007.1423917652055,0.8785714285714286,0.8785714285714286,3.0,0.0,42.0,18.6,False,responded,False
31,31,head_on,True,success,False,139,76.52999989159403,27.8,0.9774984317275545,0.6475700966951736,14.667514615682133,940.083019731803,0.8682170542635659,0.8682170542635659,3.0,0.0,67.0,11.4,False,responded,False
32,32,head_on,True,success,False,147,81.49000020392229,29.400000000000002,0.9843530006846135,1.8802414216799157,1.0264803951346737,986.0886482083519,0.8832116788321168,0.8832116788321168,3.0,0.0,42.0,18.0,False,responded,False
33,33,head_on,True,success,False,136,74.56999941274526,27.200000000000003,0.9697230979443816,1.2451558191521999,0.8454269244882946,908.1495114885231,0.8650793650793651,0.8650793650793651,3.0,0.0,29.0,18.2,False,responded,False
34,34,head_on,True,success,False,142,78.53999965444216,28.400000000000002,0.9773060435897396,0.6072522319344431,18.086183754978567,958.4894314172207,0.8787878787878788,0.8787878787878788,3.0,0.0,73.0,10.8,False,responded,False
35,35,head_on,True,success,False,143,78.90999989278612,28.6,0.986387449360672,0.9149413807189406,20.507491857523878,970.7240507839895,0.8721804511278195,0.8721804511278195,3.0,0.0,67.0,12.200000000000001,False,responded,False
36,36,head_on,True,success,False,140,77.34499914452432,28.0,0.9843814805215206,0.7984642250294103,12.174311905134395,952.8255018444457,0.8769230769230769,0.8769230769230769,3.0,0.0,72.0,10.600000000000001,False,responded,False
37,37,head_on,True,success,False,139,76.59499968655409,27.8,0.9861974075887582,12.360944198294803,0.9604667964617128,940.8353262504769,0.875968992248062,0.875968992248062,3.0,0.0,55.0,13.8,False,responded,False
38,38,head_on,True,success,False,150,83.12999988600608,30.0,0.973327416811955,0.9428303996286376,0.9780004951487138,992.5437447948525,0.8785714285714286,0.8785714285714286,3.0,0.0,32.0,20.6,False,responded,False
39,39,head_on,True,success,False,140,77.37999965205789,28.0,0.9857304541835319,17.68188073895189,0.9542137949063889,948.6763540729643,0.8769230769230769,0.8769230769230769,3.0,0.0,31.0,18.8,False,responded,False
40,40,head_on,True,success,False,147,81.27333303496252,29.400000000000002,0.9757631587083822,1.0778979356185285,1.0970596222232416,978.3113649017381,0.8759124087591241,0.8759124087591241,3.0,0.0,44.0,17.6,False,responded,False
41,41,head_on,True,success,False,143,79.14499914452473,28.6,0.9994480451370512,15.049912686898551,12.028061862545151,984.2999914452441,0.8796992481203008,0.8796992481203008,,,,,False,no_risk,False
