scenario_index,scenario_id,scenario_type,success,reason,collision,steps,path_length,navigation_time,path_efficiency,min_static_clearance,min_dynamic_clearance,base_return,full_speed_fraction_after_2s,near_upper_action_fraction_after_2s,high_risk_mean_speed,high_risk_braking_fraction,risk_onset_step,braking_delay_seconds,risk_no_braking_response,response_status,timeout_with_stagnation
0,0,head_on,False,static_collision_2,True,96,54.89999999999998,19.200000000000003,,-0.13129434345294566,7.702683977915338,383.84723774241127,1.0,1.0,3.0,0.0,75.0,,True,terminal_censored,False
1,1,head_on,True,success,False,140,81.29999999999998,28.0,0.9594608874770914,3.151093796416255,5.251955029983325,973.2200303155602,1.0,1.0,,,,,False,no_risk,False
2,2,head_on,False,static_collision_2,True,90,51.29999999999998,18.0,,-0.14658870841777283,21.186312530903667,382.5470740050175,1.0,1.0,3.0,0.0,69.0,,True,terminal_censored,False
3,3,head_on,False,static_collision_2,True,97,55.500000000000014,19.400000000000002,,-0.37890093397061797,24.552541365973045,424.8366413222408,1.0,1.0,3.0,0.0,76.0,,True,terminal_censored,False
4,4,head_on,False,static_collision_2,True,86,48.9,17.2,,-0.17741435209190382,26.01643051304988,358.86836676122914,1.0,1.0,3.0,0.0,66.0,,True,terminal_censored,False
5,5,head_on,False,dynamic_collision,True,83,47.09999999999998,16.6,,22.915261475172308,-0.36776338250241336,261.99076240908374,1.0,1.0,3.0,0.0,63.0,,True,terminal_censored,False
6,6,head_on,True,success,False,139,80.70000000000003,27.8,0.9563861914818494,1.3630233922117405,5.996814747544814,967.8958123926061,1.0,1.0,,,,,False,no_risk,False
7,7,head_on,True,success,False,148,86.10000000000007,29.6,0.9582541585870505,0.48792040181931196,5.3157193151164375,1017.7905629899115,1.0,1.0,3.0,0.0,28.0,,True,terminal_censored,False
8,8,head_on,False,static_collision_2,True,98,56.100000000000016,19.6,,-0.10457575027161337,5.469775344289101,407.33378186341145,1.0,1.0,3.0,0.0,78.0,,True,terminal_censored,False
9,9,head_on,False,dynamic_collision,True,47,25.500000000000004,9.4,,14.7170733952183,-0.4135304988918458,69.2270481867051,1.0,1.0,3.0,0.0,26.0,,True,terminal_censored,False
10,10,head_on,True,success,False,144,83.70000000000005,28.8,0.9193831660978492,22.738786298511062,1.5332652798677087,958.7387396951966,1.0,1.0,3.0,0.0,80.0,,True,terminal_censored,False
11,11,head_on,True,success,False,145,84.30000000000001,29.0,0.9577715694771891,9.854943194714503,4.630735172929882,1005.306052805237,1.0,1.0,,,,,False,no_risk,False
12,12,head_on,False,static_collision_2,True,92,52.500000000000036,18.400000000000002,,-0.2396030328355483,8.508883469035363,361.42598750874055,1.0,1.0,3.0,0.0,70.0,,True,terminal_censored,False
13,13,head_on,True,success,False,133,77.1,26.6,0.9420619360264036,2.602089446706885,7.120243889852478,924.7340941815181,1.0,1.0,,,,,False,no_risk,False
14,14,head_on,False,static_collision_2,True,94,53.699999999999996,18.8,,-0.2571355872479062,7.483866265437095,365.63522929105756,1.0,1.0,3.0,0.0,73.0,,True,terminal_censored,False
15,15,head_on,True,success,False,143,83.09999999999995,28.6,0.9494233190642382,0.5621681444434881,7.495929214648138,985.7563016209509,1.0,1.0,3.0,0.0,38.0,,True,terminal_censored,False
16,16,head_on,True,success,False,142,82.49999999999994,28.400000000000002,0.9618236962967635,0.7534095578172977,5.382305748444153,987.2608676017181,1.0,1.0,3.0,0.0,83.0,,True,terminal_censored,False
17,17,head_on,True,success,False,133,77.10000000000005,26.6,0.9837082681502428,3.866378887496923,22.879177730079117,953.3574276202883,1.0,1.0,,,,,False,no_risk,False
18,18,head_on,False,static_collision_2,True,98,56.10000000000003,19.6,,-0.38873088211633,5.752701619480007,406.1261000868502,1.0,1.0,3.0,0.0,77.0,,True,terminal_censored,False
19,19,head_on,False,dynamic_collision,True,98,56.099999999999994,19.6,,7.354054881016728,-0.47773070198113654,347.83526286287463,1.0,1.0,3.0,0.0,77.0,,True,terminal_censored,False
20,20,head_on,True,success,False,140,81.30000000000003,28.0,0.9681139355711074,3.197686151427906,21.180536761826847,980.7542945901506,1.0,1.0,,,,,False,no_risk,False
21,21,head_on,False,static_collision_1,True,57,31.5,11.4,,-0.17893209530624876,9.751627282989343,155.465247621473,1.0,1.0,3.0,0.0,34.0,,True,terminal_censored,False
