scenario_index,scenario_id,scenario_type,success,reason,collision,steps,path_length,navigation_time,path_efficiency,min_static_clearance,min_dynamic_clearance,base_return,full_speed_fraction_after_2s,near_upper_action_fraction_after_2s,high_risk_mean_speed,high_risk_braking_fraction,risk_onset_step,braking_delay_seconds,risk_no_braking_response,response_status,timeout_with_stagnation
0,0,head_on,False,static_collision_2,True,98,55.58460184335708,19.6,,-0.2536158877623427,6.350393878065617,398.39616051764494,0.0,0.0,2.9758391976356506,0.0,75.0,,True,terminal_censored,False
1,1,head_on,True,success,False,142,81.65672258734703,28.400000000000002,0.9552694215524944,3.7604903934492633,4.254530995501172,977.1597909523301,0.0,0.0,,,,,False,no_risk,False
2,2,head_on,False,static_collision_2,True,93,50.94251298308374,18.6,,-0.3407964412062192,21.186312530903667,382.2791497733478,0.0,0.0,2.91036235879768,0.0,72.0,,True,terminal_censored,False
3,3,head_on,False,static_collision_2,True,101,56.556959563493734,20.200000000000003,,-0.04824922835728529,24.552541365973045,432.8215774353006,0.0,0.0,2.9450256526470184,0.0,81.0,,True,terminal_censored,False
4,4,head_on,False,static_collision_2,True,90,50.94328608512874,18.0,,-0.37472738340228684,26.01643051304988,373.8853229138782,0.0,0.0,2.9765653854066674,0.0,69.0,,True,terminal_censored,False
5,5,head_on,False,dynamic_collision,True,84,47.03703950643537,16.8,,22.162108270333853,-0.46190534841934205,271.0911352152426,0.0,0.0,2.9512254311279817,0.0,63.0,,True,terminal_censored,False
6,6,head_on,True,success,False,143,80.71488248705859,28.6,0.9562098497134031,2.8905497208991067,5.507590533497101,969.3086074147657,0.0,0.0,,,,,False,no_risk,False
7,7,head_on,True,success,False,152,86.1059799492359,30.400000000000002,0.958187609071828,1.263657016126996,4.710841218040565,1022.275927527471,0.0,0.0,2.874030131101608,0.0,30.0,,True,terminal_censored,False
8,8,head_on,True,success,False,140,78.96389105916023,28.0,0.9628940059228327,0.8936649586726855,5.18127335076464,953.8368608732883,0.0,0.0,2.9482896406399575,0.0,88.0,,True,terminal_censored,False
9,9,head_on,True,success,False,133,75.88502047061921,26.6,0.972057255044333,5.3682037649288254,1.364450959785172,928.5243775004747,0.0,0.0,2.9531288764306476,0.0,28.0,,True,terminal_censored,False
10,10,head_on,True,success,False,144,82.4060912311077,28.8,0.9338189671753424,22.021788431029716,3.4042967868815355,965.4373202460263,0.0,0.0,,,,,False,no_risk,False
11,11,head_on,True,success,False,145,83.40562037229537,29.0,0.9680419970084689,10.1764931706263,3.44459071061985,1001.2031977064504,0.0,0.0,,,,,False,no_risk,False
12,12,head_on,False,static_collision_2,True,94,53.17907792329788,18.8,,-0.03227616927724419,7.071496252948339,375.0371874221064,0.0,0.0,2.9697854207909624,0.0,72.0,,True,terminal_censored,False
13,13,head_on,True,success,False,137,77.20706210732457,27.400000000000002,0.9407555900348795,2.9355889182477704,7.30494195983259,923.6096584722302,0.0,0.0,,,,,False,no_risk,False
14,14,head_on,False,static_collision_2,True,96,54.359283757209774,19.200000000000003,,-0.38878211825036324,5.804323333907975,382.3677754899412,0.0,0.0,2.9736218970754873,0.0,74.0,,True,terminal_censored,False
15,15,head_on,True,success,False,146,82.69162795543672,29.200000000000003,0.9541120396947138,2.4431562644421794,7.227040139588276,984.9273440725365,0.0,0.0,,,,,False,no_risk,False
16,16,head_on,True,success,False,146,82.57749182581898,29.200000000000003,0.9609211080406408,2.736782994426746,4.994311985828205,989.8743512946223,0.0,0.0,,,,,False,no_risk,False
17,17,head_on,True,success,False,134,76.42260961532588,26.8,0.9924276056018629,6.728607276532333,22.879177730079117,955.5763938962775,0.0,0.0,,,,,False,no_risk,False
18,18,head_on,True,success,False,138,77.89006880521778,27.6,0.965112057934751,0.09221342378128927,5.211316115168119,942.2610367366668,0.0,0.0,2.9413916140794756,0.0,83.0,,True,terminal_censored,False
19,19,head_on,True,success,False,147,84.251082354784,29.400000000000002,0.9427598247536066,4.689386248985713,1.0479248115094606,983.873201001403,0.0,0.0,2.9452524170279504,0.0,79.0,,True,terminal_censored,False
20,20,head_on,True,success,False,146,82.53283254504207,29.200000000000003,0.953652752908687,2.2626233069061383,22.05376307261473,983.4859478798174,0.0,0.0,,,,,False,no_risk,False
21,21,head_on,True,success,False,150,85.0961381793022,30.0,0.9519931676821696,0.48538291106478404,6.83054375563435,1003.4816582603487,0.0,0.0,2.918473123962229,0.0,37.0,,True,terminal_censored,False
22,22,head_on,True,success,False,146,82.54821692705163,29.200000000000003,0.9591473090980136,0.9624340230782025,5.217649581452763,987.2698620281153,0.0,0.0,2.9473337165334006,0.0,89.0,,True,terminal_censored,False
23,23,head_on,False,static_collision_2,True,104,59.220824772119514,20.8,,-0.04333918597768616,4.444573894976152,442.16349963334056,0.0,0.0,2.9747706055641174,0.0,82.0,,True,terminal_censored,False
24,24,head_on,True,success,False,132,75.69704006910325,26.400000000000002,0.9535941497617145,0.8373041364849874,4.68668922725961,918.8616783069051,0.0,0.0,2.9718730095773935,0.0,79.0,,True,terminal_censored,False
25,25,head_on,True,success,False,146,84.04776148796078,29.200000000000003,0.9575593987934484,2.8099376833933984,4.71954671701555,998.9802178541711,0.0,0.0,,,,,False,no_risk,False
26,26,head_on,True,success,False,137,78.10634924769404,27.400000000000002,0.9810256452918471,2.9499684026657604,11.647628172862229,962.1348978066774,0.0,0.0,,,,,False,no_risk,False
27,27,head_on,True,success,False,141,81.06503986716265,28.200000000000003,0.959062065792705,0.24105127440731078,5.16475742457189,971.4259179321665,0.0,0.0,2.972264670092484,0.0,81.0,,True,terminal_censored,False
28,28,head_on,True,success,False,146,81.60538558959959,29.200000000000003,0.9486576539552689,4.62612637157485,0.6218204817550088,962.6931229627316,0.0,0.0,2.884040336196239,0.0,76.0,,True,terminal_censored,False
29,29,head_on,True,success,False,143,82.23502219319342,28.6,0.9904106990839828,11.259199949948524,17.514443914283955,1007.5118141106046,0.0,0.0,,,,,False,no_risk,False
30,30,head_on,True,success,False,151,85.2628280997276,30.200000000000003,0.9635655419461978,6.295597088522642,5.007353355856717,1017.8134618603847,0.0,0.0,,,,,False,no_risk,False
31,31,head_on,True,success,False,136,77.72163991928103,27.200000000000003,0.962511276805739,1.631504028363227,7.761697192184082,945.1988864747223,0.0,0.0,,,,,False,no_risk,False
32,32,head_on,False,static_collision_2,True,110,61.36699172258378,22.0,,-0.18324655195549777,5.637009958779057,457.7424073932831,0.0,0.0,2.952160046859221,0.0,89.0,,True,terminal_censored,False
33,33,head_on,True,success,False,134,75.55199144482613,26.8,0.9571190575042091,1.383070197663617,4.912371667631701,921.0588735111103,0.0,0.0,,,,,False,no_risk,False
34,34,head_on,False,static_collision_2,True,103,58.66493924260139,20.6,,-0.046976803945249834,18.086183754978567,450.1008728987006,0.0,0.0,2.9738290905952454,0.0,80.0,,True,terminal_censored,False
35,35,head_on,True,success,False,144,82.86756661534308,28.8,0.9392798256596177,6.551145896452656,27.66467739901474,973.8168877043177,0.0,0.0,,,,,False,no_risk,False
36,36,head_on,True,success,False,140,80.17711209654807,28.0,0.9496099669583957,1.0140496061453224,0.6567321111001139,950.4321508371258,0.0,0.0,2.9525179989062824,0.0,64.0,,True,terminal_censored,False
37,37,head_on,True,success,False,141,81.05563981533054,28.200000000000003,0.9319251602632402,20.536451204739485,7.043346877552297,952.4869854127616,0.0,0.0,,,,,False,no_risk,False
38,38,head_on,False,static_collision_2,True,106,59.298342776298554,21.200000000000003,,-0.3066033122926637,6.093570274583287,440.5193537093697,0.0,0.0,2.954741185361689,0.0,85.0,,True,terminal_censored,False
39,39,head_on,True,success,False,140,78.91036507487297,28.0,0.9666134750405899,8.817026040051504,4.006013510995983,960.9212724794952,0.0,0.0,,,,,False,no_risk,False
40,40,head_on,True,success,False,144,82.87692049741752,28.8,0.9568830946538905,2.0735439160141658,7.147367254852647,986.6245144045971,0.0,0.0,,,,,False,no_risk,False
41,41,head_on,True,success,False,144,82.8615452349186,28.8,0.9546203181839148,6.2317234106632995,21.658620558004852,985.0475540593413,0.0,0.0,,,,,False,no_risk,False
42,42,head_on,True,success,False,138,79.34720930457118,27.6,0.9554072046219777,21.796353308126992,4.6532657223373555,952.6732662243252,0.0,0.0,,,,,False,no_risk,False
43,43,head_on,True,success,False,147,83.1380967915058,29.400000000000002,0.9653177721356001,0.617030822695674,4.5091193111008625,994.1849460536041,0.0,0.0,2.943301263782713,0.0,92.0,,True,terminal_censored,False
44,44,head_on,False,static_collision_2,True,88,49.5257452011108,17.6,,-0.08901889732812052,18.311146917008617,368.9010762322556,0.0,0.0,2.970106073788234,0.0,68.0,,True,terminal_censored,False
45,45,head_on,False,static_collision_2,True,104,58.85502598285676,20.8,,-0.12431027723521826,9.442726132188,435.0986311735921,0.0,0.0,2.953013616800308,0.0,80.0,,True,terminal_censored,False
46,46,head_on,True,success,False,147,84.61404066681861,29.400000000000002,0.958086414116773,0.12046455123127764,4.2204483169784,1004.0577284863926,0.0,0.0,2.9721630020388243,0.0,84.0,,True,terminal_censored,False
47,47,head_on,False,static_collision_2,True,109,61.149038314819386,21.8,,-0.09227804185966626,4.919348234723051,460.07484872945616,0.0,0.0,2.9571374527045657,0.0,89.0,,True,terminal_censored,False
48,48,head_on,True,success,False,142,81.64880713820465,28.400000000000002,0.9451950159778821,1.4680831770208904,5.681809247618119,969.4307018667208,0.0,0.0,,,,,False,no_risk,False
49,49,head_on,True,success,False,142,81.65656294226643,28.400000000000002,0.9454613880363383,19.6871019131414,7.166026917351813,965.3933552468193,0.0,0.0,,,,,False,no_risk,False
50,50,head_on,True,success,False,136,76.81077529191971,27.200000000000003,0.9634547062104187,0.9910399574189501,4.585009036213119,933.6312662820619,0.0,0.0,2.951877687465061,0.0,89.0,,True,terminal_censored,False
51,51,head_on,False,static_collision_2,True,97,55.01318251490594,19.400000000000002,,-0.08685651017169516,5.725717176311507,396.23999518143165,0.0,0.0,2.9758111989498137,0.0,73.0,,True,terminal_censored,False
52,52,head_on,False,static_collision_2,True,91,51.535283750295626,18.2,,-0.4839463303563045,22.91770085214663,381.5134592438715,0.0,0.0,2.9760375835678796,0.0,70.0,,True,terminal_censored,False
53,53,head_on,True,success,False,148,84.0967031478882,29.6,0.9443214043154411,0.5408948627995107,26.655371479932136,987.1209046000067,0.0,0.0,2.8913218142657446,0.0,28.0,,True,terminal_censored,False
54,54,head_on,True,success,False,138,77.95727756023415,27.6,0.9440550802268832,3.2652297022508776,23.83025082739918,932.8234668345347,0.0,0.0,,,,,False,no_risk,False
55,55,head_on,False,static_collision_2,True,93,52.72442811727523,18.6,,-0.13105604441410978,18.604162915977437,392.11230162528335,0.0,0.0,2.9757931977510452,0.0,72.0,,True,terminal_censored,False
56,56,head_on,True,success,False,148,83.7888411283492,29.6,0.9404608189167517,0.44586315816399846,8.210345597737344,982.4042853027108,0.0,0.0,2.858816690486053,0.0,36.0,,True,terminal_censored,False
57,57,head_on,True,success,False,141,81.0393485426903,28.200000000000003,0.9603091110173564,3.2328298752492177,5.585923795333191,972.7599072648911,0.0,0.0,,,,,False,no_risk,False
58,58,head_on,True,success,False,139,79.63843275904657,27.8,0.988585979367742,18.661316944598433,20.352289642300285,984.6383064299296,0.0,0.0,,,,,False,no_risk,False
59,59,head_on,True,success,False,135,77.044506508112,27.0,0.991425318576435,16.471593865695645,24.34095848548406,962.6312163936251,0.0,0.0,,,,,False,no_risk,False
60,60,crossing_left,True,success,False,142,80.82798119187358,28.400000000000002,0.992225750794145,5.783855472045266,24.94597503504569,998.5752792151204,0.0,0.0,,,,,False,no_risk,False
61,61,crossing_left,True,success,False,144,82.67518290281294,28.8,0.9515576883283021,1.631498920699861,27.252735888451436,983.4653625146998,0.0,0.0,,,,,False,no_risk,False
62,62,crossing_left,True,success,False,146,82.70670021772385,29.200000000000003,0.9555584580464048,2.106376115392508,11.66727579323051,986.3250506437714,0.0,0.0,,,,,False,no_risk,False
63,63,crossing_left,True,success,False,145,82.01714925169948,29.0,0.948702229700864,3.1058220491137583,11.443687705525878,972.5965213763914,0.0,0.0,,,,,False,no_risk,False
64,64,crossing_left,True,success,False,135,77.44950016736982,27.0,0.9546953787550438,1.488800600599962,9.496428950900809,936.9708197097506,0.0,0.0,2.9729544619719186,0.0,75.0,,True,terminal_censored,False
65,65,crossing_left,True,success,False,140,80.29451894760128,28.0,0.940009306786635,4.751377332216563,10.894206530448471,950.950428830118,0.0,0.0,,,,,False,no_risk,False
66,66,crossing_left,True,success,False,138,79.18823885321618,27.6,0.9682010060607376,0.36026382948671376,8.341969370678509,959.7943411581591,0.0,0.0,2.9699834998576873,0.0,76.0,,True,terminal_censored,False
67,67,crossing_left,True,success,False,140,77.28937302231785,28.0,0.9908495247700038,14.327976281499158,22.16415185120744,964.2249767862768,0.0,0.0,,,,,False,no_risk,False
68,68,crossing_left,False,dynamic_collision,True,65,34.662189263105375,13.0,,1.286416199741815,-0.13389253978846405,156.6192731934084,0.0,0.0,2.843891312094296,0.0,32.0,,True,terminal_censored,False
69,69,crossing_left,True,success,False,135,76.77352496981625,27.0,0.982925684266913,7.992729675006645,7.007066591843538,948.6649164183282,0.0,0.0,,,,,False,no_risk,False
70,70,crossing_left,True,success,False,136,78.06688978672028,27.200000000000003,0.9647319200138321,3.6679653834000927,8.287870412927699,946.7354849336191,0.0,0.0,,,,,False,no_risk,False
71,71,crossing_left,True,success,False,140,80.23522980809217,28.0,0.9612580467188118,1.6939637351617156,9.40682279263412,966.179890149335,0.0,0.0,,,,,False,no_risk,False
72,72,crossing_left,True,success,False,139,79.3127644121647,27.8,0.9906908843026762,18.217072672162757,24.417862610345555,983.5010372107395,0.0,0.0,,,,,False,no_risk,False
73,73,crossing_left,False,dynamic_collision,True,62,34.023072516918184,12.4,,4.4508862837745,-0.09253012446616538,159.16275879644883,0.0,0.0,2.961857943372293,0.0,41.0,,True,terminal_censored,False
74,74,crossing_left,True,success,False,138,79.08498437404631,27.6,0.9496752632030848,2.6493999732198974,10.237108168808426,949.1355625467273,0.0,0.0,,,,,False,no_risk,False
75,75,crossing_left,True,success,False,141,80.75783920884132,28.200000000000003,0.9515992788109958,2.9567657384278387,9.673210384826115,967.1786853369285,0.0,0.0,,,,,False,no_risk,False
76,76,crossing_left,True,success,False,135,76.53905112147334,27.0,0.9912800393673105,12.155804974926035,25.081266844209626,955.7924369926639,0.0,0.0,,,,,False,no_risk,False
77,77,crossing_left,False,dynamic_collision,True,84,45.36707845330242,16.8,,6.339393377970021,-0.2522860187971099,262.241984928521,0.0,0.0,2.868578366611315,0.0,62.0,,True,terminal_censored,False
78,78,crossing_left,True,success,False,141,80.90471983551981,28.200000000000003,0.960056480436655,2.964916151225113,10.21942770600595,970.3851564655896,0.0,0.0,,,,,False,no_risk,False
79,79,crossing_left,True,success,False,147,84.31134839057923,29.400000000000002,0.9641902462440504,2.430151922884506,8.728035677596967,1007.6644228557093,0.0,0.0,,,,,False,no_risk,False
80,80,crossing_left,True,success,False,141,81.05650695562368,28.200000000000003,0.962574927917048,8.655084264264131,9.8111058653587,976.3537922688812,0.0,0.0,,,,,False,no_risk,False
81,81,crossing_left,True,success,False,137,78.74932889342311,27.400000000000002,0.9493220206852855,18.13549603235762,29.358937498450302,945.2427000939381,0.0,0.0,,,,,False,no_risk,False
82,82,crossing_left,True,success,False,131,75.05649980306625,26.200000000000003,0.9696757247334314,1.7584088987338555,9.066376656478297,923.3385079756877,0.0,0.0,2.9761087372899055,0.0,76.0,,True,terminal_censored,False
83,83,crossing_left,True,success,False,142,81.26804339289666,28.400000000000002,0.9960893796052628,15.550864164763496,17.594483552575777,1003.4832356013826,0.0,0.0,,,,,False,no_risk,False
84,84,crossing_left,True,success,False,151,86.81378769278523,30.200000000000003,0.9651112399974541,1.3722793219078202,20.522981418949865,1035.428370366269,0.0,0.0,,,,,False,no_risk,False
85,85,crossing_left,True,success,False,140,80.29645197987554,28.0,0.947847899074586,2.607404907057126,11.942684977914748,956.3570379898765,0.0,0.0,,,,,False,no_risk,False
86,86,crossing_left,True,success,False,151,86.8886325716972,30.200000000000003,0.9526942088054882,4.919998100047174,10.449941371134484,1023.1521144951653,0.0,0.0,,,,,False,no_risk,False
87,87,crossing_left,True,success,False,136,76.70740331411352,27.200000000000003,0.9661267035529499,4.232189378542614,7.844774676859124,937.7051350842607,0.0,0.0,,,,,False,no_risk,False
88,88,crossing_left,False,static_collision_2,True,102,57.98535159230234,20.400000000000002,,-0.20666604974715774,10.069250983203137,424.3662071112726,0.0,0.0,2.9734840393066406,0.0,80.0,,True,terminal_censored,False
89,89,crossing_left,True,success,False,134,76.83991683125493,26.8,0.9635095569772787,3.8866300141163617,9.38240081447427,939.2303753715726,0.0,0.0,,,,,False,no_risk,False
90,90,crossing_left,True,success,False,141,80.17087125778198,28.200000000000003,0.9934781447425808,0.029393337673819353,21.53061084847615,987.3528181608906,0.0,0.0,2.9449536114931107,0.0,27.0,,True,terminal_censored,False
91,91,crossing_left,True,success,False,138,79.12420341968539,27.6,0.9530293437824635,3.4708743778059024,9.231180976439362,950.2972384563734,0.0,0.0,,,,,False,no_risk,False
92,92,crossing_left,True,success,False,147,84.47978294491769,29.400000000000002,0.9491050398366379,5.581297925284963,12.976476902677323,999.8744220021316,0.0,0.0,,,,,False,no_risk,False
93,93,crossing_left,True,success,False,141,80.16329067349425,28.200000000000003,0.9932441234356006,11.502020464525458,22.543043772420784,992.1495833352731,0.0,0.0,,,,,False,no_risk,False
94,94,crossing_left,False,static_collision_2,True,96,54.40903669595721,19.200000000000003,,-0.1470528104288391,10.50020122165493,388.21670922660616,0.0,0.0,2.9739406834477964,0.0,74.0,,True,terminal_censored,False
95,95,crossing_left,True,success,False,145,83.29840824007995,29.0,0.9502761909015828,2.7387876515376997,25.368094372638698,988.6646423723475,0.0,0.0,,,,,False,no_risk,False
96,96,crossing_left,False,dynamic_collision,True,81,45.16271601319313,16.2,,6.071041615092028,-0.16404218120092962,250.9940703614889,0.0,0.0,2.9548463225364685,0.0,61.0,,True,terminal_censored,False
97,97,crossing_left,False,dynamic_collision,True,70,38.88370184898376,14.0,,22.180790043334238,-0.18555254910475716,209.167158912011,0.0,0.0,2.964481864656721,0.0,50.0,,True,terminal_censored,False
98,98,crossing_left,True,success,False,142,80.31149205565454,28.400000000000002,0.9689950317563119,4.417421735641788,8.318979379048162,973.050347489725,0.0,0.0,,,,,False,no_risk,False
99,99,crossing_left,False,static_collision_2,True,94,53.22838582992552,18.8,,-0.36530419392340807,10.67252816671353,376.97015142943013,0.0,0.0,2.9752184857021677,0.0,73.0,,True,terminal_censored,False
100,100,crossing_left,False,static_collision_2,True,103,58.59917587637899,20.6,,-0.46889476962178556,11.728032323823928,431.02924035658725,0.0,0.0,2.9749467657371,0.0,82.0,,True,terminal_censored,False
101,101,crossing_left,True,success,False,139,79.3949115157127,27.8,0.9931630739357745,15.575163970165526,19.602983377600854,985.0593524310727,0.0,0.0,,,,,False,no_risk,False
102,102,crossing_left,True,success,False,135,76.77625812292098,27.0,0.9833872360202979,14.578398500534632,5.130786701402238,951.2058378816985,0.0,0.0,,,,,False,no_risk,False
103,103,crossing_left,True,success,False,140,80.51608214378358,28.0,0.9709393396427424,20.122637703790552,5.810927886280833,974.9107511149705,0.0,0.0,,,,,False,no_risk,False
104,104,crossing_left,True,success,False,136,74.96621575355532,27.200000000000003,0.9911644209881151,13.461952343558838,22.513277459617782,941.198463340557,0.0,0.0,,,,,False,no_risk,False
105,105,crossing_left,True,success,False,140,80.16592794656754,28.0,0.9609605026266659,0.9582674668084277,8.707662889307539,967.4738712621004,0.0,0.0,2.972180411219597,0.0,38.0,,True,terminal_censored,False
106,106,crossing_left,False,dynamic_collision,True,77,42.817047089338324,15.4,,4.958946855884831,-0.4930521240878809,230.5395406517596,0.0,0.0,2.95414514568719,0.0,56.0,,True,terminal_censored,False
107,107,crossing_left,False,static_collision_1,True,41,21.23047862648964,8.200000000000001,,-0.4910630681082626,19.563930851159803,87.9444958778581,0.0,0.0,2.9008843952959236,0.0,20.0,,True,terminal_censored,False
108,108,crossing_left,True,success,False,135,77.45764449834822,27.0,0.9617217704827142,10.356556315415487,7.829069091642278,942.202483698492,0.0,0.0,,,,,False,no_risk,False
109,109,crossing_left,True,success,False,137,78.67506358623505,27.400000000000002,0.9454802306249611,18.06140626261649,11.255813832044492,941.2860081198609,0.0,0.0,,,,,False,no_risk,False
